Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																		
Дата голосования: 04.12.2011																																																																		
																																																																		
Наименование Избирательной комиссии:    Щекинская																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
		Сумма	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882					
1	"Число избирателей, внесенных в список избирателей"	83800	2411	1282	648	735	679	972	346	752	834	837	2503	2568	1801	2574	2675	2700	2706	2639	2485	366	1137	2280	1446	2714	2360	2361	1672	1556	1836	2293	1106	2702	357	2707	2741	1942	2079	2064	1271	660	415	744	365	1409	702	1561	2121	230	414	309	330	168	217	382	283	752	2031	237	1333					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	80770	2450	1500	720	780	750	1100	420	910	940	880	2400	2400	2200	2400	2500	2500	2550	2500	2400	350	1100	2150	1250	2350	2200	2200	1600	1450	1800	2100	1050	2450	370	2500	2500	1800	2000	1950	1200	650	370	700	330	1330	770	1500	2000	220	430	300	300	170	210	350	250	720	1980	220	1300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	58670	1327	574	400	525	276	482	162	491	513	256	1749	2007	1731	1893	2247	1854	1857	1801	1761	233	816	1632	1020	2108	1809	1772	1211	1153	1583	1566	873	1804	227	2002	1953	1443	1639	1461	1032	481	218	394	241	925	588	798	1316	98	234	175	163	109	150	341	114	564	1413	85	1020					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	7584	412	363	117	78	245	208	72	261	313	230	52	57	70	46	34	160	90	296	81	31	43	71	79	55	51	62	85	36	67	148	25	184	128	340	150	61	45	126	107	30	127	225	77	345	114	384	249	60	86	78	46	49	50	9	111	75	165	97	128					
6	Число погашенных избирательных бюллетеней	14514	711	563	203	177	229	410	186	158	114	394	599	336	398	460	219	486	603	403	558	86	241	447	151	187	340	366	304	261	150	386	152	462	15	158	397	296	316	363	61	139	25	81	12	60	68	318	435	62	110	47	91	12	10	0	25	81	402	38	152					
7	Число избирательных бюллетеней в переносных ящиках для голосования	7582	412	363	117	78	245	208	72	261	313	228	52	57	70	46	34	160	90	296	81	31	43	71	79	55	51	62	85	36	67	148	25	184	128	340	150	61	45	126	107	30	127	225	77	345	114	384	249	60	86	78	46	49	50	9	111	75	165	97	128					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	58663	1327	574	400	525	276	482	162	491	513	256	1749	2007	1731	1893	2247	1854	1857	1801	1761	233	816	1632	1020	2108	1809	1765	1211	1153	1583	1566	873	1804	227	2002	1953	1443	1639	1461	1032	481	218	394	241	925	588	798	1316	98	234	175	163	109	150	341	114	564	1413	85	1020					
9	Число недействительных избирательных бюллетеней	674	10	20	32	4	8	4	9	3	4	5	6	36	31	32	10	14	15	5	17	1	0	19	13	9	24	17	8	15	15	67	14	20	1	58	15	12	5	11	2	2	0	3	0	10	5	10	18	0	2	1	1	1	0	1	3	10	9	1	6					
10	Число действительных избирательных бюллетеней	65571	1729	917	485	599	513	686	225	749	822	479	1795	2028	1770	1907	2271	2000	1932	2092	1825	263	859	1684	1086	2154	1836	1810	1288	1174	1635	1647	884	1968	354	2284	2088	1492	1679	1576	1137	509	345	616	318	1260	697	1172	1547	158	318	252	208	157	200	349	222	629	1569	181	1142					
