Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																				
Дата голосования: 02.12.2007																																																																				
																																																																				
Наименование Избирательной комиссии:    Адлерская г.Сочи																																																																				
																																																																				
Сводная таблица результатов выборов																																																																				
																																																																				
		Сумма	УИК №4301	УИК №4302	УИК №4303	УИК №4304	УИК №4305	УИК №4306	УИК №4307	УИК №4308	УИК №4309	УИК №4310	УИК №4311	УИК №4312	УИК №4313	УИК №4314	УИК №4315	УИК №4316	УИК №4317	УИК №4318	УИК №4319	УИК №4320	УИК №4321	УИК №4322	УИК №4323	УИК №4324	УИК №4325	УИК №4326	УИК №4327	УИК №4328	УИК №4329	УИК №4330	УИК №4331	УИК №4332	УИК №4333	УИК №4334	УИК №4335	УИК №4336	УИК №4337	УИК №4338	УИК №4339	УИК №4340	УИК №4341	УИК №4342	УИК №4343	УИК №4344	УИК №4345	УИК №4346	УИК №4347	УИК №4348	УИК №4349	УИК №4350	УИК №4351	УИК №4352	УИК №4353	УИК №4354	УИК №4355	УИК №4356	УИК №4357	УИК №4358	УИК №4359	УИК №4360	УИК №4361					
1	"Число избирателей, внесенных в списки избирателей"	76712	161	283	110	1390	2064	484	1761	2822	1551	2252	2657	1902	576	1446	745	1102	2076	913	1565	1084	1730	1205	1399	2380	1656	281	1811	1175	1915	759	1822	1726	2234	1322	2516	2265	2487	948	537	1135	451	675	520	1107	586	1693	1264	1562	1985	731	400	251	489	1510	301	381	298	1025	929	1216	1091					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	69980	150	250	100	1550	2000	450	1650	2700	1400	2000	2450	1700	550	1300	550	900	1950	820	1470	1000	1700	900	1300	2200	1500	240	1700	1000	1600	600	1750	1600	1900	1250	2400	2000	2400	630	420	1100	340	600	500	1000	550	1500	1200	1350	1950	680	400	230	500	1400	250	320	250	950	850	1100	930					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	36646	89	154	70	707	768	201	518	1202	562	1023	1191	872	239	684	433	528	916	429	790	589	900	689	650	1167	812	132	900	511	851	378	844	826	1024	609	1094	1198	1220	511	366	626	210	300	204	498	314	945	659	701	995	334	228	120	272	832	135	224	206	473	364	507	852					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2319	0	0	0	101	74	57	102	21	59	10	23	77	9	22	9	13	27	27	25	11	31	20	19	26	21	52	41	28	24	8	20	56	15	130	19	28	28	4	11	21	22	86	49	82	26	12	14	35	41	87	102	61	81	61	24	27	29	56	71	30	54					
6	Число погашенных избирательных бюллетеней	31015	61	96	30	742	1158	192	1030	1477	779	967	1236	751	302	594	108	359	1007	364	655	400	769	191	631	1007	667	56	759	461	725	214	886	718	861	511	1287	774	1152	115	43	453	108	214	247	420	210	543	527	614	914	259	70	49	147	507	91	69	15	421	415	563	24					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2319	0	0	0	101	74	57	102	21	59	10	23	77	9	22	9	13	27	27	25	11	31	20	19	26	21	52	41	28	24	8	20	56	15	130	19	28	28	4	11	21	22	86	49	82	26	12	14	35	41	87	102	61	81	61	24	27	29	56	71	30	54					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	36564	89	154	70	706	768	201	517	1202	562	1023	1190	872	239	684	433	528	916	403	789	589	900	689	649	1167	812	132	900	511	849	378	844	826	1024	609	1093	1198	1220	511	365	625	210	300	204	498	314	943	658	701	952	334	228	120	272	832	135	224	206	473	364	507	852					
9	Число недействительных избирательных бюллетеней	843	4	0	0	19	16	10	1	21	22	27	23	20	14	35	3	13	17	7	11	10	26	9	15	21	19	0	16	10	14	12	25	14	28	11	23	29	41	15	3	15	2	2	6	28	13	32	26	16	0	2	1	3	0	20	3	5	9	17	6	15	18					
10	Число действительных избирательных бюллетеней	38040	85	154	70	788	826	248	618	1202	599	1006	1190	929	234	671	439	528	926	423	803	590	905	700	653	1172	814	184	925	529	859	374	839	868	1011	728	1089	1197	1207	500	373	631	230	384	247	552	327	923	646	720	993	419	329	178	353	873	156	246	226	512	429	522	888					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1230	10	10	10	40	25	15	20	30	20	40	30	25	10	20	15	15	25	20	25	20	20	15	20	30	15	15	20	15	20	15	20	20	20	20	30	25	30	15	10	20	10	15	15	15	10	20	20	20	25	10	10	10	50	60	10	25	10	20	15	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	641	0	0	0	35	12	0	3	10	3	40	16	25	4	3	3	4	13	3	12	6	7	1	6	14	10	15	14	5	10	3	6	14	16	14	16	19	19	2	0	4	2	1	2	11	5	14	15	4	25	1	0	5	50	60	0	25	0	20	3	9	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	882	2	2	1	4	5	3	1	5	8	5	5	11	3	2	63	15	8	7	8	3	14	139	3	13	8	2	9	35	12	81	16	4	12	9	14	6	6	106	64	11	45	1	1	2	1	1	10	7	4	6	5	2	13	24	5	7	6	0	5	2	10					
14	Число погашенных неиспользованных открепительных удостоверений	589	10	10	10	5	13	15	17	20	17	0	14	0	6	17	12	11	12	17	13	14	13	14	14	16	5	0	6	10	10	12	14	6	4	6	14	6	11	13	10	16	8	14	13	4	5	6	5	16	0	9	10	5	0	0	10	0	10	0	12	11	18					
