Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    район Печатники																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №3708	УИК №3709									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	56014	2074	1397	2529	2481	2710	2423	2214	2230	1830	2493	1590	2169	2570	2529	2420	2293	2353	1424	2235	2063	2379	1542	1638	2765	2736	27	900									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	46450	1500	1000	2000	2000	2000	2000	2000	2000	1500	2000	1500	2000	2000	2000	2000	2000	2000	1000	2000	2000	2000	1500	1500	2000	2000	50	900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18691	747	478	787	820	860	740	726	675	642	786	530	681	853	877	696	819	760	429	709	640	714	455	535	900	905	27	900									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	835	1	18	40	48	27	41	53	49	18	46	38	34	42	29	46	11	20	15	20	17	47	32	36	41	66	0	0									
6	Число погашенных избирательных бюллетеней	26924	752	504	1173	1132	1113	1219	1221	1276	840	1168	932	1285	1105	1094	1258	1170	1220	556	1271	1343	1239	1013	929	1059	1029	23	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	835	1	18	40	48	27	41	53	49	18	46	38	34	42	29	46	11	20	15	20	17	47	32	36	41	66	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18618	736	477	747	820	860	740	721	674	640	786	529	681	853	876	696	819	760	423	708	640	712	454	535	900	905	27	899									
9	Число недействительных избирательных бюллетеней	414	15	11	12	19	9	12	9	8	14	16	11	17	17	18	24	8	27	15	20	19	8	9	18	16	28	0	34									
10	Число действительных избирательных бюллетеней	19039	722	484	775	849	878	769	765	715	644	816	556	698	878	887	718	822	753	423	708	638	751	477	553	925	943	27	865									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	720	35	25	35	35	35	30	25	25	25	35	20	25	35	35	30	30	30	20	25	25	30	20	20	35	35	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	280	14	7	12	18	13	10	10	4	10	19	4	6	8	19	18	12	12	7	12	19	11	6	3	12	14	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	339	27	57	4	5	10	10	9	17	4	7	4	2	7	7	21	11	4	10	8	10	6	15	2	31	37	1	13									
14	Число погашенных неиспользованных открепительных удостоверений	440	21	18	23	17	22	20	15	21	15	16	16	19	27	16	12	18	18	13	13	6	19	14	17	23	21	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	44	2	0	4	3	5	2	2	0	2	2	2	1	2	1	2	1	2	0	1	2	2	0	1	5	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	642	21	17	31	26	37	23	19	26	22	27	23	35	23	35	22	26	29	16	23	19	27	16	16	18	49	2	14									
		3.30%	2.85%	3.43%	3.94%	2.99%	4.17%	2.94%	2.45%	3.60%	3.34%	3.25%	4.06%	4.90%	2.57%	3.87%	2.96%	3.13%	3.72%	3.65%	3.16%	2.89%	3.56%	3.29%	2.80%	1.91%	5.05%	7.41%	1.56%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	348	15	10	19	13	12	12	12	20	9	11	7	18	21	10	15	8	18	9	15	12	17	6	10	17	19	1	12									
		1.79%	2.04%	2.02%	2.41%	1.50%	1.35%	1.54%	1.55%	2.77%	1.37%	1.32%	1.23%	2.52%	2.35%	1.10%	2.02%	0.96%	2.31%	2.05%	2.06%	1.83%	2.24%	1.23%	1.75%	1.81%	1.96%	3.70%	1.33%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	599	21	8	26	27	23	26	28	23	19	32	20	20	29	25	23	33	29	11	21	11	16	13	26	24	39	1	25									
		3.08%	2.85%	1.62%	3.30%	3.11%	2.59%	3.33%	3.62%	3.18%	2.89%	3.85%	3.53%	2.80%	3.24%	2.76%	3.10%	3.98%	3.72%	2.51%	2.88%	1.67%	2.11%	2.67%	4.55%	2.55%	4.02%	3.70%	2.78%									
