Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Железноводская городская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	39415	2810	941	1570	1437	1904	762	1184	1957	1689	1436	567	948	381	2035	1981	603	1832	2671	1312	1870	1304	446	1775	2027	1531	1958	224	158	102									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	37566	2700	900	1500	1350	1850	750	1100	1900	1600	1350	366	800	300	2000	1900	550	1750	2600	1250	1800	1300	450	1700	1950	1500	1700	250	200	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16568	1256	415	725	688	851	345	557	930	657	608	331	416	181	729	707	337	675	837	434	635	484	445	739	762	614	730	221	157	102									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	564	7	22	22	13	21	17	8	24	36	10	13	10	7	14	14	22	40	53	22	28	38	0	29	27	36	31	0	0	0									
6	Число погашенных избирательных бюллетеней	20434	1437	463	753	649	978	388	535	946	907	732	22	374	112	1257	1179	191	1035	1710	794	1137	778	5	932	1161	850	939	29	43	98									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	564	7	22	22	13	21	17	8	24	36	10	13	10	7	14	14	22	40	53	22	28	38	0	29	27	36	31	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16550	1256	415	724	688	851	345	557	930	657	595	331	416	181	729	707	337	671	837	434	635	484	445	739	762	614	730	221	157	102									
9	Число недействительных избирательных бюллетеней	617	42	9	21	22	30	18	42	30	34	25	11	17	9	28	33	14	11	47	16	19	8	19	37	14	14	35	5	3	4									
10	Число действительных избирательных бюллетеней	16497	1221	428	725	679	842	344	523	924	659	580	333	409	179	715	688	345	700	843	440	644	514	426	731	775	636	726	216	154	98									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	205	15	5	10	10	10	5	5	10	10	10	5	5	5	10	10	5	10	10	5	10	5	0	10	10	5	10	0	0	0									
