Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																							
Дата голосования: 02.12.2007																																																																																							
																																																																																							
Наименование Избирательной комиссии:    Тарская																																																																																							
																																																																																							
Сводная таблица результатов выборов																																																																																							
																																																																																							
		Сумма	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696					
1	"Число избирателей, внесенных в списки избирателей"	33723	171	1057	559	658	1197	133	1162	1100	1375	1071	928	1164	1094	217	63	1315	1088	1460	1052	959	776	312	168	39	291	61	240	82	207	109	59	488	99	199	531	153	503	69	682	118	569	188	368	120	125	127	157	126	364	103	452	291	88	211	49	604	1108	409	333	326	88	24	685	216	250	315	687	205	470	294	149	51	22	81	287	106	436	122	58	50					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	30320	160	850	500	550	1000	140	900	900	1100	900	700	900	900	200	70	1000	800	1100	800	750	650	320	170	50	300	70	260	90	200	110	60	490	100	200	540	170	550	80	680	130	570	190	370	110	130	130	150	130	380	110	450	290	90	210	60	610	1100	420	340	350	100	30	650	220	250	310	670	210	470	300	170	70	40	100	300	110	450	130	60	50					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	22828	107	613	321	403	754	108	589	631	844	585	521	704	691	184	63	643	650	864	614	570	530	268	148	39	270	54	204	76	162	95	52	373	86	160	411	113	341	62	464	101	416	181	249	94	105	111	141	96	257	80	384	236	84	183	49	478	692	274	179	296	85	23	523	174	183	268	548	194	398	215	142	51	22	81	211	97	356	100	54	50					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2261	0	68	27	35	52	25	41	67	59	80	54	34	77	0	0	60	31	40	28	144	51	15	0	0	0	0	14	0	24	9	6	28	5	19	37	18	35	3	86	7	58	2	68	6	10	0	0	3	44	18	23	12	0	15	0	31	131	49	152	12	0	0	29	12	32	27	59	0	28	21	0	0	0	0	54	7	61	16	2	0					
6	Число погашенных избирательных бюллетеней	5231	53	169	152	112	194	7	270	202	197	235	125	162	132	16	7	297	119	196	158	36	69	37	22	11	30	16	42	14	14	6	2	89	9	21	92	39	174	15	130	22	96	7	53	10	15	19	9	31	79	12	43	42	6	12	11	101	277	97	9	42	15	7	98	34	35	15	63	16	44	64	28	19	18	19	35	6	33	14	4	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2261	0	68	27	35	52	25	41	67	59	80	54	34	77	0	0	60	31	40	28	144	51	15	0	0	0	0	14	0	24	9	6	28	5	19	37	18	35	3	86	7	58	2	68	6	10	0	0	3	44	18	23	12	0	15	0	31	131	49	152	12	0	0	29	12	32	27	59	0	28	21	0	0	0	0	54	7	61	16	2	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	22822	107	613	321	403	754	108	589	631	844	585	521	704	691	184	63	643	650	864	614	570	530	268	148	39	270	54	204	76	162	95	52	373	86	160	411	113	341	62	464	101	416	181	249	94	105	111	141	96	257	80	384	236	84	183	49	478	687	274	179	296	85	23	523	174	183	268	548	194	397	215	142	51	22	81	211	97	356	100	54	50					
9	Число недействительных избирательных бюллетеней	306	1	1	6	0	2	3	7	6	6	6	7	10	6	1	1	11	16	12	7	8	0	8	2	0	7	0	5	0	0	1	0	5	3	0	3	3	7	0	11	2	3	9	3	2	1	0	0	0	7	1	7	3	2	1	0	8	9	5	3	3	0	0	14	3	0	2	9	1	5	11	3	1	2	0	8	4	2	0	0	0					
10	Число действительных избирательных бюллетеней	24777	106	680	342	438	804	130	623	692	897	659	568	728	762	183	62	692	665	892	635	706	581	275	146	39	263	54	213	76	186	103	58	396	88	179	445	128	369	65	539	106	471	174	314	98	114	111	141	99	294	97	400	245	82	197	49	501	809	318	328	305	85	23	538	183	215	293	598	193	420	225	139	50	20	81	257	100	415	116	56	50					
