Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																						
Дата голосования: 04.12.2011																																																																																						
																																																																																						
Наименование Избирательной комиссии:    Тарская																																																																																						
																																																																																						
Сводная таблица результатов выборов																																																																																						
																																																																																						
		Сумма	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670					
1	"Число избирателей, внесенных в список избирателей"	34626	1361	570	633	1233	159	1052	1189	1452	1105	1021	1177	1053	758	700	1096	1478	814	1263	925	142	58	316	191	36	293	57	235	49	198	105	50	538	108	216	559	153	532	70	661	118	601	169	329	110	125	112	168	135	411	118	54	451	272	93	206	38	661	373	108	312	719	253	171	46	78	686	221	263	457	306	226	1078	399	372	334	23	62	273	89					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	32157	1300	500	550	1100	161	950	1100	1300	1000	950	1050	1000	650	600	850	1300	700	1150	800	150	59	323	193	36	297	55	241	60	188	103	49	540	106	217	550	163	500	69	660	121	530	170	320	106	130	117	166	130	390	113	54	420	270	87	200	45	600	370	105	300	700	257	170	42	81	650	200	250	420	300	224	1000	370	364	340	25	81	280	89					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	19802	566	213	301	650	129	505	530	732	518	495	681	620	350	303	503	674	430	563	472	119	57	239	163	36	271	52	177	35	121	88	37	363	76	157	357	107	324	51	389	88	342	123	222	63	81	87	124	68	310	88	50	312	213	79	174	38	396	229	62	213	479	197	142	33	76	418	146	171	285	243	189	560	209	285	226	22	62	172	71					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1739	29	23	27	56	30	43	44	53	53	50	38	30	15	24	31	27	33	86	62	0	0	10	0	0	0	0	15	0	21	8	4	38	10	8	35	14	16	3	71	10	35	2	18	4	10	0	0	9	46	11	1	14	7	0	2	0	18	29	20	17	83	31	0	7	0	40	15	15	35	5	0	49	39	75	33	0	0	44	8					
6	Число погашенных избирательных бюллетеней	10616	705	264	222	394	2	402	526	515	429	405	331	350	285	273	316	599	237	501	266	31	2	74	30	0	26	3	49	25	46	7	8	139	20	52	158	42	160	15	200	23	153	45	80	39	39	30	42	53	34	14	3	94	50	8	24	7	186	112	23	70	138	29	28	2	5	192	39	64	100	52	35	391	122	4	81	3	19	64	10					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1739	29	23	27	56	30	43	44	53	53	50	38	30	15	24	31	27	33	86	62	0	0	10	0	0	0	0	15	0	21	8	4	38	10	8	35	14	16	3	71	10	35	2	18	4	10	0	0	9	46	11	1	14	7	0	2	0	18	29	20	17	83	31	0	7	0	40	15	15	35	5	0	49	39	75	33	0	0	44	8					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19792	564	213	301	645	129	505	530	732	518	495	681	620	350	303	503	674	430	563	470	119	57	239	163	36	271	52	177	35	121	88	37	363	76	157	357	107	324	51	389	88	342	123	222	63	81	87	124	68	310	88	50	312	213	79	174	38	396	229	62	213	479	197	142	33	76	418	146	171	284	243	189	560	209	285	226	22	62	172	71					
9	Число недействительных избирательных бюллетеней	357	12	6	5	16	28	7	6	11	11	11	10	6	14	3	5	10	7	9	11	4	3	1	0	0	1	0	3	0	1	0	1	5	1	10	8	1	0	1	9	2	3	4	3	3	0	2	3	0	5	1	0	7	2	0	2	0	9	11	0	4	5	5	0	0	0	7	1	1	8	1	3	12	4	8	2	0	0	2	0					
10	Число действительных избирательных бюллетеней	21174	581	230	323	685	131	541	568	774	560	534	709	644	351	324	529	691	456	640	521	115	54	248	163	36	270	52	189	35	141	96	40	396	85	155	384	120	340	53	451	96	374	121	237	64	91	85	121	77	351	98	51	319	218	79	174	38	405	247	82	226	557	223	142	40	76	451	160	185	311	247	186	597	244	352	257	22	62	214	79					
