Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Фроловская городская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №4601	УИК №4602	УИК №4603	УИК №4604	УИК №4605	УИК №4606	УИК №4607	УИК №4608	УИК №4609	УИК №4610	УИК №4611	УИК №4612	УИК №4613	УИК №4614	УИК №4615	УИК №4616	УИК №4617	УИК №4618	УИК №4619	УИК №4620	УИК №4621									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	29242	1399	1278	1218	1389	1255	1177	1571	1630	1418	1335	1428	1533	1420	1413	1559	1450	1415	1144	1238	1700	1272									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25401	1369	1100	1185	1100	1247	1000	1300	1400	1300	1200	1300	1300	1300	1200	1400	1300	1200	1000	1000	1100	1100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11779	709	402	598	448	508	390	778	642	857	527	660	693	589	482	725	524	549	365	548	326	459									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3713	114	138	39	257	68	136	145	152	41	168	235	106	218	196	184	187	137	253	144	641	154									
6	Число погашенных избирательных бюллетеней	9909	546	560	548	395	671	474	377	606	402	505	405	501	493	522	491	589	514	382	308	133	487									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3713	114	138	39	257	68	136	145	152	41	168	235	106	218	196	184	187	137	253	144	641	154									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11779	709	402	598	448	508	390	778	642	857	527	660	693	589	482	725	524	549	365	548	326	459									
9	Число недействительных избирательных бюллетеней	118	8	4	7	5	10	21	5	8	0	3	3	8	3	0	7	3	1	7	9	0	6									
10	Число действительных избирательных бюллетеней	15374	815	536	630	700	566	505	918	786	898	692	892	791	804	678	902	708	685	611	683	967	607									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	492	21	21	21	21	21	29	21	31	21	31	24	21	31	21	21	21	21	31	21	21	21									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	391	18	13	14	16	16	22	15	31	17	31	21	21	26	18	19	13	19	29	14	6	12									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	123	5	6	11	15	3	10	4	12	3	3	3	2	2	3	4	3	5	7	13	7	2									
14	Число погашенных неиспользованных открепительных удостоверений	101	3	8	7	5	5	7	6	0	4	0	3	0	5	3	2	8	2	2	7	15	9									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	52	1	2	0	2	5	1	4	2	3	3	3	5	2	2	1	5	2	2	0	7	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
