Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																															
Дата голосования: 04.12.2011																															
																															
Наименование Избирательной комиссии:    Лысогорская																															
																															
Сводная таблица результатов выборов																															
																															
		Сумма	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104					
1	"Число избирателей, внесенных в список избирателей"	15796	2342	1827	1754	790	314	594	324	475	549	662	277	624	484	433	197	1200	179	571	428	103	486	454	459	270					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16163	2387	1862	1737	828	308	642	323	488	565	685	275	638	496	460	208	1249	182	581	445	104	503	473	449	275					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	8166	1221	884	790	472	222	339	185	238	396	350	84	174	191	206	145	793	106	276	244	69	258	191	214	118					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1404	101	96	63	61	53	111	31	46	46	94	69	70	27	67	10	111	9	59	39	8	55	107	43	28					
6	Число погашенных избирательных бюллетеней	6593	1065	882	884	295	33	192	107	204	123	241	122	394	278	187	53	345	67	246	162	27	190	175	192	129					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1404	101	96	63	61	53	111	31	46	46	94	69	70	27	67	10	111	9	59	39	8	55	107	43	28					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8165	1220	884	790	472	222	339	185	238	396	350	84	174	191	206	145	793	106	276	244	69	258	191	214	118					
9	Число недействительных избирательных бюллетеней	141	24	30	9	7	0	6	1	10	3	9	1	5	3	4	0	8	2	4	1	0	5	4	3	2					
10	Число действительных избирательных бюллетеней	9428	1297	950	844	526	275	444	215	274	439	435	152	239	215	269	155	896	113	331	282	77	308	294	254	144					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	479	45	40	20	35	10	45	20	10	15	15	7	10	10	20	10	47	5	15	15	5	20	20	30	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	433	45	40	18	35	10	45	20	7	12	15	6	6	8	20	10	43	1	13	15	2	20	20	13	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	126	25	14	6	2	8	6	2	2	2	4	2	2	3	6	1	3	1	8	4	2	5	2	11	5					
14	Число погашенных неиспользованных открепительных удостоверений	46	0	0	2	0	0	0	0	3	3	0	1	4	2	0	0	4	4	2	0	3	0	0	17	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	21	6	1	4	1	3	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1457	254	245	167	83	38	46	27	44	41	54	10	34	35	24	28	96	14	44	41	6	48	38	20	20					
		15.23%	19.23%	25.00%	19.58%	15.57%	13.82%	10.22%	12.50%	15.49%	9.28%	12.16%	6.54%	13.93%	16.06%	8.79%	18.06%	10.62%	12.17%	13.13%	14.49%	7.79%	15.34%	12.75%	7.78%	13.70%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1124	152	113	106	82	27	81	18	41	21	59	5	26	25	41	28	99	18	36	18	8	46	25	34	15					
		11.75%	11.51%	11.53%	12.43%	15.38%	9.82%	18.00%	8.33%	14.44%	4.75%	13.29%	3.27%	10.66%	11.47%	15.02%	18.06%	10.95%	15.65%	10.75%	6.36%	10.39%	14.70%	8.39%	13.23%	10.27%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	74	10	14	11	0	2	3	0	4	3	4	1	2	3	1	0	7	4	2	0	0	0	0	2	1					
		0.77%	0.76%	1.43%	1.29%	0.00%	0.73%	0.67%	0.00%	1.41%	0.68%	0.90%	0.65%	0.82%	1.38%	0.37%	0.00%	0.77%	3.48%	0.60%	0.00%	0.00%	0.00%	0.00%	0.78%	0.68%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1760	320	243	223	82	18	60	44	64	52	102	40	59	43	51	11	98	36	63	31	3	42	43	14	18					
		18.39%	24.22%	24.80%	26.14%	15.38%	6.55%	13.33%	20.37%	22.54%	11.76%	22.97%	26.14%	24.18%	19.72%	18.68%	7.10%	10.84%	31.30%	18.81%	10.95%	3.90%	13.42%	14.43%	5.45%	12.33%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	95	19	19	7	4	0	4	1	0	2	4	0	3	3	5	3	12	1	0	2	2	1	0	2	1					
		0.99%	1.44%	1.94%	0.82%	0.75%	0.00%	0.89%	0.46%	0.00%	0.45%	0.90%	0.00%	1.23%	1.38%	1.83%	1.94%	1.33%	0.87%	0.00%	0.71%	2.60%	0.32%	0.00%	0.78%	0.68%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4877	535	309	324	273	190	250	125	118	320	211	96	114	105	145	83	583	39	186	189	58	167	186	182	89					
		50.97%	40.50%	31.53%	37.98%	51.22%	69.09%	55.56%	57.87%	41.55%	72.40%	47.52%	62.75%	46.72%	48.17%	53.11%	53.55%	64.49%	33.91%	55.52%	66.78%	75.32%	53.35%	62.42%	70.82%	60.96%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	41	7	7	6	2	0	0	0	3	0	1	0	1	1	2	2	1	1	0	1	0	4	2	0	0					
		0.43%	0.53%	0.71%	0.70%	0.38%	0.00%	0.00%	0.00%	1.06%	0.00%	0.23%	0.00%	0.41%	0.46%	0.73%	1.29%	0.11%	0.87%	0.00%	0.35%	0.00%	1.28%	0.67%	0.00%	0.00%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
