Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																															
Дата голосования: 02.12.2007																																															
																																															
Наименование Избирательной комиссии:    Атяшевская																																															
																																															
Сводная таблица результатов выборов																																															
																																															
		Сумма	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104					
1	"Число избирателей, внесенных в списки избирателей"	17363	2197	2108	634	1270	615	547	593	316	573	220	361	178	195	204	487	175	415	246	310	59	536	296	397	537	140	146	286	250	216	404	367	318	277	236	238	199	195	191	49	382					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	17639	2272	2241	631	1291	617	551	595	312	571	220	358	187	196	204	486	174	423	252	312	59	536	298	401	544	142	147	288	251	208	405	369	326	277	238	235	200	197	190	49	386					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	16354	2069	2009	586	1237	600	498	529	280	484	198	321	172	190	194	477	173	398	240	300	59	519	283	336	522	134	145	236	239	187	401	348	316	269	219	226	194	168	178	46	374					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	897	117	88	42	24	14	48	63	32	77	18	35	5	4	10	9	1	15	6	10	0	10	10	59	15	5	0	49	10	21	3	19	2	8	7	9	4	27	12	3	6					
6	Число погашенных избирательных бюллетеней	388	86	144	3	30	3	5	3	0	10	4	2	10	2	0	0	0	10	6	2	0	7	5	6	7	3	2	3	2	0	1	2	8	0	12	0	2	2	0	0	6					
7	Число избирательных бюллетеней в переносных ящиках для голосования	897	117	88	42	24	14	48	63	32	77	18	35	5	4	10	9	1	15	6	10	0	10	10	59	15	5	0	49	10	21	3	19	2	8	7	9	4	27	12	3	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16354	2069	2009	586	1237	600	498	529	280	484	198	321	172	190	194	477	173	398	240	300	59	519	283	336	522	134	145	236	239	187	401	348	316	269	219	226	194	168	178	46	374					
9	Число недействительных избирательных бюллетеней	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	17250	2186	2097	628	1260	614	546	592	312	561	216	356	177	194	204	486	174	413	246	310	59	529	293	395	537	139	145	285	249	208	404	367	318	277	226	235	198	195	190	49	380					
