Выборы Президента Российской Федерации																						
																						
Наименование Избирательной комиссии:    Шаховская																						
																						
Итоги голосования 																						
																						
		Сумма	УИК №3066	УИК №3067	УИК №3068	УИК №3069	УИК №3070	УИК №3071	УИК №3072	УИК №3073	УИК №3074	УИК №3075	УИК №3076	УИК №3077	УИК №3078	УИК №3079	УИК №3080					
1	"Число избирателей, внесенных в список"	17847	1889	1610	1695	2057	768	960	871	1046	1036	796	755	725	1010	1704	925					
2	Число полученных избирательных бюллетеней	17806	1883	1586	1713	2002	739	939	907	1045	1021	802	756	713	1032	1730	938					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9610	1100	901	969	1176	416	526	476	481	571	354	425	351	542	876	446					
5	"Число избирательных бюллетеней, выданных вне помещения"	1721	31	29	26	49	43	36	144	177	235	178	147	106	162	205	153					
6	Число погашенных избирательных бюллетеней	6475	752	656	718	777	280	377	287	387	215	270	184	256	328	649	339					
7	Число избирательных бюллетеней в переносных ящиках	1721	31	29	26	49	43	36	144	177	235	178	147	106	162	205	153					
8	Число бюллетеней в стационарных ящиках для голосования	9606	1100	901	969	1176	416	526	475	481	571	354	425	351	542	876	443					
9	Число недействительных избирательных бюллетеней	121	6	5	14	10	5	0	4	17	3	6	5	11	13	12	10					
10	Число действительных избирательных бюллетеней	11206	1125	925	981	1215	454	562	615	641	803	526	567	446	691	1069	586					
11	Число полученных открепительных  удостоверений	997	67	67	67	67	67	67	67	67	67	67	67	67	67	67	59					
12	Число выданных открепительных удостоверений	205	17	10	10	19	5	6	37	15	14	17	15	3	12	11	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	143	5	26	4	28	5	8	6	11	3	11	6	6	9	12	3					
14	Число неиспользованных открепительных удостоверений	792	50	57	57	48	62	61	30	52	53	50	52	64	55	56	45					
15	"Число открепительных удостоверений, выданных в ТИК"	3	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																						
18	. Глазьев Сергей Юрьевич	325	41	35	36	53	16	10	12	10	10	11	13	8	18	36	16					
		2.87%	3.63%	3.76%	3.62%	4.33%	3.49%	1.78%	1.94%	1.52%	1.24%	2.07%	2.27%	1.75%	2.56%	3.33%	2.68%					
19	. Малышкин Олег Александрович	263	28	25	18	38	13	9	10	13	17	16	9	18	9	23	17					
		2.32%	2.48%	2.69%	1.81%	3.10%	2.83%	1.60%	1.62%	1.98%	2.11%	3.01%	1.57%	3.94%	1.28%	2.13%	2.85%					
20	. Миронов Сергей Михайлович	55	5	4	4	5	2	0	4	4	8	2	5	2	5	2	3					
		0.49%	0.44%	0.43%	0.40%	0.41%	0.44%	0.00%	0.65%	0.61%	0.99%	0.38%	0.87%	0.44%	0.71%	0.19%	0.50%					
21	. Путин Владимир Владимирович	8724	850	685	707	914	323	451	532	521	644	413	441	341	568	858	476					
		77.02%	75.15%	73.66%	71.06%	74.61%	70.37%	80.25%	85.95%	79.18%	79.90%	77.63%	77.10%	74.62%	80.68%	79.37%	79.87%					
22	. Хакамада Ирина Муцуовна	222	28	21	36	37	12	10	5	10	17	3	4	7	9	17	6					
		1.96%	2.48%	2.26%	3.62%	3.02%	2.61%	1.78%	0.81%	1.52%	2.11%	0.56%	0.70%	1.53%	1.28%	1.57%	1.01%					
23	. Харитонов Николай Михайлович	1326	133	120	150	142	67	70	45	77	88	65	84	61	70	99	55					
		11.71%	11.76%	12.90%	15.08%	11.59%	14.60%	12.46%	7.27%	11.70%	10.92%	12.22%	14.69%	13.35%	9.94%	9.16%	9.23%					
																						
24	Против всех	291	40	35	30	26	21	12	7	6	19	16	11	9	12	34	13					
		2.57%	3.54%	3.76%	3.02%	2.12%	4.58%	2.14%	1.13%	0.91%	2.36%	3.01%	1.92%	1.97%	1.70%	3.15%	2.18%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
