Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																									
Дата голосования: 04.12.2011																																									
																																									
Наименование Избирательной комиссии:    Сафакулевская																																									
																																									
Сводная таблица результатов выборов																																									
																																									
		Сумма	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864					
1	"Число избирателей, внесенных в список избирателей"	11255	162	329	405	389	305	569	351	183	48	549	162	69	112	52	519	131	83	246	161	142	382	181	484	242	92	299	502	311	386	193	390	504	1336	986					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12010	250	350	450	450	300	600	350	200	50	600	150	100	100	60	550	150	100	300	200	150	400	200	500	250	100	300	500	300	400	200	400	500	1500	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7146	144	233	277	337	234	354	178	106	48	363	99	44	88	52	270	80	55	136	78	84	293	116	292	154	69	185	341	205	293	142	188	275	768	565					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	730	18	9	34	23	16	39	27	11	0	48	20	8	0	0	31	9	0	29	12	22	15	6	57	7	1	25	28	17	23	15	38	19	63	60					
6	Число погашенных избирательных бюллетеней	4134	88	108	139	90	50	207	145	83	2	189	31	48	12	8	249	61	45	135	110	44	92	78	151	89	30	90	131	78	84	43	174	206	669	375					
7	Число избирательных бюллетеней в переносных ящиках для голосования	730	18	9	34	23	16	39	27	11	0	48	20	8	0	0	31	9	0	29	12	22	15	6	57	7	1	25	28	17	23	15	38	19	63	60					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7146	144	233	277	337	234	354	178	106	48	363	99	44	88	52	270	80	55	136	78	84	293	116	292	154	69	185	341	205	293	142	188	275	768	565					
9	Число недействительных избирательных бюллетеней	147	0	5	2	22	4	6	2	1	0	4	1	0	0	4	6	2	0	8	3	2	5	1	4	5	3	1	1	2	4	3	3	11	19	13					
10	Число действительных избирательных бюллетеней	7729	162	237	309	338	246	387	203	116	48	407	118	52	88	48	295	87	55	157	87	104	303	121	345	156	67	209	368	220	312	154	223	283	812	612					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	542	12	24	40	24	11	25	18	7	0	30	10	0	7	1	20	5	2	35	15	11	34	10	23	7	5	15	33	11	31	10	6	10	30	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	534	12	24	39	24	11	25	18	7	0	30	10	0	7	1	20	5	2	35	15	11	34	10	23	7	5	15	33	11	31	10	4	10	26	19					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	56	0	2	2	2	1	1	0	0	1	2	0	0	2	1	2	0	0	2	1	1	1	1	1	2	1	0	2	2	6	3	0	1	13	3					
14	Число погашенных неиспользованных открепительных удостоверений	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	2	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	777	7	21	20	23	14	52	18	16	3	35	8	8	5	2	24	8	8	11	6	10	30	10	49	17	5	33	23	21	30	9	28	28	106	89					
		9.87%	4.32%	8.68%	6.43%	6.39%	5.60%	13.23%	8.78%	13.68%	6.25%	8.52%	6.72%	15.38%	5.68%	3.85%	7.97%	8.99%	14.55%	6.67%	6.67%	9.43%	9.74%	8.20%	14.04%	10.56%	7.14%	15.71%	6.23%	9.46%	9.49%	5.73%	12.39%	9.52%	12.76%	14.24%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	347	7	7	5	3	7	44	16	6	4	11	1	2	3	1	11	4	3	9	5	5	5	1	20	1	3	10	9	10	28	5	9	7	54	31					
		4.41%	4.32%	2.89%	1.61%	0.83%	2.80%	11.20%	7.80%	5.13%	8.33%	2.68%	0.84%	3.85%	3.41%	1.92%	3.65%	4.49%	5.45%	5.45%	5.56%	4.72%	1.62%	0.82%	5.73%	0.62%	4.29%	4.76%	2.44%	4.50%	8.86%	3.18%	3.98%	2.38%	6.50%	4.96%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	60	1	1	1	1	3	3	3	0	1	3	1	2	1	0	3	3	0	2	0	0	2	0	2	0	0	1	1	2	2	1	1	1	10	8					
		0.76%	0.62%	0.41%	0.32%	0.28%	1.20%	0.76%	1.46%	0.00%	2.08%	0.73%	0.84%	3.85%	1.14%	0.00%	0.99%	3.37%	0.00%	1.21%	0.00%	0.00%	0.65%	0.00%	0.57%	0.00%	0.00%	0.48%	0.27%	0.90%	0.63%	0.64%	0.44%	0.34%	1.20%	1.28%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1576	48	43	61	52	33	81	72	11	3	93	30	22	11	1	87	15	14	34	21	20	65	16	59	20	16	49	80	42	41	23	45	60	201	107					
		20.01%	29.63%	17.77%	19.61%	14.44%	13.20%	20.61%	35.12%	9.40%	6.25%	22.63%	25.21%	42.31%	12.50%	1.92%	28.90%	16.85%	25.45%	20.61%	23.33%	18.87%	21.10%	13.11%	16.91%	12.42%	22.86%	23.33%	21.68%	18.92%	12.97%	14.65%	19.91%	20.41%	24.19%	17.12%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	65	1	2	0	5	1	3	3	0	0	8	1	1	0	0	5	0	0	0	0	0	1	1	2	0	0	0	1	0	0	0	2	1	21	6					
		0.83%	0.62%	0.83%	0.00%	1.39%	0.40%	0.76%	1.46%	0.00%	0.00%	1.95%	0.84%	1.92%	0.00%	0.00%	1.66%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.82%	0.57%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.88%	0.34%	2.53%	0.96%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4863	97	163	222	254	187	202	91	83	35	254	77	17	65	41	162	57	30	100	54	68	200	93	212	116	43	113	253	143	210	116	137	185	418	365					
		61.74%	59.88%	67.36%	71.38%	70.56%	74.80%	51.40%	44.39%	70.94%	72.92%	61.80%	64.71%	32.69%	73.86%	78.85%	53.82%	64.04%	54.55%	60.61%	60.00%	64.15%	64.94%	76.23%	60.74%	72.05%	61.43%	53.81%	68.56%	64.41%	66.46%	73.89%	60.62%	62.93%	50.30%	58.40%					
