Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																						
Дата голосования: 02.12.2007																																						
																																						
Наименование Избирательной комиссии:    Клинцовская городская																																						
																																						
Сводная таблица результатов выборов																																						
																																						
		Сумма	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585					
1	"Число избирателей, внесенных в списки избирателей"	55797	1908	1831	1862	1796	1850	1929	1777	2170	1996	1754	2112	1816	1801	1891	1873	1765	1825	1874	1823	1774	1982	2185	1898	2059	2011	2066	1676	1239	1048	1689	517					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	54000	1800	1800	1800	1800	1800	1900	1700	2100	1900	1700	2100	1700	1800	1800	1800	1700	1800	1800	1800	1700	1900	2100	1800	2000	2000	2000	1600	1200	1000	1600	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	25574	873	830	921	891	901	886	772	801	751	758	893	832	746	891	776	737	883	913	872	898	1015	1026	948	1027	852	901	918	575	452	790	245					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1138	23	44	27	26	42	25	10	40	72	41	53	31	65	53	79	44	23	31	30	23	21	33	30	40	27	32	23	65	22	42	21					
6	Число погашенных избирательных бюллетеней	27288	904	926	852	883	857	989	918	1259	1077	901	1154	837	989	856	945	919	894	856	898	779	864	1041	822	933	1121	1067	659	560	526	768	234					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1138	23	44	27	26	42	25	10	40	72	41	53	31	65	53	79	44	23	31	30	23	21	33	30	40	27	32	23	65	22	42	21					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	25571	873	830	921	891	901	886	772	801	751	758	893	832	746	891	776	737	880	913	872	898	1015	1026	948	1027	852	901	918	575	452	790	245					
9	Число недействительных избирательных бюллетеней	232	13	7	10	7	10	6	7	3	10	6	3	9	4	12	4	9	6	4	10	10	8	8	7	7	5	7	1	25	2	10	2					
10	Число действительных избирательных бюллетеней	26477	883	867	938	910	933	905	775	838	813	793	943	854	807	932	851	772	897	940	892	911	1028	1051	971	1060	874	926	940	615	472	822	264					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	630	20	20	20	20	20	20	20	20	20	20	30	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	261	13	18	8	17	10	9	6	5	8	6	27	3	6	7	5	10	7	5	5	8	6	13	9	16	6	4	7	3	1	11	2					
