Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																								
Дата голосования: 07.12.2003 0:00:00																								
																								
Наименование Избирательной комиссии:    Рогнединская																								
																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																								
																								
		Сумма	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903					
1	"Число избирателей, внесенных в списки"	6573	2594	511	81	237	92	89	362	319	346	76	55	246	88	756	298	243	180					
2	"Число бюллетеней, полученных участковыми комиссиями"	6500	2500	510	90	235	90	100	340	325	355	85	50	245	95	765	295	250	170					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3635	1339	312	18	147	48	23	205	193	228	63	30	205	62	381	168	128	85					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	600	106	37	51	31	21	33	22	40	34	0	17	3	7	85	35	53	25					
6	Число погашенных бюллетеней	2265	1055	161	21	57	21	44	113	92	93	22	3	37	26	299	92	69	60					
7	Число бюллетеней в переносных ящиках для голосования	600	106	37	51	31	21	33	22	40	34	0	17	3	7	85	35	53	25					
8	Число бюллетеней в стационарных ящиках для голосования	3634	1338	312	18	147	48	23	205	193	228	63	30	205	62	381	168	128	85					
9	Число недействительных бюллетеней	43	14	3	1	3	0	1	5	0	1	0	0	6	0	3	2	2	2					
10	Число действительных бюллетеней	4191	1430	346	68	175	69	55	222	233	261	63	47	202	69	463	201	179	108					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	60	20	3	1	5	5	1	2	2	2	1	1	3	2	3	3	3	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	19	10	0	0	1	0	1	1	0	0	0	0	1	0	0	2	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	28	8	4	0	0	0	1	0	1	0	2	2	3	0	1	2	2	2					
14	Число погашенных открепительных удостоверений	41	10	3	1	4	5	0	1	2	2	1	1	2	2	3	1	1	2					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																								
18	"1. ""ЕДИНЕНИЕ"""	55	16	2	0	7	0	1	2	6	5	2	0	1	1	7	2	2	1					
		1.29%	1.10%	0.57%	0.0%	3.93%	0.0%	1.78%	0.88%	2.57%	1.90%	3.17%	0.0%	0.48%	1.44%	1.50%	0.98%	1.10%	0.90%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	50	19	4	0	7	0	0	7	3	2	0	0	0	0	4	3	1	0					
		1.18%	1.31%	1.14%	0.0%	3.93%	0.0%	0.0%	3.08%	1.28%	0.76%	0.0%	0.0%	0.0%	0.0%	0.85%	1.47%	0.55%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	94	39	1	3	8	0	1	2	0	22	0	1	5	1	6	1	1	3					
		2.22%	2.70%	0.28%	4.34%	4.49%	0.0%	1.78%	0.88%	0.0%	8.39%	0.0%	2.12%	2.40%	1.44%	1.28%	0.49%	0.55%	2.72%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	33	17	0	0	2	0	1	3	2	0	0	0	1	0	2	3	2	0					
		0.77%	1.17%	0.0%	0.0%	1.12%	0.0%	1.78%	1.32%	0.85%	0.0%	0.0%	0.0%	0.48%	0.0%	0.42%	1.47%	1.10%	0.0%					
22	"5. ""За Русь Святую"""	19	8	1	0	4	0	2	0	1	1	0	0	1	0	1	0	0	0					
		0.44%	0.55%	0.28%	0.0%	2.24%	0.0%	3.57%	0.0%	0.42%	0.38%	0.0%	0.0%	0.48%	0.0%	0.21%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	8	3	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0					
		0.18%	0.20%	0.0%	0.0%	0.56%	0.0%	0.0%	0.44%	0.0%	0.38%	0.0%	0.0%	0.48%	0.0%	0.21%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	16	5	0	0	0	2	1	3	0	3	0	0	0	0	1	0	0	1					
		0.37%	0.34%	0.0%	0.0%	0.0%	2.89%	1.78%	1.32%	0.0%	1.14%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.90%					
25	"8. ""Народно-республиканская партия России"""	6	1	1	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0					
		0.14%	0.06%	0.28%	0.0%	0.0%	1.44%	3.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.55%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	11	3	1	1	0	1	0	1	0	2	0	0	0	1	0	1	0	0					
		0.25%	0.20%	0.28%	1.44%	0.0%	1.44%	0.0%	0.44%	0.0%	0.76%	0.0%	0.0%	0.0%	1.44%	0.0%	0.49%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	420	106	95	8	19	2	2	29	23	6	2	2	40	12	22	29	8	15					
		9.91%	7.34%	27.22%	11.59%	10.67%	2.89%	3.57%	12.77%	9.87%	2.29%	3.17%	4.25%	19.23%	17.39%	4.72%	14.28%	4.41%	13.63%					
28	"11. ""Истинные патриоты России"""	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
		0.04%	0.06%	0.0%	0.0%	0.0%	1.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	122	25	11	0	1	0	0	1	2	8	2	0	24	0	7	4	36	1					
		2.88%	1.73%	3.15%	0.0%	0.56%	0.0%	0.0%	0.44%	0.85%	3.05%	3.17%	0.0%	11.53%	0.0%	1.50%	1.97%	19.88%	0.90%					
30	"13. ""Демократическая партия России"""	11	0	3	0	2	1	0	1	0	0	0	0	1	0	2	1	0	0					
		0.25%	0.0%	0.85%	0.0%	1.12%	1.44%	0.0%	0.44%	0.0%	0.0%	0.0%	0.0%	0.48%	0.0%	0.42%	0.49%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	13	4	2	0	0	0	0	0	2	1	0	0	1	0	2	0	0	1					
		0.30%	0.27%	0.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.85%	0.38%	0.0%	0.0%	0.48%	0.0%	0.42%	0.0%	0.0%	0.90%					
32	"15. ""Партия СЛОН"""	9	0	2	0	1	0	0	1	0	1	0	0	0	0	0	1	3	0					
		0.21%	0.0%	0.57%	0.0%	0.56%	0.0%	0.0%	0.44%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.49%	1.65%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	205	76	24	1	3	8	2	9	4	25	1	2	6	4	19	13	6	2					
		4.84%	5.26%	6.87%	1.44%	1.68%	11.59%	3.57%	3.96%	1.71%	9.54%	1.58%	4.25%	2.88%	5.79%	4.07%	6.40%	3.31%	1.81%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	17	3	0	0	0	0	1	1	2	2	0	0	3	0	4	1	0	0					
		0.40%	0.20%	0.0%	0.0%	0.0%	0.0%	1.78%	0.44%	0.85%	0.76%	0.0%	0.0%	1.44%	0.0%	0.85%	0.49%	0.0%	0.0%					
35	"18. ""ЛДПР"""	398	155	20	6	13	14	5	23	28	24	6	6	11	4	48	23	7	5					
		9.40%	10.73%	5.73%	8.69%	7.30%	20.28%	8.92%	10.13%	12.01%	9.16%	9.52%	12.76%	5.28%	5.79%	10.30%	11.33%	3.86%	4.54%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	83	39	7	6	2	0	1	4	1	4	0	1	7	0	7	1	3	0					
		1.96%	2.70%	2.00%	8.69%	1.12%	0.0%	1.78%	1.76%	0.42%	1.52%	0.0%	2.12%	3.36%	0.0%	1.50%	0.49%	1.65%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	1585	583	85	25	44	30	22	94	113	66	29	2	86	35	195	78	42	56					
		37.43%	40.37%	24.35%	36.23%	24.71%	43.47%	39.28%	41.40%	48.49%	25.19%	46.03%	4.25%	41.34%	50.72%	41.84%	38.42%	23.20%	50.90%					
38	"21. ""Российская Конституционно-демократическая партия"""	5	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0					
		0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.44%	0.42%	0.0%	0.0%	0.0%	0.0%	1.44%	0.21%	0.49%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.02%	0.0%	0.0%	0.0%	0.56%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	897	271	77	18	58	4	14	36	36	78	20	31	10	10	123	30	59	22					
		21.18%	18.76%	22.06%	26.08%	32.58%	5.79%	24.99%	15.85%	15.45%	29.77%	31.74%	65.95%	4.80%	14.49%	26.39%	14.77%	32.59%	20.0%					
																								
41	Против всех	131	56	10	0	2	5	0	3	9	10	1	2	4	0	11	9	8	1					
		3.09%	3.87%	2.86%	0.0%	1.12%	7.24%	0.0%	1.32%	3.86%	3.81%	1.58%	4.25%	1.92%	0.0%	2.36%	4.43%	4.41%	0.90%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
