Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																									
Дата голосования: 02.12.2007																																																																									
																																																																									
"Наименование Избирательной комиссии:    Улан-Удэ, Октябрьская"																																																																									
																																																																									
Сводная таблица результатов выборов																																																																									
																																																																									
		Сумма	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752					
1	"Число избирателей, внесенных в списки избирателей"	125276	2170	1972	2253	2142	2334	1055	1697	1628	1534	1951	1832	1780	2160	1336	2409	2868	2265	1365	107	104	494	1810	2377	1609	1889	1283	1986	1965	1508	2867	95	1812	319	1797	1860	1992	2669	2177	2661	2547	2859	475	1444	2611	2461	2353	1831	2576	1981	1750	2892	2220	1160	1882	2327	1754	2548	1934	2773	2632	2184	1237	2817	2461	1604	1831					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	96814	1600	1400	1750	1600	1750	800	1300	1400	1200	1500	1300	1350	1600	900	1900	2200	1700	1050	98	105	460	1350	1800	1250	1450	850	1500	1450	1200	2200	102	1500	400	1400	1400	1400	2000	1700	2000	1900	2200	370	1100	1950	1900	2000	1400	2000	1500	1400	2200	1700	900	1500	1800	1300	1900	1500	2100	2000	1800	1099	2650	1850	1200	1680					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	66653	971	904	1203	1239	1300	389	674	727	787	943	1124	888	970	734	1422	1430	1188	503	93	76	403	1007	1370	738	1035	833	1093	858	614	1566	88	992	199	1011	911	956	1495	1000	1587	1565	1677	252	715	1332	1422	1274	997	1249	1116	944	1405	1044	581	1083	1257	853	1037	1155	1149	1533	918	761	1853	1570	1153	1437					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1880	59	15	28	6	15	6	15	36	29	28	18	18	19	16	99	35	35	11	0	27	0	19	36	14	11	11	24	15	19	9	7	20	120	22	32	38	39	27	12	26	22	76	3	59	22	15	23	30	17	27	25	40	45	10	17	29	28	24	19	16	68	24	203	0	3	19					
6	Число погашенных избирательных бюллетеней	28283	568	481	519	355	435	405	611	637	384	529	158	444	611	150	379	735	477	536	5	2	57	324	394	498	404	6	383	577	567	625	7	488	81	367	457	406	466	673	401	309	501	42	382	559	456	711	380	721	367	429	770	616	274	407	526	418	835	321	932	451	814	314	594	280	44	228					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1878	59	15	28	6	15	6	15	36	29	28	18	18	19	16	99	35	35	11	0	27	0	19	36	14	11	11	24	15	19	9	7	20	120	22	32	38	39	27	12	26	22	76	3	59	22	15	23	30	17	27	25	40	45	10	17	29	28	24	19	16	68	24	201	0	3	19					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	66593	969	904	1203	1238	1300	389	673	727	787	943	1121	888	970	734	1422	1430	1186	503	93	76	403	1007	1370	736	1033	833	1093	858	614	1564	88	992	199	1011	911	956	1495	1000	1587	1562	1675	252	715	1332	1416	1274	995	1249	1116	944	1403	1044	581	1083	1254	853	1036	1153	1149	1533	918	761	1844	1569	1151	1425					
9	Число недействительных избирательных бюллетеней	1595	16	14	21	25	18	22	15	25	2	33	23	20	19	12	19	56	26	16	1	2	9	29	31	26	28	5	22	26	21	41	1	0	22	21	21	3	35	29	69	36	26	7	25	26	47	23	18	26	35	20	33	25	25	25	29	20	24	31	25	15	58	40	52	38	14	28					
10	Число действительных избирательных бюллетеней	66876	1012	905	1210	1219	1297	373	673	738	814	938	1116	886	970	738	1502	1409	1195	498	92	101	394	997	1375	724	1016	839	1095	847	612	1532	94	1012	297	1012	922	991	1499	998	1530	1552	1671	321	693	1365	1391	1266	1000	1253	1098	951	1395	1059	601	1068	1242	862	1040	1146	1143	1534	928	745	1993	1531	1140	1416					
