Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																															
Дата голосования: 04.12.2011																																																																															
																																																																															
"Наименование Избирательной комиссии:    Улан-Удэ, Октябрьская"																																																																															
																																																																															
Сводная таблица результатов выборов																																																																															
																																																																															
		Сумма	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766					
1	"Число избирателей, внесенных в список избирателей"	114283	2004	1381	1406	1908	1673	2221	2129	2198	2051	1771	1954	1706	158	75	527	2036	2122	1446	1618	2243	2256	32	1864	1348	1786	1643	1574	1476	1856	2349	1888	1503	2023	2153	1664	1838	2210	1889	2047	1997	1414	1764	1716	2408	114	2131	416	2358	2076	2109	2245	90	213	70	1955	1562	52	2057	1822	1830	2217	1386	1415	1284	1430	2178	1242	1047	692	2010	1229	1728					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	92397	1450	1100	1050	1550	1200	1650	1650	1700	1750	1450	1600	1350	152	75	514	1550	1600	1100	1250	1800	1850	32	1400	1100	1450	1350	1300	1200	1450	1850	1550	1250	1800	1850	1350	1600	1750	1500	1550	1650	1250	1400	1400	1950	114	1500	392	1950	1750	1500	1700	90	213	70	1550	1400	48	1650	1500	1500	1800	1200	1100	1050	1200	1750	1000	1047	700	1600	1000	1650					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	61276	1074	613	749	1025	938	868	1171	796	1241	600	871	768	152	46	361	980	1400	829	823	1281	1231	32	920	627	954	884	928	987	966	1116	775	614	1253	736	920	902	1151	982	891	1262	923	1046	1065	1276	95	1299	216	1314	1158	1130	1162	80	188	70	1069	976	48	1109	1001	794	869	706	574	645	905	780	841	993	517	1329	973	1408					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2642	42	35	36	26	21	34	16	19	17	35	31	64	0	29	149	51	46	38	24	70	78	0	17	35	34	49	24	16	25	38	51	86	96	19	32	34	46	31	25	20	14	23	19	28	19	22	126	63	15	38	39	10	25	0	39	38	0	39	32	32	26	38	16	10	11	126	60	54	115	14	8	4					
6	Число погашенных избирательных бюллетеней	28479	334	452	265	499	241	748	463	885	492	815	698	518	0	0	4	519	154	233	403	449	541	0	463	438	462	417	348	197	459	696	724	550	451	1095	398	664	553	487	634	368	313	331	316	646	0	179	50	573	577	332	499	0	0	0	442	386	0	502	467	674	905	456	510	395	284	844	99	0	68	257	19	238					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2642	42	35	36	26	21	34	16	19	17	35	31	64	0	29	149	51	46	38	24	70	78	0	17	35	34	49	24	16	25	38	51	86	96	19	32	34	46	31	25	20	14	23	19	28	19	22	126	63	15	38	39	10	25	0	39	38	0	39	32	32	26	38	16	10	11	126	60	54	115	14	8	4					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	61244	1074	613	749	1023	938	868	1155	792	1241	600	871	767	152	46	361	980	1400	829	823	1281	1231	32	920	627	954	884	928	987	966	1116	775	611	1253	736	920	902	1151	982	891	1262	923	1045	1065	1276	95	1299	216	1314	1156	1130	1162	80	188	70	1069	976	48	1108	1001	794	869	706	574	645	905	780	841	993	516	1329	972	1408					
9	Число недействительных избирательных бюллетеней	896	18	7	11	12	12	15	15	19	26	8	10	14	1	0	14	16	10	17	12	19	14	0	10	6	9	13	17	7	16	15	14	10	22	12	10	13	21	17	8	15	5	16	10	23	0	19	5	17	20	17	19	0	2	0	20	14	0	6	10	16	15	6	8	3	0	25	23	7	7	22	30	26					
10	Число действительных избирательных бюллетеней	62990	1098	641	774	1037	947	887	1156	792	1232	627	892	817	151	75	496	1015	1436	850	835	1332	1295	32	927	656	979	920	935	996	975	1139	812	687	1327	743	942	923	1176	996	908	1267	932	1052	1074	1281	114	1302	337	1360	1151	1151	1182	90	211	70	1088	1000	48	1141	1023	810	880	738	582	652	916	881	878	1040	624	1321	950	1386					
