Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																							
Дата голосования: 02.12.2007																							
																							
Наименование Избирательной комиссии:    Радужнинская городская																							
																							
Сводная таблица результатов выборов																							
																							
		Сумма	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477					
1	"Число избирателей, внесенных в списки избирателей"	31384	2674	1818	1728	2026	1182	2141	2293	2009	2012	1908	1146	377	2651	2596	2529	2294					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	30265	2500	1800	1700	1800	1100	2000	2200	2000	2000	1800	1100	365	2600	2500	2500	2300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	18089	1250	1080	1013	1121	714	1120	1349	1160	1162	1144	630	228	1632	1563	1511	1412					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	388	6	11	13	200	3	57	6	17	4	15	23	0	13	6	8	6					
6	Число погашенных избирательных бюллетеней	11788	1244	709	674	479	383	823	845	823	834	641	447	137	955	931	981	882					
7	Число избирательных бюллетеней в переносных ящиках для голосования	388	6	11	13	200	3	57	6	17	4	15	23	0	13	6	8	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	18072	1240	1079	1013	1121	714	1120	1347	1159	1162	1144	630	228	1632	1563	1508	1412					
9	Число недействительных избирательных бюллетеней	221	18	10	14	13	16	14	16	22	16	6	6	1	13	21	20	15					
10	Число действительных избирательных бюллетеней	18239	1228	1080	1012	1308	701	1163	1337	1154	1150	1153	647	227	1632	1548	1496	1403					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	536	30	30	30	20	20	38	38	28	41	28	20	10	48	59	48	48					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	397	20	22	24	16	16	24	31	21	35	17	5	5	40	50	34	37					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	138	22	10	12	30	12	3	8	9	1	0	2	1	6	4	11	7					
14	Число погашенных неиспользованных открепительных удостоверений	139	10	8	6	4	4	14	7	7	6	11	15	5	8	9	14	11					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	48	3	7	6	1	1	4	4	1	5	0	1	0	5	3	4	3					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
18	1.Политическая партия «Аграрная партия России»	343	30	12	22	14	9	26	33	24	18	19	3	5	24	39	32	33					
		1.86%	2.41%	1.10%	2.14%	1.06%	1.26%	2.21%	2.44%	2.04%	1.54%	1.64%	0.46%	2.19%	1.46%	2.49%	2.11%	2.33%					
19	2.Всероссийская политическая партия «Гражданская Сила»	138	9	5	11	15	9	10	8	9	12	6	2	1	16	7	12	6					
		0.75%	0.72%	0.46%	1.07%	1.14%	1.26%	0.85%	0.59%	0.77%	1.03%	0.52%	0.31%	0.44%	0.97%	0.45%	0.79%	0.42%					
20	3.Политическая партия «Демократическая партия России»	20	1	2	2	0	1	0	1	1	0	1	1	0	3	3	0	4					
		0.11%	0.08%	0.18%	0.19%	0.00%	0.14%	0.00%	0.07%	0.09%	0.00%	0.09%	0.15%	0.00%	0.18%	0.19%	0.00%	0.28%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1432	113	81	79	107	41	104	101	103	101	97	46	12	115	145	99	88					
		7.76%	9.07%	7.43%	7.70%	8.10%	5.72%	8.84%	7.46%	8.76%	8.66%	8.37%	7.04%	5.26%	6.99%	9.24%	6.53%	6.21%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	56	0	4	2	3	4	3	2	11	3	1	1	0	3	8	6	5					
		0.30%	0.00%	0.37%	0.19%	0.23%	0.56%	0.25%	0.15%	0.94%	0.26%	0.09%	0.15%	0.00%	0.18%	0.51%	0.40%	0.35%					
23	6.Политическая партия «Партия социальной справедливости»	36	1	3	3	4	0	2	1	3	3	2	1	1	3	6	2	1					
		0.20%	0.08%	0.28%	0.29%	0.30%	0.00%	0.17%	0.07%	0.26%	0.26%	0.17%	0.15%	0.44%	0.18%	0.38%	0.13%	0.07%					
24	7.Политическая партия «Либерально-демократическая партия России»	1671	105	102	99	130	60	88	123	99	113	90	65	20	143	157	161	116					
		9.05%	8.43%	9.36%	9.65%	9.84%	8.37%	7.48%	9.09%	8.42%	9.69%	7.77%	9.95%	8.77%	8.69%	10.01%	10.62%	8.18%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	962	54	70	54	62	45	46	71	83	60	54	34	11	79	78	73	88					
		5.21%	4.33%	6.42%	5.26%	4.69%	6.28%	3.91%	5.25%	7.06%	5.15%	4.66%	5.21%	4.82%	4.80%	4.97%	4.82%	6.21%					
