Выборы Президента Российской Федерации																																																																							
																																																																							
"Наименование Избирательной комиссии:    Владикавказ, Правобережная"																																																																							
																																																																							
Итоги голосования 																																																																							
																																																																							
		Сумма	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260					
1	"Число избирателей, внесенных в список"	89495	1338	1300	220	2000	722	2067	1258	1750	1368	1247	872	220	2071	1879	484	2117	819	84	1883	1278	1638	2753	1893	2315	2308	1091	2169	713	636	2000	779	114	148	1137	1125	85	1061	2018	1195	102	199	185	3121	1624	1318	1212	2609	1463	1849	2478	747	1171	1105	1639	1485	1800	404	1676	2830	2645	2288	2328	2575	487					
2	Число полученных избирательных бюллетеней	83901	1150	1150	250	2000	750	2000	1150	1750	1400	1200	800	350	2000	1700	450	2050	750	100	1700	1250	1500	2800	1600	2000	2200	900	2100	600	600	2000	700	120	150	900	1000	100	1050	1900	1100	150	200	200	3000	1400	1200	1100	2300	1400	1830	2300	700	1100	1000	1500	1300	1600	400	1400	2700	2500	2200	2200	2551	400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	77330	1104	1090	217	1941	686	1857	1080	1700	1085	992	696	205	1980	1670	437	1920	701	84	1620	1158	986	2568	1427	1866	2150	799	1885	582	502	1876	474	114	141	811	941	84	943	1634	1082	102	199	185	2902	1319	1148	1037	2261	1194	1705	2156	680	981	992	1461	1259	1316	400	1129	2409	2435	2121	2014	2437	400					
5	"Число избирательных бюллетеней, выданных вне помещения"	2216	39	44	0	29	17	24	16	50	28	30	63	0	20	23	11	97	31	0	72	89	13	29	3	14	43	36	95	14	25	124	25	0	7	29	40	0	23	30	18	0	0	0	25	70	21	18	39	60	60	90	13	24	7	37	17	105	0	11	101	55	58	40	114	0					
6	Число погашенных избирательных бюллетеней	4355	7	16	33	30	47	119	54	0	287	178	41	145	0	7	2	33	18	16	8	3	501	203	170	120	7	65	120	4	73	0	201	6	2	60	19	16	84	236	0	48	1	15	73	11	31	45	0	146	65	54	7	95	1	2	24	179	0	260	190	10	21	146	0	0					
7	Число избирательных бюллетеней в переносных ящиках	2216	39	44	0	29	17	24	16	50	28	30	63	0	20	23	11	97	31	0	72	89	13	29	3	14	43	36	95	14	25	124	25	0	7	29	40	0	23	30	18	0	0	0	25	70	21	18	39	60	60	90	13	24	7	37	17	105	0	11	101	55	58	40	114	0					
8	Число бюллетеней в стационарных ящиках для голосования	77330	1104	1090	217	1941	686	1857	1080	1700	1085	992	696	205	1980	1670	437	1920	701	84	1620	1158	986	2568	1427	1866	2150	799	1885	582	502	1876	474	114	141	811	941	84	943	1634	1082	102	199	185	2902	1319	1148	1037	2261	1194	1705	2156	680	981	992	1461	1259	1316	400	1129	2409	2435	2121	2014	2437	400					
9	Число недействительных избирательных бюллетеней	245	3	1	8	3	9	7	4	6	6	5	0	1	0	20	3	5	1	0	7	2	14	7	7	3	2	3	4	0	1	0	3	0	1	0	5	2	0	0	0	0	0	1	2	4	5	3	0	0	8	7	1	7	11	0	2	2	1	18	20	0	5	0	2	3					
10	Число действительных избирательных бюллетеней	79301	1140	1133	209	1967	694	1874	1092	1744	1107	1017	759	204	2000	1673	445	2012	731	84	1685	1245	985	2590	1423	1877	2191	832	1976	596	526	2000	496	114	147	840	976	82	966	1664	1100	102	199	184	2925	1385	1164	1052	2300	1254	1757	2239	692	998	988	1498	1274	1419	399	1122	2490	2490	2174	2054	2549	397					
