Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    Нижнетавдинская																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18909	567	160	545	143	430	748	325	1282	922	335	391	356	282	518	418	99	2598	1800	1655	318	234	185	361	144	219	177	222	564	1216	299	203	375	701	117									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18866	567	160	550	143	430	745	317	1269	930	340	390	355	278	535	415	97	2600	1780	1625	328	239	193	364	144	211	172	219	547	1200	298	209	388	711	117									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16372	494	148	386	140	385	538	306	1132	649	323	365	310	218	363	395	76	2275	1634	1497	189	195	181	349	135	209	169	201	513	1096	270	182	308	654	87									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1315	29	0	126	0	27	197	7	51	246	12	25	23	50	108	18	20	42	16	23	70	16	4	5	9	1	0	5	34	34	8	6	37	47	19									
6	Число погашенных избирательных бюллетеней	1179	44	12	38	3	18	10	4	86	35	5	0	22	10	64	2	1	283	130	105	69	28	8	10	0	1	3	13	0	70	20	21	43	10	11									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1315	29	0	126	0	27	197	7	51	246	12	25	23	50	108	18	20	42	16	23	70	16	4	5	9	1	0	5	34	34	8	6	37	47	19									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16369	494	148	386	140	385	538	306	1132	649	323	365	310	218	363	395	76	2275	1634	1497	186	195	181	349	135	209	169	201	513	1096	270	182	308	654	87									
9	Число недействительных избирательных бюллетеней	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9	6	0	0	0	0	0	0	0	1	0	0	0	2	0	0									
10	Число действительных избирательных бюллетеней	17662	523	148	512	140	412	735	313	1183	895	335	390	333	268	471	413	96	2317	1646	1511	250	211	185	354	144	210	169	206	546	1130	278	188	343	701	106									
