Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																														
Дата голосования: 07.12.2003 0:00:00																														
																														
Наименование Избирательной комиссии:    Гаврилово-Посадская																														
																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																														
																														
		Сумма	УИК  405	УИК  406	УИК  407	УИК  408	УИК  409	УИК  410	УИК  411	УИК  412	УИК  413	УИК  414	УИК  415	УИК  416	УИК  417	УИК  418	УИК  419	УИК  420	УИК  421	УИК  422	УИК  423	УИК  424	УИК  425	УИК  426	УИК  427					
1	"Число избирателей, внесенных в списки"	15985	2382	2409	1219	400	467	356	120	523	202	226	274	260	379	218	221	748	289	422	447	318	966	2798	341					
2	"Число бюллетеней, полученных участковыми комиссиями"	14183	2072	2155	1085	363	421	318	108	446	177	199	253	235	340	194	203	671	249	381	413	287	865	2438	310					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7678	1117	1091	637	196	266	179	64	333	121	121	111	141	111	99	97	334	159	166	216	155	488	1249	227					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1003	37	92	22	95	33	27	18	37	32	25	97	72	57	41	40	90	17	53	14	8	8	70	18					
6	Число погашенных бюллетеней	5502	918	972	426	72	122	112	26	76	24	53	45	22	172	54	66	247	73	162	183	124	369	1119	65					
7	Число бюллетеней в переносных ящиках для голосования	1003	37	92	22	95	33	27	18	37	32	25	97	72	57	41	40	90	17	53	14	8	8	70	18					
8	Число бюллетеней в стационарных ящиках для голосования	7677	1117	1091	637	196	266	179	64	333	121	121	110	141	111	99	97	334	159	166	216	155	488	1249	227					
9	Число недействительных бюллетеней	167	19	20	18	3	5	3	1	9	5	3	2	0	3	4	3	9	4	0	7	9	8	25	7					
10	Число действительных бюллетеней	8513	1135	1163	641	288	294	203	81	361	148	143	205	213	165	136	134	415	172	219	223	154	488	1294	238					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	160	21	23	12	4	6	3	1	5	2	2	3	3	4	2	2	8	3	4	5	3	10	30	4					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	57	13	3	3	4	6	2	0	3	0	1	0	0	0	1	0	0	0	4	5	0	0	8	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	50	8	6	1	2	2	2	2	2	2	2	0	0	3	3	0	1	0	1	2	0	2	6	3					
14	Число погашенных открепительных удостоверений	103	8	20	9	0	0	1	1	2	2	1	3	3	4	1	2	8	3	0	0	3	10	22	0					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																														
18	"1. ""ЕДИНЕНИЕ"""	114	15	11	10	4	6	1	0	8	2	2	2	4	1	8	2	2	3	0	5	3	6	13	6					
		1.31%	1.29%	0.92%	1.51%	1.37%	2.00%	0.48%	0.0%	2.16%	1.30%	1.36%	0.96%	1.87%	0.59%	5.71%	1.45%	0.47%	1.70%	0.0%	2.17%	1.84%	1.20%	0.98%	2.44%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	188	19	28	16	1	6	5	0	4	8	0	6	0	5	4	2	5	1	4	9	4	8	43	10					
		2.16%	1.64%	2.36%	2.42%	0.34%	2.00%	2.42%	0.0%	1.08%	5.22%	0.0%	2.89%	0.0%	2.97%	2.85%	1.45%	1.17%	0.56%	1.82%	3.91%	2.45%	1.61%	3.26%	4.08%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	263	40	46	26	17	8	8	2	7	8	5	5	8	2	3	3	8	0	2	11	7	6	33	8					
		3.02%	3.46%	3.88%	3.94%	5.84%	2.67%	3.88%	2.43%	1.89%	5.22%	3.42%	2.41%	3.75%	1.19%	2.14%	2.18%	1.88%	0.0%	0.91%	4.78%	4.29%	1.20%	2.50%	3.26%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	167	35	19	20	0	8	3	5	4	2	0	1	1	2	1	1	5	3	4	1	0	11	28	13					
		1.92%	3.03%	1.60%	3.03%	0.0%	2.67%	1.45%	6.09%	1.08%	1.30%	0.0%	0.48%	0.46%	1.19%	0.71%	0.72%	1.17%	1.70%	1.82%	0.43%	0.0%	2.21%	2.12%	5.30%					
22	"5. ""За Русь Святую"""	52	9	5	0	1	1	5	1	3	0	2	0	3	2	0	0	3	0	0	3	0	3	9	2					
		0.59%	0.77%	0.42%	0.0%	0.34%	0.33%	2.42%	1.21%	0.81%	0.0%	1.36%	0.0%	1.40%	1.19%	0.0%	0.0%	0.70%	0.0%	0.0%	1.30%	0.0%	0.60%	0.68%	0.81%					
23	"6. ""Объединенная Российская партия ""Русь"""	27	2	2	2	0	0	0	0	2	2	1	0	0	0	0	0	2	0	1	1	1	0	9	2					
		0.31%	0.17%	0.16%	0.30%	0.0%	0.0%	0.0%	0.0%	0.54%	1.30%	0.68%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	0.45%	0.43%	0.61%	0.0%	0.68%	0.81%					
24	"7. ""Новый курс - Автомобильная Россия"""	23	2	0	7	1	0	2	0	0	0	0	0	1	1	0	1	0	0	1	0	1	1	5	0					
		0.26%	0.17%	0.0%	1.06%	0.34%	0.0%	0.97%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.59%	0.0%	0.72%	0.0%	0.0%	0.45%	0.0%	0.61%	0.20%	0.37%	0.0%					
