Выборы Президента Российской Федерации																																																																																																										
Дата голосования: 02.03.2008																																																																																																										
																																																																																																										
Наименование Избирательной комиссии:    Братская городская																																																																																																										
																																																																																																										
Сводная таблица результатов выборов																																																																																																										
																																																																																																										
	Число участковых избирательных комиссий	99																																																																																																								
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	99																																																																																																								
																																																																																																										
		Сумма	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305					
1	"Число избирателей, включенных в списки избирателей"	195528	1725	1553	2774	2045	1909	2051	1819	2017	2031	1833	2389	1720	2067	2122	1968	1928	2747	2826	2473	2547	2392	1972	1796	2895	2755	2114	2474	2287	2441	2384	2423	2175	2455	2628	2464	1774	2536	2550	2748	2556	2270	2493	1966	2320	2222	2199	1914	2082	2099	1844	2247	2168	269	445	1197	900	1307	2062	1920	1514	1463	1261	1151	1998	2158	1844	2215	2141	2074	1994	2375	2621	2497	1712	2308	2576	2114	1989	2190	177	351	1687	1930	2335	2212	2389	2237	846	2911	1036	926	968	957	246	2470	2073	2275	1264	1756					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	193722	1700	1500	2800	1900	1900	2000	1800	2000	2000	1800	2300	1700	2100	2100	1900	1900	2700	2800	2400	2600	2300	2000	1800	2900	2800	2100	2500	2300	2400	2300	2400	2200	2400	2600	2500	1700	2600	2600	2700	2600	2200	2400	2000	2300	2200	2200	1900	2000	2100	1800	2300	2000	272	500	1200	900	1300	2000	1900	1500	1400	1200	1100	1900	2200	1900	2300	2200	2100	2000	2300	2600	2500	1700	2100	2500	2000	2000	2200	190	300	1700	1900	2400	2200	2400	2200	800	2900	1100	900	900	900	260	2500	2100	2300	1300	1700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	115974	1024	852	1549	1210	1076	1207	1130	1093	1110	971	1507	860	1279	1432	1258	1218	1655	2022	1477	1542	1457	1338	1197	1645	1603	1332	1493	1310	1419	1446	1462	1433	1430	1619	1477	991	1429	1541	1791	1890	1122	1513	1263	1315	1309	1329	1267	1329	1326	1167	1455	1205	214	232	666	900	801	1181	924	804	904	574	635	1210	1323	1143	1404	1373	1197	1201	1399	1575	1457	973	1637	1415	1309	1143	1340	127	278	1085	1016	1307	1225	1317	1111	477	1252	506	524	491	475	144	1368	1037	1300	658	967					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	8031	129	217	131	184	118	53	52	60	79	57	79	95	100	74	124	99	91	103	126	67	89	70	65	59	72	86	82	77	97	48	38	58	101	59	62	40	109	72	71	67	297	136	47	72	38	45	72	44	92	67	26	264	55	213	105	0	60	110	60	132	45	41	114	74	32	23	43	35	24	45	53	42	117	65	26	39	107	62	86	50	16	68	68	57	65	34	125	33	150	86	119	85	65	93	56	94	103	95	101					
6	Число погашенных избирательных бюллетеней	69717	547	431	1120	506	706	740	618	847	811	772	714	745	721	594	518	583	954	675	797	991	754	592	538	1196	1125	682	925	913	884	806	900	709	869	922	961	669	1062	987	838	643	781	751	690	913	853	826	561	627	682	566	819	531	3	55	429	0	439	709	916	564	451	585	351	616	845	734	853	792	879	754	848	983	926	662	437	1046	584	795	774	13	6	547	816	1036	910	1049	964	290	1498	508	257	324	360	23	1076	969	897	547	632					
