Выборы Президента Российской Федерации																																																																																																															
Дата голосования: 04.03.2012																																																																																																															
																																																																																																															
Наименование Избирательной комиссии:    Братская городская																																																																																																															
																																																																																																															
Сводная таблица итогов голосования																																																																																																															
																																																																																																															
	Число участковых избирательных комиссий	100																																																																																																													
	Число участковых избирательных комиссий, приступивших к передаче сведений	100																																																																																																													
																																																																																																															
		Сумма	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407									
1	Число избирателей, включенных в список избирателей	191358	1840	1582	2845	1877	1796	1987	1748	2026	1996	1812	2329	1675	1963	2072	2015	1617	2578	2737	2363	2480	2544	1984	1770	2804	2705	2054	2426	2266	2419	2261	2340	2081	2294	2519	2501	1618	2180	2686	2789	2578	2173	1912	2114	2497	2125	2816	1856	1938	2005	1749	2284	2373	164	315	1312	468	1326	1955	2290	1567	1455	1054	1100	1990	2601	1835	1675	2083	2112	1872	2150	2578	1642	1681	1954	2528	3034	1876	2137	146	312	2283	1621	2256	2120	2343	1880	875	1523	1439	1029	901	939	914	168	2544	1981	2272	1292	1767									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	190779	1850	1550	2850	1850	1800	2000	1750	2000	2000	1800	2350	1650	1950	2050	2000	1600	2600	2750	2350	2500	2550	1950	1750	2800	2700	2050	2400	2250	2450	2250	2300	2100	2300	2550	2550	1600	1850	2700	2800	2600	2150	1800	2100	2500	2150	2850	1850	1950	2000	1750	2300	2200	200	350	1250	479	1300	1950	2250	1550	1450	1050	1100	1950	2600	1750	1650	2100	2100	1900	2150	2550	1650	1650	2000	2550	3150	1850	2150	200	300	2300	1600	2250	2150	2300	1900	850	1500	1450	1000	900	950	900	300	2550	2000	2300	1250	1800									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	100409	701	645	1138	957	901	965	930	1045	1003	858	1169	717	740	986	971	622	1413	1638	1288	1361	1331	967	948	1519	1455	1112	1316	1201	1181	1428	1409	1202	1368	1555	1427	847	1058	1464	1445	1412	1036	990	1077	1335	1234	1576	1113	1189	1133	1080	1336	1147	131	212	469	468	491	782	1145	794	795	514	558	1101	1588	1035	911	1220	1266	1099	1308	1459	911	888	992	1321	1950	1089	1271	61	199	1211	841	1219	1160	949	923	440	645	663	449	324	438	403	66	1307	1011	1078	520	795									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	4001	32	45	57	57	35	22	39	50	46	41	31	32	20	26	40	35	78	47	38	37	57	34	36	43	26	56	61	52	65	25	14	26	26	21	32	16	7	49	46	49	243	122	21	34	17	30	25	23	16	29	15	171	33	103	55	0	26	32	27	33	29	24	38	37	9	11	9	17	17	30	29	32	25	34	19	20	40	47	51	85	6	21	35	35	30	76	49	10	43	30	25	20	47	26	102	36	58	45	37	63									
6	Число погашенных избирательных бюллетеней	86369	1117	860	1655	836	864	1013	781	905	951	901	1150	901	1190	1038	989	943	1109	1065	1024	1102	1162	949	766	1238	1219	882	1023	997	1204	797	877	872	906	974	1091	737	785	1187	1309	1139	871	688	1002	1131	899	1244	712	738	851	641	949	882	36	35	726	11	783	1136	1078	723	626	512	504	812	1003	704	730	863	817	771	813	1059	714	728	989	1209	1160	714	828	54	95	1068	724	996	960	1275	928	400	812	757	526	556	465	471	132	1207	931	1177	693	942									
