Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																		
Дата голосования: 02.12.2007																																																		
																																																		
Наименование Избирательной комиссии:    Амурская																																																		
																																																		
Сводная таблица результатов выборов																																																		
																																																		
		Сумма	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437					
1	"Число избирателей, внесенных в списки избирателей"	53919	1820	1845	1788	1547	1295	1422	1595	1499	1713	1580	1614	2014	1839	1827	2142	2007	1848	2084	2132	1791	162	526	1961	1459	1129	1417	1516	1863	568	210	1240	319	66	1712	340	860	292	746	51	1554	289	117	120					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	52200	1800	1800	1800	1500	1200	1400	1600	1500	1700	1600	1500	2000	1800	1800	1800	2000	1800	1800	1800	1800	200	480	2000	1500	1100	1400	1400	1800	600	200	1200	300	70	1700	350	900	300	700	50	1500	250	100	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	28418	1046	984	952	688	703	827	927	794	931	835	691	993	1025	853	1077	1011	938	1165	1151	911	162	273	1051	790	665	768	706	844	526	162	571	198	53	746	224	444	229	318	48	803	168	81	86					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1493	18	17	44	56	21	34	29	41	34	16	65	29	20	41	24	15	30	17	8	22	0	3	171	16	9	12	83	26	0	5	57	3	0	107	20	158	8	56	0	168	3	7	0					
6	Число погашенных избирательных бюллетеней	22289	736	799	804	756	476	539	644	665	735	749	744	978	755	906	699	974	832	618	641	867	38	204	778	694	426	620	611	930	74	33	572	99	17	847	106	298	63	326	2	529	79	12	14					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1493	18	17	44	56	21	34	29	41	34	16	65	29	20	41	24	15	30	17	8	22	0	3	171	16	9	12	83	26	0	5	57	3	0	107	20	158	8	56	0	168	3	7	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	28398	1043	982	952	688	703	827	926	793	931	835	691	992	1025	853	1075	1011	938	1165	1143	910	162	273	1051	790	665	768	706	844	526	162	571	197	53	746	224	444	229	318	48	803	168	81	86					
9	Число недействительных избирательных бюллетеней	313	17	9	10	9	13	9	11	9	7	2	3	9	11	10	6	13	7	7	10	10	3	4	11	11	9	12	9	4	4	0	3	2	1	12	2	16	9	8	0	11	0	0	0					
10	Число действительных избирательных бюллетеней	29578	1044	990	986	735	711	852	944	825	958	849	753	1012	1034	884	1093	1013	961	1175	1141	922	159	272	1211	795	665	768	780	866	522	167	625	198	52	841	242	586	228	366	48	960	171	88	86					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	609	21	19	17	20	13	19	15	13	18	18	20	14	24	10	30	13	20	25	19	19	0	14	15	10	15	10	10	10	10	5	10	20	7	20	7	10	23	9	5	15	7	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	499	18	19	14	18	9	16	15	12	15	17	16	14	23	8	30	13	20	20	19	18	0	14	11	8	13	10	8	6	9	5	10	9	4	13	7	6	23	2	1	6	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	308	10	13	14	9	11	5	7	12	16	6	6	15	7	8	8	8	9	11	10	9	7	9	16	1	4	1	2	2	5	5	4	3	5	2	4	16	3	2	3	15	3	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	110	3	0	3	2	4	3	0	1	3	1	4	0	1	2	0	0	0	5	0	1	0	0	4	2	2	0	2	4	1	0	0	11	3	7	0	4	0	7	4	9	7	5	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	41	5	3	4	2	2	3	4	1	1	1	1	1	1	2	0	2	0	2	3	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																		
18	1.Политическая партия «Аграрная партия России»	629	23	13	21	19	14	22	28	32	28	12	15	15	23	19	20	30	20	29	15	18	0	6	25	12	14	12	20	22	6	2	6	5	0	15	4	16	3	8	0	20	2	4	11					
		2.10%	2.17%	1.30%	2.11%	2.55%	1.93%	2.56%	2.93%	3.84%	2.90%	1.41%	1.98%	1.47%	2.20%	2.13%	1.82%	2.92%	2.07%	2.45%	1.30%	1.93%	0.00%	2.17%	2.05%	1.49%	2.08%	1.54%	2.53%	2.53%	1.14%	1.20%	0.96%	2.50%	0.00%	1.76%	1.64%	2.66%	1.27%	2.14%	0.00%	2.06%	1.17%	4.55%	12.79%					
19	2.Всероссийская политическая партия «Гражданская Сила»	189	12	9	8	6	4	6	5	4	9	6	3	5	9	7	7	6	6	9	8	11	0	0	9	5	8	4	4	2	4	1	0	0	0	2	0	1	1	2	1	4	0	0	1					
