Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																	
Дата голосования: 04.12.2011																																																	
																																																	
Наименование Избирательной комиссии:    Амурская																																																	
																																																	
Сводная таблица результатов выборов																																																	
																																																	
		Сумма	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436					
1	"Число избирателей, внесенных в список избирателей"	49868	25	1693	1824	1682	1442	1367	1410	1517	1272	1556	1503	1814	1813	1913	2007	2018	2715	1956	1960	1637	150	440	1509	1421	1656	1355	1146	1655	552	222	1085	230	55	1547	327	706	240	655	59	1396	239	99					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	45400	20	1500	1600	1500	1300	1200	1300	1300	1200	1500	1300	1700	1700	1700	1800	1800	2500	1700	1700	1500	200	400	1300	1300	1500	1300	1000	1500	520	220	1000	200	50	1500	300	700	230	600	60	1400	200	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	23164	20	881	907	796	563	616	656	767	608	750	633	687	810	891	835	881	1060	925	904	733	150	183	712	690	823	655	450	703	485	188	449	156	48	634	271	254	197	265	57	658	145	68					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1178	0	24	18	27	41	30	21	36	32	22	22	26	22	20	21	14	17	16	7	12	0	4	91	12	15	24	48	19	0	14	46	1	2	107	14	95	9	114	0	128	0	7					
6	Число погашенных избирательных бюллетеней	21058	0	595	675	677	696	554	623	497	560	728	645	987	868	789	944	905	1423	759	789	755	50	213	497	598	662	621	502	778	35	18	505	43	0	759	15	351	24	221	3	614	55	25					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1178	0	24	18	27	41	30	21	36	32	22	22	26	22	20	21	14	17	16	7	12	0	4	91	12	15	24	48	19	0	14	46	1	2	107	14	95	9	114	0	128	0	7					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	23157	20	881	907	794	563	616	656	766	608	750	633	687	810	891	835	880	1059	925	903	733	150	183	712	690	823	655	450	703	485	188	449	156	48	634	271	253	197	265	57	658	145	68					
9	Число недействительных избирательных бюллетеней	345	0	11	7	15	10	13	5	14	12	10	7	10	9	18	11	8	18	18	12	8	2	3	19	13	11	13	4	13	7	3	3	3	0	5	0	8	5	2	0	9	5	1					
10	Число действительных избирательных бюллетеней	23990	20	894	918	806	594	633	672	788	628	762	648	703	823	893	845	886	1058	923	898	737	148	184	784	689	827	666	494	709	478	199	492	154	50	736	285	340	201	377	57	777	140	74					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	810	2	30	25	30	15	25	25	35	15	30	20	25	20	40	25	35	35	35	40	30	0	20	25	15	15	15	15	20	10	15	15	10	2	35	5	10	10	10	3	15	4	4					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	584	0	26	22	25	10	18	22	29	13	24	11	17	13	36	21	30	18	23	35	27	0	12	17	15	11	11	7	17	0	14	7	6	0	26	2	5	7	3	0	2	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	356	2	11	9	23	15	16	15	12	10	15	8	15	10	6	13	7	19	8	18	6	10	6	23	4	1	4	2	1	25	2	3	3	2	3	4	6	2	4	2	7	1	3					
14	Число погашенных неиспользованных открепительных удостоверений	226	2	4	3	5	5	7	3	6	2	6	9	8	7	4	4	5	17	12	5	3	0	8	8	0	4	4	8	3	10	1	8	4	2	9	3	5	3	7	3	13	4	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	50	0	7	3	6	1	1	1	4	1	0	4	0	1	3	0	6	1	4	0	1	0	4	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3412	2	137	159	127	83	103	120	120	98	106	111	108	132	151	124	131	151	154	86	97	17	34	88	83	123	112	72	92	51	11	61	9	5	72	32	42	12	46	5	119	17	9					
