Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																													
Дата голосования: 04.12.2011																																																																													
																																																																													
Наименование Избирательной комиссии:    ТИК Правобережной части г.  Владикавказа																																																																													
																																																																													
Сводная таблица результатов выборов																																																																													
																																																																													
		Сумма	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298					
1	"Число избирателей, внесенных в список избирателей"	106922	1621	267	1141	1888	1504	1651	2750	1030	2118	1200	1402	1623	250	2182	1325	793	2453	827	100	116	641	1403	2220	2550	975	2606	1816	881	50	2257	2416	2464	1098	1454	2522	2745	2650	2219	2591	1738	1505	2169	786	406	932	762	1623	1373	1715	1778	2656	2058	2124	2631	978	2619	120	1826	870	500	200	160	1640	2228	2600	1000	1704	1604	1558	1260					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	104670	1600	300	1100	1850	1450	1600	2700	1000	2100	1200	1350	1600	250	2150	1300	750	2400	800	100	150	640	1350	2200	2550	950	2550	1800	850	50	2250	2400	2400	1000	1400	2500	2700	2600	2200	2500	1700	1450	2100	750	400	900	750	1600	1300	1700	1600	2600	2000	2100	2600	950	2600	120	1800	851	500	200	160	1600	2200	2599	1000	1650	1550	1500	1200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	99	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	95185	1476	213	964	1726	1334	1471	2555	908	1529	1105	1242	1478	244	2045	1132	680	2253	708	85	105	575	1201	2056	2412	832	2415	1582	756	50	2097	2262	2286	685	1202	2351	2348	2441	2064	2335	1480	1343	1970	673	364	800	651	1390	1174	1576	1475	2443	1861	1964	2456	835	2428	105	1655	620	500	179	141	1471	1836	2376	841	1554	1410	1336	1075					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2095	44	54	52	35	20	32	47	12	37	17	23	25	0	37	31	14	42	15	3	11	6	25	43	26	21	32	45	11	0	51	42	39	3	3	46	0	41	47	39	34	28	43	14	11	14	12	23	21	32	35	63	34	39	41	18	65	0	45	12	0	0	5	27	262	21	17	35	28	21	24					
6	Число погашенных избирательных бюллетеней	7152	80	33	84	89	96	97	98	80	534	78	85	97	6	68	137	56	105	77	12	34	59	124	101	112	97	103	173	83	0	102	96	75	312	195	103	352	118	89	126	186	79	87	63	25	86	87	187	105	92	90	94	105	97	103	97	107	15	100	80	0	21	14	102	102	103	142	61	112	143	101					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2333	44	54	52	35	20	32	47	12	37	17	23	25	0	37	31	14	42	15	3	11	6	25	43	26	21	32	45	11	0	51	42	39	3	3	46	0	41	47	39	34	28	43	14	11	14	12	23	21	32	35	63	34	39	41	18	65	0	45	151	0	0	5	27	262	120	17	35	28	21	24					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	95184	1476	213	964	1726	1334	1471	2555	908	1529	1105	1242	1478	244	2045	1132	680	2253	708	85	105	575	1201	2056	2412	832	2415	1582	756	50	2097	2262	2286	684	1202	2351	2348	2441	2064	2335	1480	1343	1970	673	364	800	651	1390	1174	1576	1475	2443	1861	1964	2456	835	2428	105	1655	620	500	179	141	1471	1836	2376	841	1554	1410	1336	1075					
9	Число недействительных избирательных бюллетеней	1322	24	2	35	17	11	23	27	7	22	14	15	19	0	32	23	12	35	12	1	5	6	19	34	119	14	25	31	9	0	27	26	31	11	16	29	3	21	23	26	19	15	26	11	7	12	4	17	14	22	27	32	25	28	29	12	41	2	28	8	3	3	2	4	21	24	11	24	19	11	15					
10	Число действительных избирательных бюллетеней	96195	1496	265	981	1744	1343	1480	2575	913	1544	1108	1250	1484	244	2050	1140	682	2260	711	87	111	575	1207	2065	2319	839	2422	1596	758	50	2121	2278	2294	676	1189	2368	2345	2461	2088	2348	1495	1356	1987	676	368	802	659	1396	1181	1586	1483	2474	1870	1975	2468	841	2452	103	1672	763	497	176	144	1494	2077	2472	847	1565	1419	1346	1084					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3997	60	0	60	60	60	60	60	60	60	60	60	60	0	70	60	60	60	60	0	0	60	60	60	60	60	60	60	60	0	60	60	60	60	60	60	60	60	114	60	60	60	60	60	0	60	60	60	60	60	60	60	60	60	283	60	60	0	170	60	0	0	0	60	60	60	60	60	60	60	60					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2251	20	0	20	20	20	20	20	20	23	20	20	20	0	70	20	42	20	20	0	0	20	20	20	20	20	60	20	20	0	20	20	20	34	60	20	59	60	114	60	60	60	30	10	0	30	30	20	20	30	30	55	30	40	263	40	35	0	155	30	0	0	0	60	40	1	28	20	30	22	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1428	15	8	12	20	16	17	25	12	11	13	14	17	0	17	13	11	21	10	0	24	34	12	20	71	10	0	16	11	8	20	20	22	6	3	21	11	22	20	21	18	14	19	9	0	10	8	14	12	13	17	21	19	20	23	10	23	0	19	11	423	0	0	0	20	23	11	16	15	4	12					
14	Число погашенных неиспользованных открепительных удостоверений	1746	40	0	40	40	40	40	40	40	37	40	40	40	0	0	40	18	40	40	0	0	40	40	40	40	40	0	40	40	0	40	40	40	26	0	40	1	0	0	0	0	0	30	50	0	30	30	40	40	30	30	5	30	20	20	20	25	0	15	30	0	0	0	0	20	59	32	40	30	38	40					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3702	48	16	25	58	42	48	82	29	63	36	40	48	8	66	37	22	73	23	3	9	18	39	66	293	27	78	51	24	0	68	73	74	45	56	76	24	79	67	75	48	44	64	22	12	26	29	45	38	51	48	400	64	63	79	27	79	7	54	31	8	6	5	145	76	27	27	36	46	53	33					
