Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    Черногорская городская																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	51026	957	1103	1263	1100	1025	999	1693	557	1354	809	1163	1336	1153	1284	1291	1030	905	972	1621	749	724	935	1766	1036	524	1431	1727	2300	1858	1630	1605	776	1923	1240	697	1942	1184	927	1010	1275	706	1446									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	41909	740	1000	1000	365	310	760	1800	500	1300	800	760	812	900	980	852	584	650	750	1200	800	600	700	1800	1000	500	1060	1240	2300	1440	1500	1600	700	1234	1200	700	1302	1200	900	900	970	700	1500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15951	325	322	309	286	213	254	461	91	369	312	239	274	313	386	379	268	275	317	430	263	244	374	521	347	121	517	538	814	704	581	520	305	703	485	240	624	372	220	350	503	338	444									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1963	34	161	209	68	97	44	78	110	28	22	52	35	67	52	52	39	5	31	91	23	101	0	18	20	56	42	31	17	38	20	26	21	31	13	12	29	37	33	44	29	18	29									
6	Число погашенных избирательных бюллетеней	23995	381	517	482	11	0	462	1261	299	903	466	469	503	520	542	421	277	370	402	679	514	255	326	1261	633	323	501	671	1469	698	899	1054	374	500	702	448	649	791	647	506	438	344	1027									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1951	34	161	209	61	97	44	78	110	28	22	51	35	66	52	52	38	5	31	91	23	101	0	18	20	56	42	31	17	38	20	26	21	31	13	12	28	37	33	43	29	18	29									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15912	325	322	309	282	213	254	461	91	369	312	239	274	313	385	379	268	274	317	428	263	244	374	521	347	121	517	536	814	703	581	520	284	697	485	240	623	372	220	350	503	338	444									
9	Число недействительных избирательных бюллетеней	273	3	10	11	8	3	3	9	2	7	8	0	8	5	3	0	6	2	3	5	4	6	5	17	7	4	0	6	22	1	16	17	5	9	11	6	2	12	5	1	1	7	13									
10	Число действительных избирательных бюллетеней	17590	356	473	507	335	307	295	530	199	390	326	290	301	374	434	431	300	277	345	514	282	339	369	522	360	173	559	561	809	740	585	529	300	719	487	246	649	397	248	392	531	349	460									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	761	15	10	10	20	10	10	20	10	20	10	10	10	20	20	15	10	20	15	15	20	10	15	25	10	10	20	20	36	30	30	30	15	25	20	15	30	30	10	20	10	10	50									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	574	9	8	7	10	6	6	19	4	16	7	3	9	13	11	12	7	12	13	15	7	3	14	18	8	8	18	15	28	29	30	22	9	21	18	9	28	24	8	16	10	4	40									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	714	9	4	25	9	14	7	6	10	12	14	6	6	9	8	5	16	14	25	28	10	32	7	10	21	16	17	42	31	38	2	21	19	55	35	10	18	18	18	17	17	23	10									
14	Число погашенных неиспользованных открепительных удостоверений	187	6	2	3	10	4	4	1	6	4	3	7	1	7	9	3	3	8	2	0	13	7	1	7	2	2	2	5	8	1	0	8	6	4	2	6	2	6	2	4	0	6	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	393	6	3	4	4	5	2	13	1	8	6	2	5	3	9	4	5	7	9	9	9	5	7	14	8	4	13	10	27	24	24	18	4	26	10	6	19	13	7	15	10	11	4									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	256	6	5	9	2	5	5	7	5	4	5	2	1	0	7	11	10	3	2	4	1	7	9	9	5	2	18	4	10	12	9	6	4	11	1	3	8	7	2	14	11	2	8									
		1.43%	1.67%	1.04%	1.74%	0.58%	1.61%	1.68%	1.30%	2.49%	1.01%	1.50%	0.69%	0.32%	0.00%	1.60%	2.55%	3.27%	1.08%	0.57%	0.77%	0.35%	2.03%	2.41%	1.67%	1.36%	1.13%	3.22%	0.71%	1.20%	1.62%	1.50%	1.10%	1.31%	1.51%	0.20%	1.19%	1.23%	1.71%	0.79%	3.56%	2.07%	0.56%	1.69%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1180	32	16	18	46	35	40	20	6	13	13	21	32	36	41	37	32	31	42	67	7	2	41	7	12	3	58	70	12	63	24	18	8	65	12	7	52	8	13	34	57	15	14									
		6.61%	8.91%	3.31%	3.47%	13.41%	11.29%	13.42%	3.71%	2.99%	3.27%	3.89%	7.24%	10.36%	9.50%	9.38%	8.58%	10.46%	11.11%	12.07%	12.91%	2.45%	0.58%	10.96%	1.30%	3.27%	1.69%	10.38%	12.35%	1.44%	8.50%	3.99%	3.30%	2.62%	8.93%	2.41%	2.78%	7.99%	1.96%	5.14%	8.65%	10.71%	4.21%	2.96%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	484	10	15	12	18	9	11	15	4	8	2	16	3	9	11	10	8	2	12	15	5	7	9	9	7	7	22	13	15	19	15	13	10	22	10	4	36	15	7	12	18	5	14									
