Выборы Президента Российской Федерации																																																																						
																																																																						
Наименование Избирательной комиссии:    Крымская																																																																						
																																																																						
Итоги голосования 																																																																						
																																																																						
		Сумма	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605	УИК №2606	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624	УИК №2625	УИК №2626	УИК №2627	УИК №2628	УИК №2629	УИК №2630	УИК №2631	УИК №2632	УИК №2633	УИК №2634	УИК №2635	УИК №2636	УИК №2637	УИК №2638	УИК №2639	УИК №2640	УИК №2641	УИК №2642	УИК №2643	УИК №2644	УИК №2645	УИК №2646	УИК №2647	УИК №2648	УИК №2649	УИК №2650	УИК №2651	УИК №2652	УИК №2653	УИК №2654	УИК №2655	УИК №2656	УИК №2657	УИК №2658	УИК №2659	УИК №2660	УИК №2661	УИК №2662	УИК №2663					
1	"Число избирателей, внесенных в список"	95500	2560	1784	2349	2220	2055	257	2681	1465	2055	2778	2521	2298	2542	2692	1879	2619	2042	1685	2672	1980	2833	1929	176	1620	1934	633	568	1015	184	687	229	2057	231	175	505	2336	2329	2010	2589	443	752	2182	1034	199	370	1690	521	1957	2600	1332	1383	1909	2698	408	238	585	387	466	619	519	2319	2544	1171					
2	Число полученных избирательных бюллетеней	91760	2500	1700	2310	2150	2000	240	2500	1350	2000	2700	2400	2200	2500	2600	1800	2500	1900	1600	2600	1800	2600	1900	173	1600	1900	600	550	960	178	660	200	2000	200	172	480	2300	2300	1900	2500	430	650	2100	950	197	350	1600	500	1900	2500	1300	1300	1900	2700	400	230	560	350	450	570	500	2200	2500	1100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	56592	1582	1020	1186	1275	1067	128	1319	825	1004	1356	1694	1180	1381	1478	854	1335	937	831	1651	1069	1546	1393	125	1089	1073	429	354	693	162	467	173	1216	141	114	283	1134	1175	1171	1544	282	507	1364	686	134	267	1332	370	1035	1678	882	736	1244	1823	317	177	400	275	322	398	285	1887	1810	927					
5	"Число избирательных бюллетеней, выданных вне помещения"	2848	58	48	58	47	36	32	43	25	65	67	32	51	28	38	33	37	13	40	54	29	58	65	5	90	212	10	46	43	7	36	2	22	9	12	21	57	48	10	30	14	13	43	47	5	16	40	42	26	168	70	115	105	70	75	23	31	11	22	36	67	67	89	36					
6	Число погашенных избирательных бюллетеней	32320	860	632	1066	828	897	80	1138	500	931	1277	674	969	1091	1084	913	1128	950	729	895	702	996	442	43	421	615	161	150	224	9	157	25	762	50	46	176	1109	1077	719	926	134	130	693	217	58	67	228	88	839	654	348	449	551	807	8	30	129	64	106	136	148	246	601	137					
7	Число избирательных бюллетеней в переносных ящиках	2848	58	48	58	47	36	32	43	25	65	67	32	51	28	38	33	37	13	40	54	29	58	65	5	90	212	10	46	43	7	36	2	22	9	12	21	57	48	10	30	14	13	43	47	5	16	40	42	26	168	70	115	105	70	75	23	31	11	22	36	67	67	89	36					
8	Число бюллетеней в стационарных ящиках для голосования	56591	1582	1020	1186	1275	1067	128	1318	825	1004	1356	1694	1180	1381	1478	854	1335	937	831	1651	1069	1546	1393	125	1089	1073	429	354	693	162	467	173	1216	141	114	283	1134	1175	1171	1544	282	507	1364	686	134	267	1332	370	1035	1678	882	736	1244	1823	317	177	400	275	322	398	285	1887	1810	927					
9	Число недействительных избирательных бюллетеней	708	28	21	109	15	6	1	12	14	4	9	7	7	4	7	6	8	5	6	10	8	7	18	1	13	7	6	4	15	1	9	2	19	6	1	7	10	18	5	12	6	9	0	16	3	7	25	5	17	9	9	22	13	32	6	0	15	2	1	8	3	21	25	6					
10	Число действительных избирательных бюллетеней	58731	1612	1047	1135	1307	1097	159	1349	836	1065	1414	1719	1224	1405	1509	881	1364	945	865	1695	1090	1597	1440	129	1166	1278	433	396	721	168	494	173	1219	144	125	297	1181	1205	1176	1562	290	511	1407	717	136	276	1347	407	1044	1837	943	829	1336	1861	386	200	416	284	343	426	349	1933	1874	957					
11	Число полученных открепительных  удостоверений	1105	30	19	24	21	24	6	26	17	22	26	24	24	25	26	21	26	22	21	24	22	44	22	6	20	22	8	8	16	3	10	6	22	5	5	7	23	27	22	26	7	16	21	11	6	10	20	7	21	25	18	17	22	26	7	5	10	6	12	9	7	31	25	14					
12	Число выданных открепительных удостоверений	420	5	11	6	15	11	1	9	1	5	6	11	9	12	7	4	11	11	4	13	9	22	6	2	9	9	4	2	7	0	0	1	8	0	0	2	6	10	6	15	5	3	20	3	0	0	7	3	4	7	6	14	15	8	1	1	4	0	10	0	1	23	8	7					
