Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																				
Дата голосования: 04.12.2011																																				
																																				
Наименование Избирательной комиссии:    Пристенская																																				
																																				
Сводная таблица результатов выборов																																				
																																				
		Сумма	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860					
1	"Число избирателей, внесенных в список избирателей"	14040	692	131	381	175	526	259	291	188	354	254	164	438	273	362	431	255	261	147	208	447	345	314	219	200	1468	972	1371	1700	1214					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13600	644	118	356	157	511	272	287	180	363	258	164	437	270	338	428	267	242	128	200	437	350	322	213	200	1358	932	1347	1653	1168					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5881	304	71	143	76	210	123	171	96	114	119	70	173	96	166	160	131	95	72	91	135	109	127	102	106	484	368	584	849	536					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1874	93	17	45	33	134	59	33	39	97	87	35	104	88	53	95	53	80	28	42	92	114	66	43	34	86	82	71	36	35					
6	Число погашенных избирательных бюллетеней	5845	247	30	168	48	167	90	83	45	152	52	59	160	86	119	173	83	67	28	67	210	127	129	68	60	788	482	692	768	597					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1874	93	17	45	33	134	59	33	39	97	87	35	104	88	53	95	53	80	28	42	92	114	66	43	34	86	82	71	36	35					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5881	304	71	143	76	210	123	171	96	114	119	70	173	96	166	160	131	95	72	91	135	109	127	102	106	484	368	584	849	536					
9	Число недействительных избирательных бюллетеней	109	4	0	2	1	4	2	5	2	4	1	0	6	2	0	2	5	2	4	2	3	2	4	3	3	4	2	13	18	9					
10	Число действительных избирательных бюллетеней	7646	393	88	186	108	340	180	199	133	207	205	105	271	182	219	253	179	173	96	131	224	221	189	142	137	566	448	642	867	562					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	317	15	3	5	3	10	18	7	5	5	5	3	10	5	5	20	20	5	3	5	5	5	15	5	5	25	20	25	35	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	219	6	1	5	0	3	18	6	4	5	5	1	10	2	1	14	20	0	1	1	1	2	13	4	5	12	10	21	33	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	102	3	3	2	2	3	2	2	5	2	2	2	3	2	2	3	1	2	3	2	3	2	3	7	1	9	1	9	7	14					
14	Число погашенных неиспользованных открепительных удостоверений	98	9	2	0	3	7	0	1	1	0	0	2	0	3	4	6	0	5	2	4	4	3	2	1	0	13	10	4	2	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6	8	3					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1052	49	21	65	18	44	26	12	9	28	23	16	39	25	31	30	15	13	9	25	36	26	22	20	14	89	61	71	127	88					
		13.57%	12.34%	23.86%	34.57%	16.51%	12.79%	14.29%	5.88%	6.67%	13.27%	11.17%	15.24%	14.08%	13.59%	14.16%	11.76%	8.15%	7.43%	9.00%	18.80%	15.86%	11.66%	11.40%	13.79%	10.00%	15.61%	13.56%	10.84%	14.35%	15.41%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	924	29	6	28	7	51	15	32	11	25	34	6	35	18	33	38	27	12	13	11	35	12	18	18	24	64	44	91	101	86					
		11.91%	7.30%	6.82%	14.89%	6.42%	14.83%	8.24%	15.69%	8.15%	11.85%	16.50%	5.71%	12.64%	9.78%	15.07%	14.90%	14.67%	6.86%	13.00%	8.27%	15.42%	5.38%	9.33%	12.41%	17.14%	11.23%	9.78%	13.89%	11.41%	15.06%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	70	2	0	2	1	2	1	5	1	2	0	1	3	3	0	0	2	4	3	2	2	4	1	1	0	3	3	6	8	8					
		0.90%	0.50%	0.00%	1.06%	0.92%	0.58%	0.55%	2.45%	0.74%	0.95%	0.00%	0.95%	1.08%	1.63%	0.00%	0.00%	1.09%	2.29%	3.00%	1.50%	0.88%	1.79%	0.52%	0.69%	0.00%	0.53%	0.67%	0.92%	0.90%	1.40%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1374	119	11	18	5	45	38	17	25	22	34	16	30	35	15	29	45	10	10	25	55	30	32	17	16	149	68	130	201	127					
