Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																	
Дата голосования: 04.12.2011																																																																	
																																																																	
"Наименование Избирательной комиссии:    Кемерово, Заводская"																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238					
1	"Число избирателей, внесенных в список избирателей"	109366	457	2125	2121	1668	2262	2012	1863	2015	465	1668	1315	1044	1763	1951	1040	2536	1727	2280	1656	1978	1992	1002	2321	895	2537	2622	1465	2667	1776	1732	2198	2440	1765	2341	758	2420	2483	2482	2735	2687	2478	2500	2465	1828	2709	2314	1599	2499	2416	68	645	1673	2526	1943	1942	1118	1814	1565					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	100800	500	2000	2000	1500	2100	1900	1800	1900	450	1500	1100	900	1700	1800	1000	2100	1600	2100	1600	1800	1900	1000	2000	800	2300	2100	1100	2400	1600	1500	2000	2200	1700	2200	700	2200	2300	2300	2500	2500	2300	2300	2300	1700	2600	2200	1500	2300	2200	100	650	1500	2400	1800	1900	1200	1800	1400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	63376	457	1015	1198	807	1473	1214	1401	812	223	1018	794	456	909	1565	790	1644	1314	1227	705	749	849	460	1175	371	981	1941	711	893	987	967	1272	1267	755	1649	438	1381	1637	1734	2141	1310	888	1976	1374	1176	1628	1228	864	1366	1305	56	642	805	1694	1347	1428	972	1003	934					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3585	0	36	25	22	5	9	31	73	18	26	36	37	27	35	19	38	23	180	34	93	79	84	41	72	76	87	36	79	35	40	66	47	32	51	7	45	0	54	84	58	70	17	39	15	39	53	64	37	21	12	0	175	250	131	174	146	408	94					
6	Число погашенных избирательных бюллетеней	33839	43	949	777	671	622	677	368	1015	209	456	270	407	764	200	191	418	263	693	861	958	972	456	784	357	1243	72	353	1428	578	493	662	886	913	500	255	774	663	512	275	1132	1342	307	887	509	933	919	572	897	874	32	8	520	456	322	298	82	389	372					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3585	0	36	25	22	5	9	31	73	18	26	36	37	27	35	19	38	23	180	34	93	79	84	41	72	76	87	36	79	35	40	66	47	32	51	7	45	0	54	84	58	70	17	39	15	39	53	64	37	21	12	0	175	250	131	174	146	408	94					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	63162	456	1015	1191	806	1473	1205	1401	812	223	1018	794	456	905	1565	790	1637	1310	1124	705	749	849	460	1168	371	948	1941	711	893	987	965	1269	1267	755	1649	438	1379	1637	1734	2141	1310	888	1976	1374	1176	1625	1225	864	1363	1303	56	642	805	1694	1347	1428	972	1003	914					
9	Число недействительных избирательных бюллетеней	937	40	21	17	9	19	15	22	12	4	0	9	10	17	18	8	22	19	10	5	5	17	13	18	11	19	24	10	5	18	21	15	9	7	24	5	30	29	9	24	24	11	45	14	14	26	18	12	28	0	0	19	15	25	30	30	8	12	16					
10	Число действительных избирательных бюллетеней	65810	416	1030	1199	819	1459	1199	1410	873	237	1044	821	483	915	1582	801	1653	1314	1294	734	837	911	531	1191	432	1005	2004	737	967	1004	984	1320	1305	780	1676	440	1394	1608	1779	2201	1344	947	1948	1399	1177	1638	1260	916	1372	1324	68	623	965	1919	1448	1572	1110	1399	992					
