Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Петровск-Забайкальская																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13886	346	57	110	1054	1070	562	127	497	166	110	197	645	1093	1441	178	66	888	764	1456	1422	172	352	1113									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10600	250	50	100	800	800	450	100	400	150	100	150	500	800	1050	150	50	650	600	1100	1050	150	300	850									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5338	209	24	60	309	329	284	68	181	102	54	80	305	358	533	70	34	237	243	529	542	112	158	517									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	301	15	2	1	20	10	24	6	36	0	0	11	3	27	7	12	1	13	17	25	15	6	22	28									
6	Число погашенных избирательных бюллетеней	4961	26	24	39	471	461	142	26	183	48	46	59	192	415	510	68	15	400	340	546	493	32	120	305									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	301	15	2	1	20	10	24	6	36	0	0	11	3	27	7	12	1	13	17	25	15	6	22	28									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5334	209	24	60	309	329	284	68	181	102	54	80	305	358	533	70	34	237	243	529	538	112	158	517									
9	Число недействительных избирательных бюллетеней	211	7	1	1	11	12	7	2	3	0	1	2	13	12	22	0	0	10	4	52	22	1	8	20									
10	Число действительных избирательных бюллетеней	5424	217	25	60	318	327	301	72	214	102	53	89	295	373	518	82	35	240	256	502	531	117	172	525									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	210	10	5	5	15	15	10	5	10	5	5	5	10	15	15	5	5	10	10	15	15	5	5	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	50	0	1	0	4	2	1	0	0	5	0	2	1	5	8	0	1	1	5	2	3	1	5	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	29	1	0	1	1	3	1	0	0	2	0	3	3	1	3	3	0	1	1	0	1	1	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	160	10	4	5	11	13	9	5	10	0	5	3	9	10	7	5	4	9	5	13	12	4	0	7									
