Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва														
Дата голосования: 04.12.2011														
														
Наименование Избирательной комиссии:    Ельцовская														
														
Сводная таблица результатов выборов														
														
		Сумма	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719					
1	"Число избирателей, внесенных в список избирателей"	5493	2519	1211	329	378	683	126	247					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5500	2500	1200	300	400	700	150	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	4	0	0	0	0	0	0	4					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	2716	1173	555	180	217	361	73	157					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	409	117	115	34	10	104	14	15					
6	Число погашенных избирательных бюллетеней	2371	1210	530	86	173	235	63	74					
7	Число избирательных бюллетеней в переносных ящиках для голосования	413	117	115	34	10	104	14	19					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2714	1171	555	180	217	361	73	157					
9	Число недействительных избирательных бюллетеней	80	16	21	4	11	16	3	9					
10	Число действительных избирательных бюллетеней	3047	1272	649	210	216	449	84	167					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	99	49	15	10	10	5	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	59	42	10	4	0	1	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	42	15	5	6	2	6	4	4					
14	Число погашенных неиспользованных открепительных удостоверений	40	7	5	6	10	4	5	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	1	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0					
														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	508	220	93	35	42	72	11	35					
		16.25%	17.08%	13.88%	16.36%	18.50%	15.48%	12.64%	19.89%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	372	165	82	19	22	55	12	17					
		11.90%	12.81%	12.24%	8.88%	9.69%	11.83%	13.79%	9.66%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	41	16	5	2	6	7	3	2					
		1.31%	1.24%	0.75%	0.93%	2.64%	1.51%	3.45%	1.14%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	645	288	136	46	57	67	13	38					
		20.63%	22.36%	20.30%	21.50%	25.11%	14.41%	14.94%	21.59%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	41	26	2	4	1	6	1	1					
		1.31%	2.02%	0.30%	1.87%	0.44%	1.29%	1.15%	0.57%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1429	553	331	104	88	236	43	74					
		45.70%	42.93%	49.40%	48.60%	38.77%	50.75%	49.43%	42.05%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	11	4	0	0	0	6	1	0					
		0.35%	0.31%	0.00%	0.00%	0.00%	1.29%	1.15%	0.00%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
