Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																																																								
Дата голосования: 18.09.2016																																																																																																																																																								
																																																																																																																																																								
Наименование Избирательной комиссии:    Энгельсская																																																																																																																																																								
																																																																																																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																																																								
																																																																																																																																																								
		Сумма	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №8209									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	218671	1632	2896	1583	2722	1921	1446	1870	1756	2346	638	923	2246	2309	474	2152	2281	1958	2328	1439	1005	2486	1469	2035	2039	2849	2055	1219	1765	2579	2194	1973	1830	1587	1459	2368	2319	1936	2247	2735	1913	2600	2375	2823	2385	2446	2389	2094	1586	1901	1325	1592	1520	1898	1160	2652	2755	2302	2664	1083	1691	1319	1792	631	1614	1367	1537	722	1580	1927	1864	2259	2897	1722	1636	2600	1878	1982	2297	632	2026	1826	2112	1453	1515	1263	1231	1211	1321	1582	1003	1047	1052	1144	1181	1156	1244	1290	1561	1944	1339	1109	1463	445	747	1288	718	898	717	1564	836	1534	2422	612	877	129	291	850	373	2662	1779	150	1252	1215	2593	2118	910	1262	786	221	377	402	419	135	87	234	440	613	719	647	772	2025									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	194475	1400	2400	1300	2100	1700	1200	1600	1500	1900	700	800	1800	1900	700	1900	2100	1700	2200	1200	900	2100	1200	1700	1700	2300	1700	1000	1500	2100	1700	1700	1500	1300	1200	2000	2100	1800	2000	2600	1800	2400	1900	2600	2000	1900	2000	1700	1400	1600	1100	1300	1300	1600	1000	2500	2300	2100	2200	900	1300	1100	1500	1100	1500	1700	1500	800	1300	1600	1600	1900	2400	1600	1500	2300	1800	1800	2200	600	1700	1500	1700	1200	1300	1000	1000	1100	1100	1300	900	1000	900	1000	1000	1000	1100	1100	1300	1600	1100	1200	1400	500	700	1200	700	900	700	1400	800	1400	2200	600	800	125	300	800	350	2500	1700	150	1200	1100	2400	2000	900	1200	750	200	350	400	450	150	100	250	450	650	700	600	700	3700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	160643	1186	2104	1190	1973	1620	1087	946	584	592	505	693	1680	1667	315	1632	1734	1414	1745	1186	729	2051	1014	1507	1670	2139	1538	910	1261	2043	1644	1482	1368	1185	1076	1754	1862	1516	1529	1933	1183	1594	1885	2491	813	1592	1008	1014	1327	1430	895	1211	1278	1488	363	2089	2154	1777	1615	778	1237	910	1302	71	1382	1345	1001	607	1237	1521	1486	1783	2173	1223	1398	2240	1608	1570	1676	547	1481	1237	1488	976	1207	837	846	859	914	1185	822	771	846	951	941	878	1000	983	1098	1401	1064	1093	700	385	546	969	560	779	654	1327	579	1224	1924	413	755	118	255	691	320	1984	1400	126	1014	1010	2269	1738	420	441	617	179	271	345	372	107	83	205	375	465	592	549	650	1988									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	5084	45	13	45	89	38	12	13	11	10	133	1	17	31	159	18	12	61	5	9	13	12	6	10	13	15	8	7	6	3	10	17	9	17	6	22	24	23	14	23	26	21	11	26	10	7	2	5	17	23	24	30	17	11	27	42	22	21	23	16	9	4	41	560	10	22	20	4	7	14	10	8	7	103	25	48	16	30	92	4	28	108	82	154	82	13	39	49	64	21	6	49	4	7	8	2	15	18	202	27	10	16	122	17	128	127	50	53	20	53	28	82	134	90	36	4	3	48	13	16	38	7	77	19	37	82	46	77	27	20	19	15	26	9	4	7	27	33	13	16	25	37									
6	Число погашенных избирательных бюллетеней	28748	169	283	65	38	42	101	641	905	1298	62	106	103	202	226	250	354	225	450	5	158	37	180	183	17	146	154	83	233	54	46	201	123	98	118	224	214	261	457	644	591	785	4	83	1177	301	990	681	56	147	181	59	5	101	610	369	124	302	562	106	54	186	157	469	108	333	479	189	56	65	104	109	220	274	77	12	176	200	432	49	191	155	130	70	11	150	115	192	122	94	72	180	50	42	51	120	85	99	0	172	26	91	578	98	26	104	90	68	26	20	193	94	142	97	9	3	42	61	17	500	262	17	109	71	94	180	434	682	106	1	60	40	52	34	13	38	48	152	95	35	25	1675									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	5084	45	13	45	89	38	12	13	11	10	133	1	17	31	159	18	12	61	5	9	13	12	6	10	13	15	8	7	6	3	10	17	9	17	6	22	24	23	14	23	26	21	11	26	10	7	2	5	17	23	24	30	17	11	27	42	22	21	23	16	9	4	41	560	10	22	20	4	7	14	10	8	7	103	25	48	16	30	92	4	28	108	82	154	82	13	39	49	64	21	6	49	4	7	8	2	15	18	202	27	10	16	122	17	128	127	50	53	20	53	28	82	134	90	36	4	3	48	13	16	38	7	77	19	37	82	46	77	27	20	19	15	26	9	4	7	27	33	13	16	25	37									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	160491	1186	2104	1190	1973	1620	1087	946	584	592	505	693	1678	1660	315	1632	1734	1414	1745	1186	729	2051	1014	1507	1670	2139	1518	910	1261	2043	1644	1482	1368	1185	1076	1728	1860	1516	1529	1933	1183	1594	1885	2491	813	1592	1008	960	1327	1429	895	1211	1278	1488	363	2089	2154	1777	1615	778	1235	910	1302	71	1382	1345	1001	607	1237	1521	1486	1783	2158	1223	1398	2240	1608	1570	1676	547	1481	1237	1488	976	1207	837	846	859	914	1164	822	771	846	951	941	878	1000	983	1098	1401	1064	1093	700	385	546	969	560	779	654	1327	579	1224	1923	413	754	118	255	691	320	1984	1400	126	1014	1010	2269	1738	420	441	617	179	271	345	372	107	83	205	375	465	592	549	650	1988									
9	Число недействительных избирательных бюллетеней	1679	1	9	11	28	0	0	13	10	14	3	0	22	6	14	10	17	49	44	7	1	8	10	50	11	60	0	5	8	24	11	11	46	9	4	6	4	20	17	28	19	7	15	25	13	8	6	0	54	0	5	1	0	19	5	0	0	7	27	0	3	13	11	8	8	70	18	9	21	87	10	9	24	4	1	8	0	20	45	7	11	0	29	6	7	0	14	0	6	18	13	0	13	0	2	6	11	3	103	29	0	0	0	5	6	4	3	4	0	20	9	0	0	2	12	0	2	8	0	25	11	2	23	17	17	11	6	7	0	0	0	3	2	2	2	0	0	3	0	0	6	18									
10	Число действительных избирательных бюллетеней	163896	1230	2108	1224	2034	1658	1099	946	585	588	635	694	1673	1685	460	1640	1729	1426	1706	1188	741	2055	1010	1467	1672	2094	1526	912	1259	2022	1643	1488	1331	1193	1078	1744	1880	1519	1526	1928	1190	1608	1881	2492	810	1591	1004	965	1290	1452	914	1240	1295	1480	385	2131	2176	1791	1611	794	1241	901	1332	623	1384	1297	1003	602	1223	1448	1486	1782	2141	1322	1422	2280	1624	1580	1723	544	1498	1345	1541	1124	1282	850	871	908	972	1167	815	820	837	958	947	874	1004	998	1197	1399	1074	1109	822	397	668	1092	607	828	674	1360	598	1306	2057	501	778	122	256	731	333	1975	1427	131	1068	1012	2289	1809	460	511	644	199	290	357	396	114	85	212	402	495	605	565	669	2007									
