Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																			
Дата голосования: 07.12.2003 0:00:00																			
																			
Наименование Избирательной комиссии:    Знаменская																			
																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																			
																			
		Сумма	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748					
1	"Число избирателей, внесенных в списки"	4558	427	410	253	1604	225	210	125	122	317	385	254	226					
2	"Число бюллетеней, полученных участковыми комиссиями"	4536	421	423	245	1587	225	209	123	126	321	381	251	224					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3072	266	255	218	1077	137	126	63	97	222	267	174	170					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	810	139	87	12	123	47	69	57	21	83	74	60	38					
6	Число погашенных бюллетеней	654	16	81	15	387	41	14	3	8	16	40	17	16					
7	Число бюллетеней в переносных ящиках для голосования	810	139	87	12	123	47	69	57	21	83	74	60	38					
8	Число бюллетеней в стационарных ящиках для голосования	3072	266	255	218	1077	137	126	63	97	222	267	174	170					
9	Число недействительных бюллетеней	171	14	7	0	120	1	0	2	14	1	5	5	2					
10	Число действительных бюллетеней	3711	391	335	230	1080	183	195	118	104	304	336	229	206					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	5	5	5	40	5	5	5	5	5	10	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	36	2	3	0	21	2	0	0	1	3	4	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	32	1	0	3	13	1	2	1	1	1	4	2	3					
14	Число погашенных открепительных удостоверений	64	3	2	5	19	3	5	5	4	2	6	5	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
																			
18	"1. ""ЕДИНЕНИЕ"""	31	2	5	1	3	3	2	1	0	4	5	3	2					
		0.79%	0.49%	1.46%	0.43%	0.25%	1.63%	1.02%	0.83%	0.0%	1.31%	1.46%	1.28%	0.96%					
