Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																											
Дата голосования: 18.09.2016																																											
																																											
Наименование Избирательной комиссии:    Слободская																																											
																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																											
																																											
		Сумма	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24908	557	595	367	460	901	716	621	205	226	1519	1259	1355	2468	1399	1932	2006	564	1131	827	336	324	472	479	573	395	452	593	536	402	586	274	378									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21190	500	500	340	400	800	650	600	200	200	1200	1000	1100	2000	1200	1600	1600	500	1000	700	300	300	400	400	500	350	400	500	500	350	500	250	350									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9371	227	250	139	97	289	291	107	91	74	459	507	523	970	609	846	631	261	499	378	130	135	164	244	237	140	216	164	150	194	144	84	121									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	876	26	21	26	85	9	12	25	12	32	20	20	11	19	17	11	47	30	30	0	12	23	43	15	14	15	7	105	41	21	64	35	28									
6	Число погашенных избирательных бюллетеней	10943	247	229	175	218	502	347	468	97	94	721	473	566	1011	574	743	922	209	471	322	158	142	193	141	249	195	177	231	309	135	292	131	201									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	876	26	21	26	85	9	12	25	12	32	20	20	11	19	17	11	47	30	30	0	12	23	43	15	14	15	7	105	41	21	64	35	28									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9369	227	250	139	97	289	291	107	91	74	459	507	523	970	609	846	629	261	499	378	130	135	164	244	237	140	216	164	150	194	144	84	121									
9	Число недействительных избирательных бюллетеней	377	7	9	5	4	12	6	4	2	1	9	29	21	47	19	15	10	7	78	23	6	3	4	16	2	3	5	2	1	8	4	5	10									
10	Число действительных избирательных бюллетеней	9868	246	262	160	178	286	297	128	101	105	470	498	513	942	607	842	666	284	451	355	136	155	203	243	249	152	218	267	190	207	204	114	139									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	585	20	10	10	25	15	15	20	10	10	15	15	15	20	15	30	30	10	15	10	40	20	20	20	20	10	10	10	15	40	25	25	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	147	3	10	0	6	8	7	4	2	3	0	3	2	8	3	13	14	3	4	8	0	2	1	6	2	6	3	8	6	2	1	3	6									
