Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																										
Дата голосования: 04.12.2011																																										
																																										
Наименование Избирательной комиссии:    Оконешниковская																																										
																																										
Сводная таблица результатов выборов																																										
																																										
		Сумма	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283					
1	"Число избирателей, внесенных в список избирателей"	10541	566	807	782	793	832	45	45	93	585	328	184	623	124	149	531	99	91	833	34	49	131	90	493	47	36	534	136	78	36	81	893	109	129	119	36					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10814	818	814	780	764	821	42	52	95	612	334	197	597	121	155	512	99	91	807	37	49	130	90	506	51	47	555	137	84	42	91	887	109	124	124	40					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	6905	512	527	466	472	489	41	31	68	363	222	98	424	102	111	370	77	54	503	25	34	78	57	336	35	33	348	91	77	30	74	509	81	81	61	25					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	847	54	49	46	32	69	0	5	11	94	36	21	58	3	9	46	7	7	72	0	5	18	9	48	7	3	40	15	1	0	5	58	5	9	5	0					
6	Число погашенных избирательных бюллетеней	3062	252	238	268	260	263	1	16	16	155	76	78	115	16	35	96	15	30	232	12	10	34	24	122	9	11	167	31	6	12	12	320	23	34	58	15					
7	Число избирательных бюллетеней в переносных ящиках для голосования	847	54	49	46	32	69	0	5	11	94	36	21	58	3	9	46	7	7	72	0	5	18	9	48	7	3	40	15	1	0	5	58	5	9	5	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6905	512	527	466	472	489	41	31	68	363	222	98	424	102	111	370	77	54	503	25	34	78	57	336	35	33	348	91	77	30	74	509	81	81	61	25					
9	Число недействительных избирательных бюллетеней	172	12	11	6	5	9	3	0	1	6	4	0	15	3	3	12	2	2	13	0	0	1	2	7	0	0	18	4	4	0	3	14	3	4	5	0					
10	Число действительных избирательных бюллетеней	7580	554	565	506	499	549	38	36	78	451	254	119	467	102	117	404	82	59	562	25	39	95	64	377	42	36	370	102	74	30	76	553	83	86	61	25					
