Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																										
Дата голосования: 02.12.2007																																										
																																										
Наименование Избирательной комиссии:    Нуримановская																																										
																																										
Сводная таблица результатов выборов																																										
																																										
		Сумма	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833	УИК №2834	УИК №2835	УИК №2836	УИК №2837	УИК №2838	УИК №2839					
1	"Число избирателей, внесенных в списки избирателей"	13996	436	158	86	211	282	170	517	73	1024	81	415	320	126	365	320	665	641	727	644	265	287	124	513	255	131	200	199	137	807	826	131	187	991	1053	629					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	14000	440	160	86	215	285	172	535	78	1040	90	413	317	131	360	323	670	621	720	646	261	289	124	515	255	132	206	200	141	791	821	134	185	985	1036	623					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	12971	407	158	86	201	281	170	461	62	1004	81	384	279	110	337	301	538	573	705	611	241	265	109	485	233	113	181	186	110	728	796	108	162	900	998	607					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	735	25	0	0	10	0	0	48	10	20	0	29	36	16	23	14	78	48	13	30	20	18	13	21	22	16	17	13	27	50	17	23	20	19	28	11					
6	Число погашенных избирательных бюллетеней	294	8	2	0	4	4	2	26	6	16	9	0	2	5	0	8	54	0	2	5	0	6	2	9	0	3	8	1	4	13	8	3	3	66	10	5					
7	Число избирательных бюллетеней в переносных ящиках для голосования	735	25	0	0	10	0	0	48	10	20	0	29	36	16	23	14	78	48	13	30	20	18	13	21	22	16	17	13	27	50	17	23	20	19	28	11					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12971	407	158	86	201	281	170	461	62	1004	81	384	279	110	337	301	538	573	705	611	241	265	109	485	233	113	181	186	110	728	796	108	162	900	998	607					
9	Число недействительных избирательных бюллетеней	174	1	0	0	0	0	0	4	0	23	6	0	1	0	5	1	6	15	22	11	2	3	0	1	5	1	4	0	2	37	2	1	2	2	13	4					
10	Число действительных избирательных бюллетеней	13532	431	158	86	211	281	170	505	72	1001	75	413	314	126	355	314	610	606	696	630	259	280	122	505	250	128	194	199	135	741	811	130	180	917	1013	614					
