Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
Наименование Избирательной комиссии:    Емельяновская																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	34662	2735	1396	2197	945	1800	816	180	442	456	481	748	891	597	1138	558	102	1370	1578	597	598	1090	2244	1284	1341	920	251	188	253	143	130	376	434	459	1134	148	291	199	105	882	297	137	140	68	574	362	274	20	208	1085									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	32750	2500	1300	2000	900	1700	800	150	400	400	450	700	850	550	1100	550	90	1300	1450	550	550	1000	2070	1200	1250	850	250	150	200	100	100	300	400	400	1050	140	300	150	100	850	250	100	100	70	600	350	250	630	200	1050									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11004	856	387	825	342	468	265	66	117	122	158	247	227	168	334	172	35	452	492	201	160	408	570	368	430	436	112	78	62	62	39	96	167	123	327	33	75	61	43	236	62	73	56	36	264	155	98	20	67	353									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	505	19	15	7	9	3	2	0	9	18	3	6	7	6	20	10	0	9	8	7	24	12	3	4	10	14	10	7	15	0	0	9	12	0	31	6	1	3	1	19	12	15	6	17	55	3	4	0	16	38									
6	Число погашенных избирательных бюллетеней	21241	1625	898	1168	549	1229	533	84	274	260	289	447	616	376	746	368	55	839	950	342	366	580	1497	828	810	400	128	65	123	38	61	195	221	277	692	101	224	86	56	595	176	12	38	17	281	192	148	610	117	659									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	505	19	15	7	9	3	2	0	9	18	3	6	7	6	20	10	0	9	8	7	24	12	3	4	10	14	10	7	15	0	0	9	12	0	31	6	1	3	1	19	12	15	6	17	55	3	4	0	16	38									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11003	856	387	825	342	468	265	66	117	122	158	247	227	168	334	172	35	452	492	201	160	408	570	368	430	436	112	78	62	62	39	96	167	123	327	33	75	60	43	236	62	73	56	36	264	155	98	20	67	353									
9	Число недействительных избирательных бюллетеней	310	15	10	23	5	11	6	1	7	4	10	7	5	5	6	4	0	13	18	7	6	14	9	10	15	18	8	1	6	0	0	5	3	4	10	0	3	0	0	14	2	0	6	1	8	2	4	1	1	2									
10	Число действительных избирательных бюллетеней	11198	860	392	809	346	460	261	65	119	136	151	246	229	169	348	178	35	448	482	201	178	406	564	362	425	432	114	84	71	62	39	100	176	119	348	39	73	63	44	241	72	88	56	52	311	156	98	19	82	389									
