Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																
Дата голосования: 02.12.2007																																																																																
																																																																																
"Наименование Избирательной комиссии:    г. Тула, Пролетарская"																																																																																
																																																																																
Сводная таблица результатов выборов																																																																																
																																																																																
		Сумма	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031					
1	"Число избирателей, внесенных в списки избирателей"	133729	1026	1773	100	1642	2465	1745	739	136	1679	1359	2160	2809	2509	2665	2332	83	2770	2436	112	2601	2685	2183	2622	1862	1880	2417	2439	1943	1543	1790	2597	1852	2377	1578	1976	2659	2657	2574	172	207	964	100	2669	208	682	2825	2900	2582	1743	2405	1909	1839	2008	2448	2767	2381	2348	1769	2352	2171	2481	1231	122	870	987	2415	2126	1716	2466	1914	1468	2009	1700					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	133100	1010	1740	170	1590	2460	1720	730	160	1410	1310	2140	2780	2490	2530	2300	90	2730	2410	140	2560	2660	2170	2600	1890	1870	2450	2420	1900	1530	1760	2580	1830	2370	1570	1960	2680	2660	2580	200	270	1010	160	2650	250	660	2810	2920	2590	1740	2390	1920	1850	1970	2520	2770	2350	2330	1750	2340	2180	2460	1190	390	870	980	2360	2100	1690	2450	1900	1440	2000	1690					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	68996	492	823	84	802	1297	970	361	136	826	615	1280	1561	1328	1431	1290	77	1349	1347	96	1397	1412	1060	1252	1028	1102	1369	1291	927	728	892	1148	913	1099	750	907	1409	1268	1368	165	163	658	100	1352	187	351	1409	1462	1313	864	1269	1003	915	1391	1230	1444	1043	1172	897	1302	1035	1251	551	22	333	502	1258	1101	711	1311	1009	758	1083	896					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3667	43	44	15	67	45	32	21	0	35	72	22	44	19	27	39	6	29	32	16	59	88	91	77	39	38	44	70	58	42	63	100	41	70	43	54	41	61	38	0	44	294	0	43	0	18	35	43	33	49	33	42	44	84	27	57	118	57	29	62	89	48	47	100	113	28	35	61	75	63	53	56	24	38					
6	Число погашенных избирательных бюллетеней	60437	475	873	71	721	1118	718	348	24	549	623	838	1175	1143	1072	971	7	1352	1031	28	1104	1160	1019	1271	823	730	1037	1059	915	760	805	1332	876	1201	777	999	1230	1331	1174	35	63	58	60	1255	63	291	1366	1415	1244	827	1088	875	891	495	1263	1269	1189	1101	824	976	1056	1161	592	268	424	450	1067	938	904	1076	838	626	893	756					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3665	43	44	15	67	45	32	21	0	35	72	22	44	19	27	39	6	29	32	16	59	88	91	77	39	38	44	70	58	42	63	99	41	70	43	54	41	61	38	0	44	293	0	43	0	18	35	43	33	49	33	42	44	84	27	57	118	57	29	62	89	48	47	100	113	28	35	61	75	63	53	56	24	38					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	68958	492	823	84	802	1297	970	361	136	824	615	1280	1561	1328	1431	1290	77	1349	1344	96	1397	1412	1060	1252	1028	1102	1366	1288	927	728	891	1147	913	1098	749	907	1408	1268	1366	165	163	658	100	1351	187	351	1409	1461	1311	864	1268	1003	914	1386	1229	1444	1041	1172	897	1302	1035	1249	551	22	333	500	1258	1101	710	1310	1009	758	1083	896					
9	Число недействительных избирательных бюллетеней	667	4	11	1	13	9	12	1	2	7	7	10	0	10	10	15	2	14	17	0	10	15	7	10	11	9	13	10	7	8	5	8	9	7	8	8	14	20	20	0	0	13	0	9	1	6	14	10	14	8	13	15	13	9	6	12	12	11	14	17	9	10	7	1	5	5	6	9	9	14	11	12	20	8					
10	Число действительных избирательных бюллетеней	71956	531	856	98	856	1333	990	381	134	852	680	1292	1605	1337	1448	1314	81	1364	1359	112	1446	1485	1144	1319	1056	1131	1397	1348	978	762	949	1238	945	1161	784	953	1435	1309	1384	165	207	938	100	1385	186	363	1430	1494	1330	905	1288	1030	945	1461	1250	1489	1147	1218	912	1347	1115	1287	591	121	441	523	1287	1153	776	1359	1051	802	1087	926					
