Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																						
Дата голосования: 18.09.2016																																																																																						
																																																																																						
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №25																																																																																						
																																																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																						
																																																																																						
		Сумма	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	146061	1932	1993	1801	2530	1931	2149	2248	2034	1439	2088	1853	1664	2157	1957	1254	2239	1372	2029	2153	2050	2275	2244	2135	2122	1543	2024	2219	2232	2257	2431	1892	1906	2054	2009	1426	2101	2023	2038	1215	1522	2006	2002	1794	1981	1497	2243	2034	2213	2262	2109	2129	2008	1860	2239	2129	1405	1592	2015	2003	2219	2480	2080	2161	1907	1649	2080	1828	1209	2429	2298	1491	1546	1586	2474	562									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	123500	1500	1500	1500	2000	1500	2000	2000	2000	1100	1500	1500	1500	2000	1500	1000	2000	1000	1500	2000	2000	2000	2000	2000	2000	1500	1500	2000	2000	2000	2000	2000	1500	1500	1500	1000	2000	1500	1500	1000	1500	1500	1500	1500	1500	1100	2000	2000	2000	2000	2000	2000	1500	1500	2000	2000	1000	1500	1500	1500	2000	2000	2000	2000	1500	1500	1500	1500	1000	2000	2000	1100	1500	1200	2000	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	48491	633	601	498	826	632	622	749	610	475	718	565	429	685	707	475	697	403	721	739	637	801	777	714	786	528	555	687	689	679	777	682	802	746	623	451	643	684	741	427	452	694	709	590	556	537	738	613	750	785	738	781	699	631	862	704	455	509	687	610	727	872	712	802	722	452	691	685	451	862	790	385	460	557	857	152									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	601	5	8	5	13	5	8	11	12	12	12	9	2	9	11	10	2	1	13	8	6	11	4	12	3	2	7	4	5	44	4	4	19	5	9	1	5	5	8	6	8	12	8	5	8	4	4	6	11	4	6	4	8	18	5	8	9	4	6	6	6	11	7	3	5	2	14	2	28	9	9	2	15	9	8	7									
6	Число погашенных избирательных бюллетеней	74408	862	891	997	1161	863	1370	1240	1378	613	770	926	1069	1306	782	515	1301	596	766	1253	1357	1188	1219	1274	1211	970	938	1309	1306	1277	1219	1314	679	749	868	548	1352	811	751	567	1040	794	783	905	936	559	1258	1381	1239	1211	1256	1215	793	851	1133	1288	536	987	807	884	1267	1117	1281	1195	773	1046	795	813	521	1129	1201	713	1025	634	1135	341									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	601	5	8	5	13	5	8	11	12	12	12	9	2	9	11	10	2	1	13	8	6	11	4	12	3	2	7	4	5	44	4	4	19	5	9	1	5	5	8	6	8	12	8	5	8	4	4	6	11	4	6	4	8	18	5	8	9	4	6	6	6	11	7	3	5	2	14	2	28	9	9	2	15	9	8	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	48311	633	597	498	826	627	612	747	609	475	718	565	429	685	694	472	692	402	718	731	637	798	777	688	783	528	555	687	689	679	772	678	798	743	623	449	633	684	728	427	452	694	708	589	556	537	737	607	749	785	732	777	699	631	862	701	455	509	681	610	725	872	712	799	722	452	691	683	449	850	789	384	460	557	857	152									
9	Число недействительных избирательных бюллетеней	1210	13	14	13	26	28	8	34	17	13	23	17	18	12	23	10	26	17	15	13	20	7	9	21	7	19	13	18	13	15	30	15	12	12	13	17	15	19	14	15	7	11	29	11	14	18	17	10	13	15	23	14	18	14	26	17	11	9	18	16	22	18	18	19	35	11	13	22	11	25	15	5	10	16	14	1									
10	Число действительных избирательных бюллетеней	47702	625	591	490	813	604	612	724	604	474	707	557	413	682	682	472	668	386	716	726	623	802	772	679	779	511	549	673	681	708	746	667	805	736	619	433	623	670	722	418	453	695	687	583	550	523	724	603	747	774	715	767	689	635	841	692	453	504	669	600	709	865	701	783	692	443	692	663	466	834	783	381	465	550	851	158									
