Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва													
Дата голосования: 07.12.2003 0:00:00													
													
Наименование Избирательной комиссии:    Звездная поселковая													
													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)													
													
		Сумма	УИК  4501	УИК  4502	УИК  4503	УИК  4504	УИК  4505	УИК  4506					
1	"Число избирателей, внесенных в списки"	7383	1116	1268	1164	1088	1410	1337					
2	"Число бюллетеней, полученных участковыми комиссиями"	6200	963	1080	991	695	1118	1353					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	336	7	5	2	3	30	289					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4491	638	733	710	662	846	902					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	108	10	10	11	11	14	52					
6	Число погашенных бюллетеней	1265	308	332	268	19	228	110					
7	Число бюллетеней в переносных ящиках для голосования	444	17	15	13	14	44	341					
8	Число бюллетеней в стационарных ящиках для голосования	4484	633	732	710	662	845	902					
9	Число недействительных бюллетеней	81	11	12	8	9	14	27					
10	Число действительных бюллетеней	4847	639	735	715	667	875	1216					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	226	33	33	33	33	32	62					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	144	21	14	24	21	19	45					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	17	0	1	4	9	2	1					
14	Число погашенных открепительных удостоверений	82	12	19	9	12	13	17					
15	Число открепительных удостоверений выданных ТИК	4	0	1	0	2	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0					
													
18	"1. ""ЕДИНЕНИЕ"""	101	12	18	9	14	16	32					
		2.04%	1.84%	2.40%	1.24%	2.07%	1.79%	2.57%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	371	59	65	60	59	75	53					
		7.52%	9.07%	8.70%	8.29%	8.72%	8.43%	4.26%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	179	32	27	37	20	38	25					
		3.63%	4.92%	3.61%	5.11%	2.95%	4.27%	2.01%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	144	16	37	19	18	33	21					
		2.92%	2.46%	4.95%	2.62%	2.66%	3.71%	1.68%					
22	"5. ""За Русь Святую"""	17	0	4	3	2	5	3					
		0.34%	0.0%	0.53%	0.41%	0.29%	0.56%	0.24%					
23	"6. ""Объединенная Российская партия ""Русь"""	15	2	2	0	3	1	7					
		0.30%	0.30%	0.26%	0.0%	0.44%	0.11%	0.56%					
24	"7. ""Новый курс - Автомобильная Россия"""	115	18	15	15	23	19	25					
		2.33%	2.76%	2.00%	2.07%	3.40%	2.13%	2.01%					
25	"8. ""Народно-республиканская партия России"""	6	1	0	1	1	0	3					
		0.12%	0.15%	0.0%	0.13%	0.14%	0.0%	0.24%					
26	"9. ""Российская экологическая партия ""Зеленые"""	33	4	2	5	5	10	7					
		0.66%	0.61%	0.26%	0.69%	0.73%	1.12%	0.56%					
27	"10. ""Аграрная партия России"""	90	10	8	20	23	19	10					
		1.82%	1.53%	1.07%	2.76%	3.40%	2.13%	0.80%					
28	"11. ""Истинные патриоты России"""	41	1	0	1	1	1	37					
		0.83%	0.15%	0.0%	0.13%	0.14%	0.11%	2.97%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	74	7	7	10	5	6	39					
		1.50%	1.07%	0.93%	1.38%	0.73%	0.67%	3.13%					
30	"13. ""Демократическая партия России"""	8	0	0	0	0	6	2					
		0.16%	0.0%	0.0%	0.0%	0.0%	0.67%	0.16%					
31	"14. ""Великая Россия - Евразийский Союз"""	13	3	2	1	0	2	5					
		0.26%	0.46%	0.26%	0.13%	0.0%	0.22%	0.40%					
32	"15. ""Партия СЛОН"""	19	2	1	1	0	1	14					
		0.38%	0.30%	0.13%	0.13%	0.0%	0.11%	1.12%					
33	"16. ""Родина"" (народно-патриотический союз)"""	193	25	43	37	32	39	17					
		3.91%	3.84%	5.75%	5.11%	4.73%	4.38%	1.36%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	17	2	0	3	0	1	11					
		0.34%	0.30%	0.0%	0.41%	0.0%	0.11%	0.88%					
35	"18. ""ЛДПР"""	767	97	107	107	116	176	164					
		15.56%	14.92%	14.32%	14.79%	17.15%	19.79%	13.19%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	59	9	10	7	7	13	13					
		1.19%	1.38%	1.33%	0.96%	1.03%	1.46%	1.04%					
37	"20. ""Политическая партия ""Единая Россия"""	1815	225	244	246	218	276	606					
		36.83%	34.61%	32.66%	34.02%	32.24%	31.04%	48.75%					
38	"21. ""Российская Конституционно-демократическая партия"""	7	1	2	1	0	2	1					
		0.14%	0.15%	0.26%	0.13%	0.0%	0.22%	0.08%					
39	"22. ""Развитие предпринимательства"""	8	0	2	1	2	3	0					
		0.16%	0.0%	0.26%	0.13%	0.29%	0.33%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	329	62	62	61	50	55	39					
		6.67%	9.53%	8.29%	8.43%	7.39%	6.18%	3.13%					
													
41	Против всех	426	51	77	70	68	78	82					
		8.64%	7.84%	10.30%	9.68%	10.05%	8.77%	6.59%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
