Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Анадырская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	5021	439	966	411	525	226	62	101	436	114	360	34	772	127	226	222									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6685	675	1197	557	623	308	113	127	574	205	468	69	1011	202	297	259									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	265	0	0	0	0	41	8	21	47	11	105	8	0	0	0	24									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3124	249	441	233	338	175	53	80	278	99	200	26	454	119	185	194									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	115	1	19	3	15	10	1	0	13	4	5	0	10	8	22	4									
6	Число погашенных избирательных бюллетеней	3181	425	737	321	270	82	51	26	236	91	158	35	547	75	90	37									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	380	1	19	3	15	51	9	21	60	15	110	8	10	8	22	28									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3124	249	441	233	338	175	53	80	278	99	200	26	454	119	185	194									
9	Число недействительных избирательных бюллетеней	182	10	19	13	30	12	1	0	38	1	3	0	38	3	10	4									
10	Число действительных избирательных бюллетеней	3322	240	441	223	323	214	61	101	300	113	307	34	426	124	197	218									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	250	25	25	20	15	15	15	15	15	15	15	15	15	15	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	36	1	3	2	7	2	2	3	1	6	0	1	1	5	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	25	9	5	4	3	0	0	1	2	0	0	0	1	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	214	24	22	18	8	13	13	12	14	9	15	14	14	10	13	15									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	32	5	2	2	1	3	0	0	5	0	10	2	1	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	43	6	7	7	1	2	0	1	3	1	7	0	3	0	4	1									
		1.23%	2.40%	1.52%	2.97%	0.28%	0.88%	0.00%	0.99%	0.89%	0.88%	2.26%	0.00%	0.65%	0.00%	1.93%	0.45%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	52	2	12	2	6	2	3	0	7	1	5	0	5	1	4	2									
		1.48%	0.80%	2.61%	0.85%	1.70%	0.88%	4.84%	0.00%	2.07%	0.88%	1.61%	0.00%	1.08%	0.79%	1.93%	0.90%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	90	11	15	4	11	1	2	1	7	6	9	0	15	1	4	3									
		2.57%	4.40%	3.26%	1.69%	3.12%	0.44%	3.23%	0.99%	2.07%	5.26%	2.90%	0.00%	3.23%	0.79%	1.93%	1.35%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2144	107	201	97	169	182	42	81	228	79	222	19	277	93	157	190									
		61.19%	42.80%	43.70%	41.10%	47.88%	80.53%	67.74%	80.20%	67.46%	69.30%	71.61%	55.88%	59.70%	73.23%	75.85%	85.59%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	16	2	3	3	1	0	2	0	0	0	1	0	2	1	1	0									
		0.46%	0.80%	0.65%	1.27%	0.28%	0.00%	3.23%	0.00%	0.00%	0.00%	0.32%	0.00%	0.43%	0.79%	0.48%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	5	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1									
		0.14%	0.40%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.94%	0.00%	0.00%	0.48%	0.45%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	596	68	136	77	82	14	8	14	22	20	35	7	69	23	8	13									
		17.01%	27.20%	29.57%	32.63%	23.23%	6.19%	12.90%	13.86%	6.51%	17.54%	11.29%	20.59%	14.87%	18.11%	3.86%	5.86%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	4	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1									
		0.11%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.48%	0.45%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	19	1	1	3	5	0	1	0	0	0	2	0	4	0	1	1									
		0.54%	0.40%	0.22%	1.27%	1.42%	0.00%	1.61%	0.00%	0.00%	0.00%	0.65%	0.00%	0.86%	0.00%	0.48%	0.45%									
