Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																						
Дата голосования: 07.12.2003 0:00:00																																																																						
																																																																						
Наименование Избирательной комиссии:    Крымская																																																																						
																																																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																						
																																																																						
		Сумма	УИК  2601	УИК  2602	УИК  2603	УИК  2604	УИК  2605	УИК  2606	УИК  2607	УИК  2608	УИК  2609	УИК  2610	УИК  2611	УИК  2612	УИК  2613	УИК  2614	УИК  2615	УИК  2616	УИК  2617	УИК  2618	УИК  2619	УИК  2620	УИК  2621	УИК  2622	УИК  2623	УИК  2624	УИК  2625	УИК  2626	УИК  2627	УИК  2628	УИК  2629	УИК  2630	УИК  2631	УИК  2632	УИК  2633	УИК  2634	УИК  2635	УИК  2636	УИК  2637	УИК  2638	УИК  2639	УИК  2640	УИК  2641	УИК  2642	УИК  2643	УИК  2644	УИК  2645	УИК  2646	УИК  2647	УИК  2648	УИК  2649	УИК  2650	УИК  2651	УИК  2652	УИК  2653	УИК  2654	УИК  2655	УИК  2656	УИК  2657	УИК  2658	УИК  2659	УИК  2660	УИК  2661	УИК  2662	УИК  2663					
1	"Число избирателей, внесенных в списки"	99904	2648	1809	2450	2274	2139	280	2972	1424	2083	2798	2596	2482	2659	2887	1921	2734	2060	1734	2846	2147	2837	2133	197	1747	2080	661	604	1103	186	714	237	2161	228	196	521	2419	2451	2063	2691	471	828	2248	1108	216	406	1778	539	2030	2643	1423	1472	2036	2892	443	274	647	391	474	660	547	2385	2649	1172					
2	"Число бюллетеней, полученных участковыми комиссиями"	95353	2469	1755	2347	2158	2014	273	2822	1343	1983	2642	2433	2363	2543	2714	1809	2601	1909	1646	2612	2048	2657	2040	192	1662	1995	632	594	1048	184	707	227	2069	216	192	509	2302	2329	1941	2535	462	814	2303	1059	209	400	1680	530	1949	2528	1419	1421	1940	2789	445	281	644	382	464	652	543	2260	2534	1130					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	41655	1020	774	917	895	836	110	1025	469	787	1148	994	974	1095	1063	685	1121	741	621	1183	926	1276	792	134	664	872	321	276	563	153	370	157	1024	115	97	254	914	1010	920	1028	205	435	991	454	109	212	721	266	933	1101	614	571	845	1330	270	159	350	190	207	330	251	1008	1182	597					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2035	67	31	49	46	17	24	36	31	39	41	51	52	27	27	35	34	8	22	59	20	72	13	0	97	118	2	14	12	7	18	3	36	15	19	14	52	27	14	45	7	14	35	0	0	12	36	30	9	96	19	39	51	50	47	20	13	11	43	7	35	89	44	34					
6	Число погашенных бюллетеней	51663	1382	950	1381	1217	1161	139	1761	843	1157	1453	1388	1337	1421	1624	1089	1446	1160	1003	1370	1102	1309	1235	58	901	1005	309	304	473	24	319	67	1009	86	76	241	1336	1292	1007	1462	250	365	1277	605	100	176	923	234	1007	1331	786	811	1044	1409	128	102	281	181	214	315	257	1163	1308	499					
7	Число бюллетеней в переносных ящиках для голосования	2035	67	31	49	46	17	24	36	31	39	41	51	52	27	27	35	34	8	22	59	20	72	13	0	97	118	2	14	12	7	18	3	36	15	19	14	52	27	14	45	7	14	35	0	0	12	36	30	9	96	19	39	51	50	47	20	13	11	43	7	35	89	44	34					
8	Число бюллетеней в стационарных ящиках для голосования	41614	1020	743	917	895	836	110	1025	469	787	1148	994	974	1092	1061	685	1121	741	621	1183	925	1276	792	134	664	872	321	276	563	153	370	157	1024	115	97	254	911	1010	920	1028	204	435	991	454	109	212	721	266	933	1101	614	571	845	1330	270	159	350	190	207	330	251	1008	1182	597					
9	Число недействительных бюллетеней	633	13	16	9	5	3	3	21	15	13	12	18	15	14	10	12	20	5	5	16	8	7	10	0	16	12	6	9	8	0	2	1	31	3	4	4	17	6	11	12	14	23	0	12	3	3	4	5	10	17	6	21	23	23	6	0	8	2	3	3	1	25	17	12					
10	Число действительных бюллетеней	43016	1074	758	957	936	850	131	1040	485	813	1177	1027	1011	1105	1078	708	1135	744	638	1226	937	1341	795	134	745	978	317	281	567	160	386	159	1029	127	112	264	946	1031	923	1061	197	426	1026	442	106	221	753	291	932	1180	627	589	873	1357	311	179	355	199	247	334	285	1072	1209	619					
