Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																			
Дата голосования: 04.12.2011																																			
																																			
Наименование Избирательной комиссии:    Галичская																																			
																																			
Сводная таблица результатов выборов																																			
																																			
		Сумма	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124					
1	"Число избирателей, внесенных в список избирателей"	7845	342	202	98	724	144	292	283	93	154	303	183	176	85	526	128	635	628	510	452	130	162	192	510	139	311	228	139	76					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7860	340	190	100	730	140	290	280	90	160	310	180	180	80	520	130	650	640	510	450	130	170	190	510	140	320	230	130	70					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4098	196	120	46	350	75	151	163	57	78	166	91	99	51	287	47	266	323	238	269	54	73	125	281	87	155	125	73	52					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1137	50	22	20	115	10	16	29	10	19	28	18	32	16	64	33	88	96	118	56	35	31	29	55	16	64	40	19	8					
6	Число погашенных избирательных бюллетеней	2625	94	48	34	265	55	123	88	23	63	116	71	49	13	169	50	296	221	154	125	41	66	36	174	37	101	65	38	10					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1137	50	22	20	115	10	16	29	10	19	28	18	32	16	64	33	88	96	118	56	35	31	29	55	16	64	40	19	8					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4098	196	120	46	350	75	151	163	57	78	166	91	99	51	287	47	266	323	238	269	54	73	125	281	87	155	125	73	52					
9	Число недействительных избирательных бюллетеней	77	2	2	0	4	0	2	3	0	0	2	0	2	0	3	0	6	2	4	32	1	1	1	5	1	2	2	0	0					
10	Число действительных избирательных бюллетеней	5158	244	140	66	461	85	165	189	67	97	192	109	129	67	348	80	348	417	352	293	88	103	153	331	102	217	163	92	60					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	165	9	3	4	4	3	2	7	3	5	13	4	5	3	9	3	12	13	3	9	3	9	7	6	7	4	9	3	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	112	3	0	4	4	2	0	4	1	5	9	4	5	1	7	1	12	6	0	1	1	3	7	6	7	4	9	3	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	75	2	3	2	3	2	4	3	4	2	3	1	2	6	6	1	2	2	5	4	1	0	1	4	2	2	4	2	2					
14	Число погашенных неиспользованных открепительных удостоверений	53	6	3	0	0	1	2	3	2	0	4	0	0	2	2	2	0	7	3	8	2	6	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	2	0	0	0	0	0	0	0	0	2	0	0	2	0	0	4	1	0	0	0	0	0	0	0	0	3	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	867	31	18	3	68	9	25	52	19	15	24	25	35	17	49	13	84	75	64	36	10	14	42	43	14	41	23	10	8					
		16.56%	12.60%	12.68%	4.55%	14.62%	10.59%	14.97%	27.08%	28.36%	15.46%	12.37%	22.94%	26.72%	25.37%	13.96%	16.25%	23.73%	17.90%	17.98%	11.08%	11.24%	13.46%	27.27%	12.80%	13.59%	18.72%	13.94%	10.87%	13.33%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	657	50	40	3	63	0	13	3	6	13	24	17	17	10	37	17	57	46	49	27	3	12	32	48	1	24	28	17	0					
		12.55%	20.33%	28.17%	4.55%	13.55%	0.00%	7.78%	1.56%	8.96%	13.40%	12.37%	15.60%	12.98%	14.93%	10.54%	21.25%	16.10%	10.98%	13.76%	8.31%	3.37%	11.54%	20.78%	14.29%	0.97%	10.96%	16.97%	18.48%	0.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	32	4	1	1	1	0	0	0	1	1	1	0	2	0	6	1	1	2	1	0	0	1	0	3	2	2	1	0	0					
		0.61%	1.63%	0.70%	1.52%	0.22%	0.00%	0.00%	0.00%	1.49%	1.03%	0.52%	0.00%	1.53%	0.00%	1.71%	1.25%	0.28%	0.48%	0.28%	0.00%	0.00%	0.96%	0.00%	0.89%	1.94%	0.91%	0.61%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1193	59	17	27	99	25	40	27	14	23	75	24	33	28	88	11	45	100	73	54	17	30	22	107	30	37	46	23	19					
		22.79%	23.98%	11.97%	40.91%	21.29%	29.41%	23.95%	14.06%	20.90%	23.71%	38.66%	22.02%	25.19%	41.79%	25.07%	13.75%	12.71%	23.87%	20.51%	16.62%	19.10%	28.85%	14.29%	31.85%	29.13%	16.89%	27.88%	25.00%	31.67%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	36	0	7	0	7	0	0	0	1	0	0	0	0	0	1	1	4	4	3	0	0	0	0	4	0	3	1	0	0					
		0.69%	0.00%	4.93%	0.00%	1.51%	0.00%	0.00%	0.00%	1.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	1.25%	1.13%	0.95%	0.84%	0.00%	0.00%	0.00%	0.00%	1.19%	0.00%	1.37%	0.61%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2363	98	57	32	221	51	87	107	26	45	67	43	41	12	166	37	157	188	162	176	57	46	57	126	55	110	64	42	33					
		45.14%	39.84%	40.14%	48.48%	47.53%	60.00%	52.10%	55.73%	38.81%	46.39%	34.54%	39.45%	31.30%	17.91%	47.29%	46.25%	44.35%	44.87%	45.51%	54.15%	64.04%	44.23%	37.01%	37.50%	53.40%	50.23%	38.79%	45.65%	55.00%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	10	2	0	0	2	0	0	0	0	0	1	0	1	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0					
		0.19%	0.81%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.76%	0.00%	0.28%	0.00%	0.00%	0.48%	0.00%	0.00%	1.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
