Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																
Дата голосования: 18.09.2016																																																
																																																
Наименование Избирательной комиссии:    Яранская																																																
																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																
																																																
		Сумма	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	23087	1247	2343	1329	1203	1385	1253	735	653	1249	1439	1379	202	192	260	231	249	541	665	334	196	246	319	341	389	258	262	509	738	172	366	609	177	239	401	182	388	406									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23250	1260	2345	1330	1210	1390	1260	730	655	1250	1430	1390	200	200	260	240	250	545	670	335	200	260	325	340	390	270	265	520	740	170	375	615	180	240	405	190	400	415									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8233	362	697	444	439	598	462	238	195	428	474	598	172	70	78	82	106	185	199	114	73	122	162	153	147	105	112	140	276	68	94	241	72	71	132	60	125	139									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	994	32	17	23	10	32	17	20	15	14	17	26	0	18	26	10	26	32	8	42	34	16	37	34	28	14	16	81	18	20	41	14	9	32	80	37	45	53									
6	Число погашенных избирательных бюллетеней	14023	866	1631	863	761	760	781	472	445	808	939	766	28	112	156	148	118	328	463	179	93	122	126	153	215	151	137	299	446	82	240	360	99	137	193	93	230	223									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	994	32	17	23	10	32	17	20	15	14	17	26	0	18	26	10	26	32	8	42	34	16	37	34	28	14	16	81	18	20	41	14	9	32	80	37	45	53									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8229	362	696	444	439	598	462	238	195	428	471	598	172	70	78	82	106	185	199	114	73	122	162	153	147	105	112	140	276	68	94	241	72	71	132	60	125	139									
9	Число недействительных избирательных бюллетеней	199	12	11	12	7	5	10	6	7	11	15	14	9	1	0	2	1	2	7	4	0	2	5	3	6	1	1	6	8	2	2	12	2	1	3	0	2	7									
10	Число действительных избирательных бюллетеней	9024	382	702	455	442	625	469	252	203	431	473	610	163	87	104	90	131	215	200	152	107	136	194	184	169	118	127	215	286	86	133	243	79	102	209	97	168	185									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	549	19	31	26	17	31	21	13	13	20	26	21	6	12	12	12	11	14	14	10	10	10	13	13	14	11	11	13	13	10	14	14	10	11	14	11	13	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	137	7	7	3	4	7	10	4	2	6	3	8	0	3	0	0	1	1	0	2	3	10	4	13	6	11	2	1	2	0	2	2	4	2	1	0	2	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	66	3	6	2	5	2	1	2	0	4	1	3	0	1	0	0	2	0	1	1	1	2	3	2	4	0	1	0	3	1	1	3	0	4	2	1	1	3									
14	Число погашенных неиспользованных открепительных удостоверений	412	12	24	23	13	24	11	9	11	14	23	13	6	9	12	12	10	13	14	8	7	0	9	0	8	0	9	12	11	10	12	12	6	9	13	11	11	11									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	53	7	5	2	2	0	3	2	0	3	4	1	0	0	0	2	1	1	0	1	0	2	0	1	3	0	0	0	3	0	4	0	0	0	2	2	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	96	4	14	6	2	7	9	4	0	7	6	10	2	0	0	0	0	3	1	0	0	0	0	0	0	4	2	2	4	0	2	3	0	1	0	0	1	2									
		1.04%	1.02%	1.96%	1.28%	0.45%	1.11%	1.88%	1.55%	0.00%	1.58%	1.23%	1.60%	1.16%	0.00%	0.00%	0.00%	0.00%	1.38%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.36%	1.56%	0.90%	1.36%	0.00%	1.48%	1.18%	0.00%	0.97%	0.00%	0.00%	0.59%	1.04%									
