Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																														
Дата голосования: 07.12.2003 0:00:00																																														
																																														
Наименование Избирательной комиссии:    Судогодская																																														
																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																														
																																														
		Сумма	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594					
1	"Число избирателей, внесенных в списки"	33447	1788	1638	1691	2272	1892	1656	575	1096	1868	530	1644	818	662	1130	181	855	259	1127	1143	353	428	452	281	104	969	626	290	251	1060	448	1415	1171	120	197	461	197	653	357	789					
2	"Число бюллетеней, полученных участковыми комиссиями"	30120	1600	1450	1520	2060	1690	1450	515	1000	1700	475	1480	745	600	1015	160	765	235	1025	1030	350	385	410	255	100	870	570	260	230	960	400	1260	1060	110	170	420	185	585	315	710					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	14079	734	657	687	1032	793	650	277	413	803	258	642	373	297	622	82	324	98	427	479	88	204	228	136	60	444	247	162	71	485	159	586	515	36	103	162	59	246	140	300					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	680	18	22	27	28	6	5	12	4	0	0	3	5	9	4	10	24	46	20	15	55	16	3	0	1	13	43	0	57	0	14	6	16	8	5	58	48	30	20	29					
6	Число погашенных бюллетеней	15360	847	771	806	1000	891	795	226	583	897	217	835	367	294	389	68	417	91	578	536	207	165	179	119	39	413	280	98	102	475	227	668	529	66	62	200	78	309	155	381					
7	Число бюллетеней в переносных ящиках для голосования	680	18	22	27	28	6	5	12	4	0	0	3	5	9	4	10	24	46	20	15	55	16	3	0	1	13	43	0	57	0	14	6	16	8	5	58	48	30	20	29					
8	Число бюллетеней в стационарных ящиках для голосования	14074	734	657	687	1032	793	649	277	413	803	258	642	373	297	622	82	324	98	426	479	88	204	228	136	60	444	247	162	71	484	159	585	514	36	103	162	59	246	140	300					
9	Число недействительных бюллетеней	197	6	10	6	12	9	4	6	5	10	6	12	3	7	6	0	7	4	3	2	1	6	5	4	1	7	5	4	0	6	5	7	3	2	2	5	3	2	1	10					
10	Число действительных бюллетеней	14557	746	669	708	1048	790	650	283	412	793	252	633	375	299	620	92	341	140	443	492	142	214	226	132	60	450	285	158	128	478	168	584	527	42	106	215	104	274	159	319					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	415	20	20	20	20	20	20	15	15	15	15	5	5	10	10	5	10	5	10	10	5	10	10	5	5	10	10	5	5	10	5	15	15	5	5	10	5	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	54	3	5	6	6	4	2	0	1	0	0	0	5	0	2	0	1	0	2	3	1	1	0	0	0	4	0	0	0	1	0	0	2	0	1	0	0	0	2	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	57	6	0	4	2	4	1	1	0	0	0	1	1	0	1	2	4	2	1	1	0	3	0	1	0	5	0	0	1	4	2	1	0	0	1	0	0	3	1	4					
14	Число погашенных открепительных удостоверений	361	17	15	14	14	16	18	15	14	15	15	5	0	10	8	5	9	5	8	7	4	9	10	5	5	6	10	5	5	9	5	15	13	5	4	10	5	10	8	8					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																														
18	"1. ""ЕДИНЕНИЕ"""	133	4	6	3	9	7	6	4	2	6	3	5	6	4	1	3	4	2	2	6	3	5	1	2	0	5	6	0	1	2	6	7	2	1	0	3	1	2	0	3					
		0.90%	0.53%	0.88%	0.42%	0.84%	0.87%	0.91%	1.38%	0.47%	0.74%	1.16%	0.77%	1.58%	1.30%	0.15%	3.26%	1.14%	1.38%	0.44%	1.21%	2.09%	2.27%	0.43%	1.47%	0.0%	1.09%	2.06%	0.0%	0.78%	0.41%	3.46%	1.18%	0.37%	2.27%	0.0%	1.36%	0.93%	0.72%	0.0%	0.91%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	222	17	11	6	20	17	9	0	4	1	3	4	0	7	42	0	2	0	10	10	1	4	0	1	0	7	0	2	0	4	2	8	4	0	1	0	1	7	7	10					
		1.50%	2.26%	1.62%	0.84%	1.88%	2.12%	1.37%	0.0%	0.95%	0.12%	1.16%	0.62%	0.0%	2.28%	6.70%	0.0%	0.57%	0.0%	2.24%	2.02%	0.69%	1.81%	0.0%	0.73%	0.0%	1.53%	0.0%	1.23%	0.0%	0.82%	1.15%	1.35%	0.75%	0.0%	0.92%	0.0%	0.93%	2.53%	4.37%	3.03%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	552	23	27	21	36	34	19	4	21	38	10	28	15	13	19	0	11	8	30	12	2	7	8	0	1	21	12	2	6	9	8	17	29	3	3	7	1	19	15	13					
		3.74%	3.05%	3.97%	2.94%	3.39%	4.25%	2.90%	1.38%	5.03%	4.73%	3.87%	4.34%	3.96%	4.24%	3.03%	0.0%	3.16%	5.55%	6.72%	2.42%	1.39%	3.18%	3.46%	0.0%	1.63%	4.59%	4.13%	1.23%	4.68%	1.85%	4.62%	2.87%	5.47%	6.81%	2.77%	3.18%	0.93%	6.88%	9.37%	3.95%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	390	27	20	31	44	49	8	6	8	20	1	2	2	11	39	4	8	4	14	10	1	1	3	1	0	14	2	1	1	7	3	20	9	1	1	3	1	2	8	3					
		2.64%	3.59%	2.94%	4.34%	4.15%	6.13%	1.22%	2.07%	1.91%	2.49%	0.38%	0.31%	0.52%	3.59%	6.23%	4.34%	2.29%	2.77%	3.13%	2.02%	0.69%	0.45%	1.29%	0.73%	0.0%	3.06%	0.68%	0.61%	0.78%	1.44%	1.73%	3.38%	1.69%	2.27%	0.92%	1.36%	0.93%	0.72%	5.0%	0.91%					
22	"5. ""За Русь Святую"""	98	1	3	6	4	2	3	0	2	4	2	12	1	0	7	0	6	4	2	0	2	0	2	0	0	3	6	0	2	3	1	5	1	0	2	3	0	2	2	5					
		0.66%	0.13%	0.44%	0.84%	0.37%	0.25%	0.45%	0.0%	0.47%	0.49%	0.77%	1.86%	0.26%	0.0%	1.11%	0.0%	1.72%	2.77%	0.44%	0.0%	1.39%	0.0%	0.86%	0.0%	0.0%	0.65%	2.06%	0.0%	1.56%	0.61%	0.57%	0.84%	0.18%	0.0%	1.85%	1.36%	0.0%	0.72%	1.25%	1.51%					
23	"6. ""Объединенная Российская партия ""Русь"""	39	1	2	0	1	0	2	2	0	2	1	0	1	1	3	0	2	0	2	3	2	1	1	1	0	1	3	0	0	1	1	3	0	0	0	0	1	0	0	1					
		0.26%	0.13%	0.29%	0.0%	0.09%	0.0%	0.30%	0.69%	0.0%	0.24%	0.38%	0.0%	0.26%	0.32%	0.47%	0.0%	0.57%	0.0%	0.44%	0.60%	1.39%	0.45%	0.43%	0.73%	0.0%	0.21%	1.03%	0.0%	0.0%	0.20%	0.57%	0.50%	0.0%	0.0%	0.0%	0.0%	0.93%	0.0%	0.0%	0.30%					
24	"7. ""Новый курс - Автомобильная Россия"""	95	2	7	6	11	6	5	1	1	5	1	0	3	2	4	0	1	0	2	5	0	1	1	0	0	3	5	1	0	1	1	7	3	0	0	2	2	4	1	1					
		0.64%	0.26%	1.03%	0.84%	1.03%	0.75%	0.76%	0.34%	0.23%	0.62%	0.38%	0.0%	0.79%	0.65%	0.63%	0.0%	0.28%	0.0%	0.44%	1.01%	0.0%	0.45%	0.43%	0.0%	0.0%	0.65%	1.72%	0.61%	0.0%	0.20%	0.57%	1.18%	0.56%	0.0%	0.0%	0.90%	1.86%	1.44%	0.62%	0.30%					
25	"8. ""Народно-республиканская партия России"""	22	0	2	1	2	0	2	0	3	0	1	0	0	0	0	0	0	0	2	1	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	2	0	1					
		0.14%	0.0%	0.29%	0.14%	0.18%	0.0%	0.30%	0.0%	0.71%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.44%	0.20%	0.69%	0.0%	0.0%	0.73%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	0.93%	0.72%	0.0%	0.30%					
26	"9. ""Российская экологическая партия ""Зеленые"""	132	15	1	6	7	16	3	3	4	2	1	2	2	6	20	0	3	1	2	4	1	0	1	0	0	7	3	0	0	3	3	7	2	0	0	2	0	2	1	2					
		0.89%	1.99%	0.14%	0.84%	0.66%	2.00%	0.45%	1.03%	0.95%	0.24%	0.38%	0.31%	0.52%	1.96%	3.19%	0.0%	0.86%	0.69%	0.44%	0.80%	0.69%	0.0%	0.43%	0.0%	0.0%	1.53%	1.03%	0.0%	0.0%	0.61%	1.73%	1.18%	0.37%	0.0%	0.0%	0.90%	0.0%	0.72%	0.62%	0.60%					
27	"10. ""Аграрная партия России"""	631	20	17	33	33	21	22	9	8	26	2	8	5	8	29	5	27	17	12	37	7	31	11	5	2	22	9	1	21	12	15	55	21	5	7	16	17	12	3	20					
		4.27%	2.65%	2.50%	4.62%	3.11%	2.62%	3.36%	3.11%	1.91%	3.23%	0.77%	1.24%	1.32%	2.61%	4.63%	5.43%	7.75%	11.80%	2.69%	7.48%	4.89%	14.09%	4.76%	3.67%	3.27%	4.81%	3.10%	0.61%	16.40%	2.47%	8.67%	9.30%	3.96%	11.36%	6.48%	7.27%	15.88%	4.34%	1.87%	6.07%					
28	"11. ""Истинные патриоты России"""	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0					
		0.06%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.69%	0.0%	0.0%	1.47%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.33%	0.37%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	156	11	5	5	7	14	16	4	1	4	1	5	2	3	0	1	5	2	3	9	2	0	2	2	0	13	2	0	3	2	3	10	5	0	3	2	4	4	0	1					
