Выборы Президента Российской Федерации																																																																						
																																																																						
Наименование Избирательной комиссии:    Мамадышская																																																																						
																																																																						
Итоги голосования 																																																																						
																																																																						
		Сумма	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942					
1	"Число избирателей, внесенных в список"	33075	410	129	273	133	248	309	510	415	172	158	129	116	555	138	893	621	340	1109	543	716	180	960	129	458	152	142	563	443	1397	1409	1498	1340	1432	1865	170	831	464	997	286	338	395	787	412	399	278	468	602	237	163	169	1307	321	663	347	374	192	322	341	566	137	154	1033	437					
2	Число полученных избирательных бюллетеней	33311	415	131	275	134	246	310	514	418	172	160	129	116	560	139	902	620	340	1105	545	710	181	967	128	458	154	142	572	445	1500	1435	1465	1303	1417	1854	172	835	477	1010	288	340	405	793	420	400	275	471	604	243	163	169	1340	312	675	355	385	192	325	350	580	139	156	1035	440					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	31480	397	125	258	130	241	304	494	404	171	152	129	116	545	137	841	614	340	1076	527	708	166	928	128	458	152	142	552	436	1362	1264	1341	1167	1226	1688	170	789	464	987	270	334	376	769	408	388	266	452	574	223	163	168	1244	297	630	336	371	185	320	336	563	129	148	969	432					
5	"Число избирательных бюллетеней, выданных вне помещения"	574	10	4	12	3	5	5	10	0	0	6	0	0	8	0	6	1	0	0	6	2	11	13	0	0	0	0	8	0	35	57	10	29	59	20	0	36	0	0	9	4	19	16	4	0	9	13	0	7	0	0	39	7	0	10	0	7	2	5	0	8	6	48	5					
6	Число погашенных избирательных бюллетеней	1257	8	2	5	1	0	1	10	14	1	2	0	0	7	2	55	5	0	29	12	0	4	26	0	0	2	0	12	9	103	114	114	107	132	146	2	10	13	23	9	2	10	8	8	12	0	6	30	13	0	1	57	8	45	9	14	0	3	9	17	2	2	18	3					
7	Число избирательных бюллетеней в переносных ящиках	574	10	4	12	3	5	5	10	0	0	6	0	0	8	0	6	1	0	0	6	2	11	13	0	0	0	0	8	0	35	57	10	29	59	20	0	36	0	0	9	4	19	16	4	0	9	13	0	7	0	0	39	7	0	10	0	7	2	5	0	8	6	48	5					
8	Число бюллетеней в стационарных ящиках для голосования	31476	397	125	258	130	241	304	494	404	171	152	129	116	545	137	841	614	340	1076	527	708	166	928	128	458	152	142	552	436	1362	1264	1341	1167	1226	1684	170	789	464	987	270	334	376	769	408	388	266	452	574	223	163	168	1244	297	630	336	371	185	320	336	563	129	148	969	432					
9	Число недействительных избирательных бюллетеней	146	0	0	0	0	6	1	1	3	0	1	0	0	0	10	14	0	3	0	3	0	0	0	0	1	0	0	2	6	8	6	13	0	0	0	0	4	3	14	1	2	0	4	2	0	14	0	0	0	3	0	0	0	0	3	0	1	3	2	8	0	0	2	2					
10	Число действительных избирательных бюллетеней	31904	407	129	270	133	240	308	503	401	171	157	129	116	553	127	833	615	337	1076	530	710	177	941	128	457	152	142	558	430	1389	1315	1338	1196	1285	1704	170	821	461	973	278	336	395	781	410	388	261	465	574	230	160	168	1283	304	630	343	371	191	319	339	555	137	154	1015	435					
