Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																				
Дата голосования: 02.12.2007																				
																				
"Наименование Избирательной комиссии:    Самара, Самарская"																				
																				
Сводная таблица результатов выборов																				
																				
		Сумма	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935					
1	"Число избирателей, внесенных в списки избирателей"	25319	2016	1850	2576	1624	2133	1961	1879	2633	2105	1979	1757	1682	1124					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	20500	1500	1500	2000	1500	2000	1500	1500	2000	1500	1500	1500	1500	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	10825	744	1008	1134	683	824	853	801	1090	903	851	779	659	496					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	427	40	90	37	35	27	28	27	15	31	40	20	22	15					
6	Число погашенных избирательных бюллетеней	9248	716	402	829	782	1149	619	672	895	566	609	701	819	489					
7	Число избирательных бюллетеней в переносных ящиках для голосования	427	40	90	37	35	27	28	27	15	31	40	20	22	15					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10819	743	1008	1131	683	824	852	801	1090	902	851	779	659	496					
9	Число недействительных избирательных бюллетеней	132	5	35	16	8	10	4	0	17	10	10	11	3	3					
10	Число действительных избирательных бюллетеней	11114	778	1063	1152	710	841	876	828	1088	923	881	788	678	508					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	390	30	30	30	30	30	30	30	30	30	30	30	30	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	271	15	25	28	15	28	20	8	27	24	23	15	28	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	202	19	18	11	22	21	11	13	14	20	19	12	11	11					
14	Число погашенных неиспользованных открепительных удостоверений	119	15	5	2	15	2	10	22	3	6	7	15	2	15					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
18	1.Политическая партия «Аграрная партия России»	212	22	19	13	11	15	25	19	26	11	17	13	6	15					
		1.89%	2.81%	1.73%	1.11%	1.53%	1.76%	2.84%	2.29%	2.35%	1.18%	1.91%	1.63%	0.88%	2.94%					
19	2.Всероссийская политическая партия «Гражданская Сила»	338	21	26	27	20	22	34	21	33	38	29	24	28	15					
		3.01%	2.68%	2.37%	2.31%	2.79%	2.59%	3.86%	2.54%	2.99%	4.07%	3.25%	3.00%	4.11%	2.94%					
20	3.Политическая партия «Демократическая партия России»	19	0	1	1	0	2	5	0	2	1	2	1	4	0					
		0.17%	0.00%	0.09%	0.09%	0.00%	0.24%	0.57%	0.00%	0.18%	0.11%	0.22%	0.13%	0.59%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1683	122	129	211	102	122	125	151	169	115	141	118	109	69					
		14.97%	15.58%	11.75%	18.07%	14.21%	14.34%	14.20%	18.24%	15.29%	12.33%	15.82%	14.77%	16.01%	13.50%					
