Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Романовская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10808	787	356	766	444	702	376	251	113	216	301	1731	1693	1314	1062	696									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10570	750	350	750	400	700	350	240	100	200	300	1700	1700	1300	1050	680									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4679	328	171	350	207	304	189	104	47	90	132	742	733	580	451	251									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	464	59	20	36	13	53	13	16	11	10	13	48	49	30	79	14									
6	Число погашенных избирательных бюллетеней	5427	363	159	364	180	343	148	120	42	100	155	910	918	690	520	415									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	464	59	20	36	13	53	13	16	11	10	13	48	49	30	79	14									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4675	328	171	350	207	304	189	104	47	90	132	738	733	580	451	251									
9	Число недействительных избирательных бюллетеней	118	5	5	8	4	13	6	2	3	2	3	25	18	7	8	9									
10	Число действительных избирательных бюллетеней	5021	382	186	378	216	344	196	118	55	98	142	761	764	603	522	256									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	90	5	4	5	2	4	2	2	2	2	3	16	16	16	6	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	46	3	1	5	0	1	0	0	2	0	0	14	15	3	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	30	4	0	1	5	2	2	1	2	2	1	2	1	3	2	2									
14	Число погашенных неиспользованных открепительных удостоверений	44	2	3	0	2	3	2	2	0	2	3	2	1	13	4	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	0	0	0	0	0	0	0	1	0	0	2	3	3	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																										
