Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Красноуральская городская																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20981	862	1159	623	1039	1575	1973	1471	1573	1853	2107	961	1291	1410	1851	675	41	164	285	68									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20655	850	1150	600	1000	1550	1950	1450	1550	1850	2100	950	1250	1400	1850	650	45	150	250	60									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9806	332	529	228	497	838	985	778	792	1019	1142	352	387	541	855	263	17	86	139	26									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	281	5	15	4	11	13	27	13	23	18	23	9	23	18	15	23	17	3	13	8									
6	Число погашенных избирательных бюллетеней	10568	513	606	368	492	699	938	659	735	813	935	589	840	841	980	364	11	61	98	26									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	281	5	15	4	11	13	27	13	23	18	23	9	23	18	15	23	17	3	13	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9806	332	529	228	497	838	985	778	792	1019	1142	352	387	541	855	263	17	86	139	26									
9	Число недействительных избирательных бюллетеней	323	11	18	8	26	26	38	35	24	18	38	10	13	15	28	9	2	1	3	0									
10	Число действительных избирательных бюллетеней	9764	326	526	224	482	825	974	756	791	1019	1127	351	397	544	842	277	32	88	149	34									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	480	20	25	15	25	35	45	35	35	45	50	20	25	30	40	15	0	5	10	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	180	9	10	4	8	17	11	12	18	23	23	8	7	6	10	6	0	3	4	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	107	0	2	4	4	6	12	10	3	4	12	6	9	7	10	4	2	1	2	9									
14	Число погашенных неиспользованных открепительных удостоверений	300	11	15	11	17	18	34	23	17	22	27	12	18	24	30	9	0	2	6	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	40	4	3	1	1	3	7	6	1	6	3	0	1	0	3	0	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
