Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																																																								
Дата голосования: 02.12.2007																																																																																																																																								
																																																																																																																																								
"Наименование Избирательной комиссии:    Владивосток, Первомайская"																																																																																																																																								
																																																																																																																																								
Сводная таблица результатов выборов																																																																																																																																								
																																																																																																																																								
		Сумма	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1623	УИК №1624	УИК №1626	УИК №1627	УИК №1628	УИК №1631	УИК №1633	УИК №1636	УИК №1637	УИК №1638	УИК №1640	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1689	УИК №1690	УИК №1692	УИК №1694	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716					
1	"Число избирателей, внесенных в списки избирателей"	120500	2408	2104	2731	2122	2086	2142	2540	2963	2611	2313	2680	2804	2890	2439	1752	2775	2701	265	2543	2706	2843	2799	2791	2287	1510	1948	2357	2091	2876	2743	2532	2107	2252	2444	2487	1619	2779	2802	2439	2785	2762	2470	2669	2327	2140	2243	2179	2332	1266	72	28	46	38	24	46	52	46	39	26	29	27	28	26	18	17	17	31	36	33	85	30	29	18	30	30	172	22	28	66	293	281	78	84	23	21	21	20	21	22	89	22	22	29	18	68	26	27	24	31	16	355	28	26	18	82	20	21	21	21	40	39	84	90	26	33	33	34	86	92	94	90	70	71	24	20	25	26	27	25					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	112408	2250	2000	2550	2000	1950	2000	2300	2850	2400	2150	2500	2650	2700	2250	1600	2600	2500	265	2350	2400	2650	2600	2650	2050	1350	1800	2250	1950	2700	2600	2400	1950	2100	2250	2200	1500	2650	2600	2300	2500	2550	2300	2450	2100	2050	2100	2050	2200	1250	72	28	46	38	24	46	52	46	39	26	29	27	28	26	18	17	17	31	36	33	85	30	29	18	30	30	172	22	28	66	293	281	78	84	23	21	21	20	21	22	89	22	22	29	18	59	26	27	24	31	16	355	28	26	18	82	20	21	21	21	40	39	84	90	26	33	33	34	86	92	94	90	70	71	24	26	25	26	27	25					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	57935	1145	836	1083	969	844	1070	1254	1357	1261	1134	1204	1259	1266	987	800	1234	1236	259	1150	1103	1275	1261	1411	1694	821	845	962	921	1384	1312	933	1069	1101	1239	1397	748	1351	1201	1244	1308	1202	1020	913	1166	985	933	1085	1081	594	72	28	46	35	24	46	52	46	39	26	29	27	28	26	18	17	17	31	36	33	85	30	29	18	30	30	172	22	28	66	293	281	78	84	23	21	21	20	21	22	89	22	22	29	18	59	26	27	24	31	16	355	28	26	18	82	20	21	21	21	40	39	84	90	26	32	32	33	86	92	94	90	70	71	24	20	25	26	27	22					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	783	14	11	23	23	11	18	22	10	17	21	27	10	16	17	11	18	26	6	22	61	10	15	11	13	3	2	16	14	12	19	23	11	19	11	5	10	4	11	12	23	8	6	9	23	16	9	31	13	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	53690	1091	1153	1444	1008	1095	912	1024	1483	1122	995	1269	1381	1418	1246	789	1348	1238	0	1178	1236	1365	1324	1228	343	526	953	1272	1015	1304	1269	1444	870	980	1000	798	742	1295	1388	1044	1169	1340	1274	1528	911	1049	1158	934	1106	616	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	6	0	0	0	3					
7	Число избирательных бюллетеней в переносных ящиках для голосования	783	14	11	23	23	11	18	22	10	17	21	27	10	16	17	11	18	26	6	22	61	10	15	11	13	3	2	16	14	12	19	23	11	19	11	5	10	4	11	12	23	8	6	9	23	16	9	31	13	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	57847	1141	836	1079	967	843	1066	1254	1357	1252	1134	1204	1259	1266	987	800	1231	1236	259	1149	1101	1274	1261	1411	1694	821	845	962	918	1384	1312	933	1069	1094	1239	1397	748	1351	1199	1242	1301	1202	1020	907	1166	985	933	1084	1054	594	72	28	46	35	24	46	52	46	39	26	29	27	28	26	18	17	17	31	36	33	85	30	29	18	30	30	171	22	28	66	293	281	78	84	23	21	21	20	21	22	89	22	22	29	18	59	26	27	24	31	16	355	28	26	18	82	20	21	21	21	40	39	84	90	26	32	32	33	86	92	94	90	70	71	24	19	25	26	27	22					
9	Число недействительных избирательных бюллетеней	1351	31	31	28	50	18	29	34	22	34	29	26	24	28	24	17	27	20	5	17	16	27	24	27	36	12	19	25	17	31	28	21	25	38	30	125	19	19	22	27	35	20	30	39	21	16	16	26	21	20	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	3	1	0					
10	Число действительных избирательных бюллетеней	57279	1124	816	1074	940	836	1055	1242	1345	1235	1126	1205	1245	1254	980	794	1222	1242	260	1154	1146	1257	1252	1395	1671	812	828	953	915	1365	1303	935	1055	1075	1220	1277	739	1336	1188	1227	1289	1190	996	877	1168	985	926	1089	1046	614	72	28	45	35	24	46	52	46	39	26	29	27	28	26	18	17	17	31	36	32	85	30	29	18	30	30	167	22	27	66	293	281	78	84	23	21	21	20	21	22	88	22	22	29	18	59	26	27	18	31	13	355	28	26	18	82	20	21	21	21	40	39	84	90	26	32	32	33	86	92	94	90	69	71	23	19	23	23	26	22					
