Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва												
Дата голосования: 18.09.2016												
												
Наименование Избирательной комиссии:    Молодежная поселковая												
												
Сводная таблица итогов голосования по федеральному избирательному округу												
												
		Сумма	УИК №1640									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	2190	2190									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	2007	2007									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1153	1153									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	8	8									
6	Число погашенных избирательных бюллетеней	846	846									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	8	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1145	1145									
9	Число недействительных избирательных бюллетеней	50	50									
10	Число действительных избирательных бюллетеней	1103	1103									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	37	37									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	29	29									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	12	12									
14	Число погашенных неиспользованных открепительных удостоверений	8	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	15									
16	Число утраченных открепительных удостоверений	0	0									
17	Число утраченных избирательных бюллетеней	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0									
												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	41	41									
		3.56%	3.56%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	40	40									
		3.47%	3.47%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	41	41									
		3.56%	3.56%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	492	492									
		42.67%	42.67%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	10	10									
		0.87%	0.87%									
24	"6. Политическая партия ""Гражданская Платформа"""	0	0									
		0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	201	201									
		17.43%	17.43%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	11	11									
		0.95%	0.95%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	10	10									
		0.87%	0.87%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	0	0									
		0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	23	23									
		1.99%	1.99%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	193	193									
		16.74%	16.74%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	7	7									
		0.61%	0.61%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	34	34									
		2.95%	2.95%									
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
