Выборы Президента Российской Федерации																																																																					
																																																																					
"Наименование Избирательной комиссии:    Пермь, Дзержинская"																																																																					
																																																																					
Итоги голосования 																																																																					
																																																																					
		Сумма	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833	УИК №2834	УИК №2835	УИК №2836	УИК №2837	УИК №2838	УИК №2839	УИК №2840	УИК №2841	УИК №2842	УИК №2843	УИК №2844	УИК №2845	УИК №2846	УИК №2847	УИК №2848	УИК №2849	УИК №2850	УИК №2851	УИК №2852	УИК №2853	УИК №2854	УИК №2855	УИК №2856	УИК №2857	УИК №2858	УИК №2859	УИК №2860	УИК №2861	УИК №2862					
1	"Число избирателей, внесенных в список"	115817	2308	2039	2056	2016	2072	1364	1777	1759	1571	1472	1961	1579	1555	1773	2450	1872	1518	1736	1945	1999	1551	1695	1640	1850	1717	2348	2535	2105	1959	2156	1913	1736	2465	2304	2554	2206	2077	2033	1942	2326	1924	2264	2022	2033	2357	2851	2567	1605	1669	1597	1906	1954	1997	2256	2006	225	87	615	1567	1841	2320	220					
2	Число полученных избирательных бюллетеней	105400	2000	2000	2000	2000	2000	1300	1600	1600	1400	1300	2000	1300	1300	1500	2100	1600	1300	1500	2000	2000	1600	1600	1500	1500	1500	2000	2000	2000	1700	2000	1700	1600	2100	2000	2200	2000	2000	2000	1800	2000	2000	2100	2000	2000	2100	2200	2100	1300	1600	1300	1800	1800	2000	2000	2000	350	150	800	1300	1700	2000	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	69010	1619	1399	1289	1213	1162	746	1099	1159	959	994	1087	820	889	1031	1468	1129	781	971	1065	1214	911	976	995	1042	974	1137	1413	1287	1208	1568	1216	1148	1506	1268	1409	1371	1136	1204	1226	1387	1286	1364	1162	1150	1494	1648	1477	797	941	889	1084	1169	1355	1268	1080	225	87	492	888	1156	1328	194					
5	"Число избирательных бюллетеней, выданных вне помещения"	2702	31	45	31	29	30	17	39	14	49	34	43	61	31	25	46	83	65	119	53	81	18	51	22	58	81	31	43	20	55	46	22	24	30	27	42	25	54	40	28	36	20	70	86	25	30	29	49	95	50	141	66	88	44	58	68	0	0	0	61	12	31	0					
6	Число погашенных избирательных бюллетеней	33688	350	556	680	758	808	537	462	427	392	272	870	419	380	444	586	388	454	410	882	705	671	573	483	400	445	832	544	693	437	386	462	428	564	705	749	604	810	756	546	577	694	666	752	825	576	523	574	408	609	270	650	543	601	674	852	125	63	308	351	532	641	6					
7	Число избирательных бюллетеней в переносных ящиках	2702	31	45	31	29	30	17	39	14	49	34	43	61	31	25	46	83	65	119	53	81	18	51	22	58	81	31	43	20	55	46	22	24	30	27	42	25	54	40	28	36	20	70	86	25	30	29	49	95	50	141	66	88	44	58	68	0	0	0	61	12	31	0					
8	Число бюллетеней в стационарных ящиках для голосования	68910	1598	1399	1289	1213	1162	746	1099	1159	959	994	1087	819	889	1031	1467	1129	779	971	1065	1214	911	976	993	1042	974	1137	1399	1287	1208	1568	1216	1148	1504	1268	1409	1371	1136	1203	1226	1387	1286	1314	1162	1150	1492	1648	1477	797	941	889	1084	1169	1355	1268	1080	225	87	490	888	1156	1326	194					
9	Число недействительных избирательных бюллетеней	487	10	4	8	4	4	7	5	5	7	6	0	5	4	6	11	5	5	6	9	8	1	7	13	6	9	5	7	1	0	12	5	19	12	7	8	16	11	7	8	8	5	7	12	6	4	11	17	12	27	5	15	10	9	13	15	0	1	4	5	20	7	1					
10	Число действительных избирательных бюллетеней	71125	1619	1440	1312	1238	1188	756	1133	1168	1001	1022	1130	875	916	1050	1502	1207	839	1084	1109	1287	928	1020	1002	1094	1046	1163	1435	1306	1263	1602	1233	1153	1522	1288	1443	1380	1179	1236	1246	1415	1301	1377	1236	1169	1518	1666	1509	880	964	1025	1135	1247	1390	1313	1133	225	86	486	944	1148	1350	193					
