Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    район Тропарево-Никулино																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624	УИК №2625	УИК №2626	УИК №2627	УИК №2628	УИК №2629	УИК №2630	УИК №2631	УИК №2632	УИК №2633	УИК №2634	УИК  2998					
1	"Число избирателей, внесенных в список"	63019	2714	2340	2414	2506	2698	2748	2026	2673	1953	2971	2740	2552	1896	2141	2470	2346	2309	2444	2246	1935	1876	1891	2696	1844	2184	2893	1513					
2	Число полученных избирательных бюллетеней	55465	2520	2125	2010	2225	2440	2410	1780	2320	1770	2685	2410	2160	1710	1920	2200	2085	2040	2165	1950	1680	1730	1745	2390	1675	1860	2250	1210					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	36119	1560	1287	1557	1314	2032	1335	995	1357	960	1697	1526	1299	1106	1104	1426	1279	1283	1924	1342	1375	1046	1006	1494	1097	1122	1593	1003					
5	"Число избирательных бюллетеней, выданных вне помещения"	725	13	13	14	46	3	1	7	16	19	14	20	15	34	34	25	49	51	30	31	45	36	42	64	26	18	13	46					
6	Число погашенных избирательных бюллетеней	18621	947	825	439	865	405	1074	778	947	791	974	864	846	570	782	749	757	706	211	577	260	648	697	832	552	720	644	161					
7	Число избирательных бюллетеней в переносных ящиках	691	13	13	14	46	3	1	7	16	19	14	20	15	0	34	25	49	51	30	31	45	36	42	64	26	18	13	46					
8	Число бюллетеней в стационарных ящиках для голосования	35830	1558	1278	1557	1309	2032	1335	995	1333	960	1697	1526	1297	1030	1104	1426	1275	1279	1924	1342	1272	1043	999	1494	1069	1100	1593	1003					
9	Число недействительных избирательных бюллетеней	194	12	7	4	9	10	13	0	3	7	19	0	0	6	8	14	4	4	11	6	3	6	6	8	5	1	5	23					
10	Число действительных избирательных бюллетеней	36327	1559	1284	1567	1346	2025	1323	1002	1346	972	1692	1546	1312	1024	1130	1437	1320	1326	1943	1367	1314	1073	1035	1550	1090	1117	1601	1026					
11	Число полученных открепительных  удостоверений	1620	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60					
12	Число выданных открепительных удостоверений	799	34	27	38	32	43	24	23	54	22	27	27	43	24	22	37	25	29	31	37	20	22	10	37	27	22	32	30					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	717	28	15	28	10	18	33	51	30	21	19	12	27	7	7	48	21	21	56	10	17	25	4	38	24	64	43	40					
14	Число неиспользованных открепительных удостоверений	821	26	33	22	28	17	36	37	6	38	33	33	17	36	38	23	35	31	29	23	40	38	50	23	33	38	28	30					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																		
18	. Глазьев Сергей Юрьевич	2727	154	122	106	88	90	59	75	100	47	94	91	78	94	116	124	107	111	143	106	109	123	103	167	106	84	60	70					
		7.47%	9.80%	9.45%	6.75%	6.49%	4.42%	4.42%	7.49%	7.41%	4.80%	5.49%	5.89%	5.95%	9.13%	10.19%	8.55%	8.08%	8.35%	7.32%	7.72%	8.28%	11.40%	9.89%	10.72%	9.68%	7.51%	3.74%	6.67%					
19	. Малышкин Олег Александрович	291	15	19	15	13	24	11	6	15	8	15	14	7	9	10	1	7	10	10	10	8	9	5	11	5	6	18	10					
		0.80%	0.95%	1.47%	0.95%	0.96%	1.18%	0.82%	0.60%	1.11%	0.82%	0.88%	0.91%	0.53%	0.87%	0.88%	0.07%	0.53%	0.75%	0.51%	0.73%	0.61%	0.83%	0.48%	0.71%	0.46%	0.54%	1.12%	0.95%					
20	. Миронов Сергей Михайлович	186	6	5	10	5	10	7	10	8	8	9	6	11	8	4	8	3	2	4	4	3	4	2	11	5	15	13	5					
		0.51%	0.38%	0.39%	0.64%	0.37%	0.49%	0.52%	1.00%	0.59%	0.82%	0.53%	0.39%	0.84%	0.78%	0.35%	0.55%	0.23%	0.15%	0.20%	0.29%	0.23%	0.37%	0.19%	0.71%	0.46%	1.34%	0.81%	0.48%					
21	. Путин Владимир Владимирович	23956	918	791	1072	1019	1572	990	593	823	692	1201	1112	971	643	664	786	778	824	1391	778	856	592	571	856	755	695	1233	780					
		65.60%	58.43%	61.27%	68.24%	75.20%	77.25%	74.10%	59.18%	61.01%	70.68%	70.19%	71.93%	74.01%	62.43%	58.35%	54.17%	58.76%	61.95%	71.19%	56.66%	65.00%	54.87%	54.85%	54.94%	68.95%	62.16%	76.77%	74.36%					
22	. Хакамада Ирина Муцуовна	4027	186	125	108	79	168	155	150	192	81	146	126	129	92	157	240	182	143	203	217	149	135	186	246	100	130	139	63					
		11.03%	11.84%	9.68%	6.87%	5.83%	8.26%	11.60%	14.97%	14.23%	8.27%	8.53%	8.15%	9.83%	8.93%	13.80%	16.54%	13.75%	10.75%	10.39%	15.80%	11.31%	12.51%	17.87%	15.79%	9.13%	11.63%	8.66%	6.01%					
23	. Харитонов Николай Михайлович	2998	169	129	205	79	101	53	86	103	77	144	118	49	123	109	163	127	134	128	127	98	129	86	139	107	85	61	69					
		8.21%	10.76%	9.99%	13.05%	5.83%	4.96%	3.97%	8.58%	7.64%	7.87%	8.42%	7.63%	3.73%	11.94%	9.58%	11.23%	9.59%	10.08%	6.55%	9.25%	7.44%	11.96%	8.26%	8.92%	9.77%	7.60%	3.80%	6.58%					
																																		
24	Против всех	2142	111	93	51	63	60	48	82	105	59	83	79	67	55	70	115	116	102	64	125	91	81	82	120	12	102	77	29					
		5.87%	7.07%	7.20%	3.25%	4.65%	2.95%	3.59%	8.18%	7.78%	6.03%	4.85%	5.11%	5.11%	5.34%	6.15%	7.93%	8.76%	7.67%	3.28%	9.10%	6.91%	7.51%	7.88%	7.70%	1.10%	9.12%	4.79%	2.76%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
