Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Охотская																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6226	244	536	501	408	480	561	409	582	299	273	108	396	382	342	157	280	100	168									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6250	250	550	500	400	500	600	400	500	300	300	110	350	300	310	150	230	100	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	276	0	0	0	0	0	191	0	47	0	0	0	0	38	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2240	95	201	168	194	133	157	117	161	129	125	50	155	67	98	67	114	41	168									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	259	12	10	28	7	12	5	7	16	0	6	6	51	38	23	20	4	14	0									
6	Число погашенных избирательных бюллетеней	3475	143	339	304	199	355	247	276	276	171	169	54	144	157	189	63	112	45	232									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	535	12	10	28	7	12	196	7	63	0	6	6	51	76	23	20	4	14	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2239	95	201	168	194	133	157	117	161	129	125	50	155	67	97	67	114	41	168									
9	Число недействительных избирательных бюллетеней	135	8	3	11	17	12	15	8	4	7	3	0	4	10	6	2	15	1	9									
10	Число действительных избирательных бюллетеней	2639	99	208	185	184	133	338	116	220	122	128	56	202	133	114	85	103	54	159									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	341	15	25	25	30	20	27	20	20	20	28	15	25	16	15	10	15	15	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	242	15	16	8	6	11	27	12	18	10	28	15	25	16	15	3	6	11	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	23	0	2	0	4	0	3	2	1	2	1	3	0	0	1	0	0	3	1									
14	Число погашенных неиспользованных открепительных удостоверений	99	0	9	17	24	9	0	8	2	10	0	0	0	0	0	7	9	4	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	143	9	12	15	19	12	18	10	6	1	6	10	12	1	0	6	6	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	36	2	3	6	1	1	4	2	1	4	0	2	3	2	0	0	1	0	4									
		1.30%	1.87%	1.42%	3.06%	0.50%	0.69%	1.13%	1.61%	0.45%	3.10%	0.00%	3.57%	1.46%	1.40%	0.00%	0.00%	0.85%	0.00%	2.38%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	88	1	11	5	8	3	9	1	11	3	6	1	7	10	2	1	2	3	4									
		3.17%	0.93%	5.21%	2.55%	3.98%	2.07%	2.55%	0.81%	4.91%	2.33%	4.58%	1.79%	3.40%	6.99%	1.67%	1.15%	1.69%	5.45%	2.38%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	87	8	9	4	7	1	9	3	9	2	6	0	10	6	0	0	4	0	9									
		3.14%	7.48%	4.27%	2.04%	3.48%	0.69%	2.55%	2.42%	4.02%	1.55%	4.58%	0.00%	4.85%	4.20%	0.00%	0.00%	3.39%	0.00%	5.36%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1320	47	97	87	86	75	153	58	122	57	60	27	104	61	68	57	59	32	70									
		47.58%	43.93%	45.97%	44.39%	42.79%	51.72%	43.34%	46.77%	54.46%	44.19%	45.80%	48.21%	50.49%	42.66%	56.67%	65.52%	50.00%	58.18%	41.67%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	26	0	0	0	1	1	10	0	3	1	1	0	3	3	0	1	1	0	1									
