Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
Наименование Избирательной комиссии:    Куюргазинская																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №2496	УИК №2497	УИК №2498	УИК №2499	УИК №2500	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514	УИК №2515	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524	УИК №2525	УИК №2526	УИК №2527	УИК №2528	УИК №2529	УИК №2531	УИК №2532	УИК №2533	УИК №2534	УИК №2535	УИК №2536	УИК №2537	УИК №2538	УИК №2540	УИК №2541	УИК №2542	УИК №2543	УИК №2544	УИК №2545	УИК №2546									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18679	666	1324	675	1228	1410	1015	317	112	106	204	220	372	656	287	521	194	180	213	312	116	251	232	493	457	120	103	135	489	268	116	621	94	181	154	520	160	262	122	271	947	251	176	380	153	204	287	109	255	740									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19576	678	1332	685	1250	1430	1030	330	116	109	214	229	385	700	300	538	214	185	221	340	120	265	235	520	585	125	108	143	510	280	130	660	102	192	163	635	165	260	136	295	988	260	187	387	169	210	300	120	270	770									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10817	248	429	446	331	702	394	117	70	65	180	176	273	472	237	413	132	112	150	264	72	157	92	365	263	92	85	90	398	178	101	407	69	96	89	217	145	156	97	188	592	148	134	259	122	157	159	66	181	431									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1023	40	35	46	35	10	62	21	7	8	12	11	46	50	12	36	25	8	13	9	10	27	18	32	21	13	4	30	13	24	3	39	2	14	7	46	8	20	6	11	34	2	24	35	6	4	25	19	10	30									
6	Число погашенных избирательных бюллетеней	7736	390	868	193	884	718	574	192	39	36	22	42	66	178	51	89	57	65	58	67	38	81	125	123	301	20	19	23	99	78	26	214	31	82	67	372	12	84	33	96	362	110	29	93	41	49	116	35	79	309									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1023	40	35	46	35	10	62	21	7	8	12	11	46	50	12	36	25	8	13	9	10	27	18	32	21	13	4	30	13	24	3	39	2	14	7	46	8	20	6	11	34	2	24	35	6	4	25	19	10	30									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10817	248	429	446	331	702	394	117	70	65	180	176	273	472	237	413	132	112	150	264	72	157	92	365	263	92	85	90	398	178	101	407	69	96	89	217	145	156	97	188	592	148	134	259	122	157	159	66	181	431									
9	Число недействительных избирательных бюллетеней	198	0	16	1	11	0	9	5	5	2	0	0	3	0	8	2	0	12	0	19	1	2	4	3	7	0	1	0	0	0	0	18	4	9	4	7	0	9	2	8	4	5	0	0	0	6	1	0	0	10									
10	Число действительных избирательных бюллетеней	11642	288	448	491	355	712	447	133	72	71	192	187	316	522	241	447	157	108	163	254	81	182	106	394	277	105	88	120	411	202	104	428	67	101	92	256	153	167	101	191	622	145	158	294	128	155	183	85	191	451									
