Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Перевозская																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12703	1133	1359	1176	1634	1567	274	293	670	218	664	193	208	230	668	476	407	297	915	321									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12740	1140	1370	1230	1650	1560	260	290	660	210	660	180	210	220	670	470	410	300	930	320									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6903	692	563	854	1136	965	136	116	373	135	262	49	102	121	369	223	166	126	364	151									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	815	5	9	7	38	57	13	16	45	8	182	74	25	26	45	74	24	22	105	40									
6	Число погашенных избирательных бюллетеней	5022	443	798	369	476	538	111	158	242	67	216	57	83	73	256	173	220	152	461	129									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	815	5	9	7	38	57	13	16	45	8	182	74	25	26	45	74	24	22	105	40									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6902	692	563	854	1136	965	136	116	373	135	262	49	102	121	368	223	166	126	364	151									
9	Число недействительных избирательных бюллетеней	79	8	5	1	6	11	5	6	5	0	14	0	0	3	2	5	0	0	3	5									
10	Число действительных избирательных бюллетеней	7638	689	567	860	1168	1011	144	126	413	143	430	123	127	144	411	292	190	148	466	186									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	169	25	15	15	15	15	5	5	0	5	10	5	5	5	10	5	5	5	15	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	73	18	5	15	5	5	2	2	0	0	10	0	0	0	5	1	0	1	4	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	55	4	1	0	5	4	1	1	6	2	3	11	5	8	2	0	1	0	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	96	7	10	0	10	10	3	3	0	5	0	5	5	5	5	4	5	4	11	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	31	3	5	4	8	4	0	0	0	0	0	1	0	1	1	1	0	0	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	66	4	6	7	6	14	1	3	2	2	3	2	2	1	4	1	1	2	3	2									
		0.86%	0.57%	1.05%	0.81%	0.51%	1.37%	0.67%	2.27%	0.48%	1.40%	0.68%	1.63%	1.57%	0.68%	0.97%	0.34%	0.53%	1.35%	0.64%	1.05%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	191	19	14	21	20	22	2	5	5	2	12	2	11	7	6	7	3	11	13	9									
		2.48%	2.73%	2.45%	2.44%	1.70%	2.15%	1.34%	3.79%	1.20%	1.40%	2.70%	1.63%	8.66%	4.76%	1.45%	2.36%	1.58%	7.43%	2.77%	4.71%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	127	10	11	14	15	10	4	3	11	0	10	1	4	1	5	7	2	2	14	3									
		1.65%	1.43%	1.92%	1.63%	1.28%	0.98%	2.68%	2.27%	2.63%	0.00%	2.25%	0.81%	3.15%	0.68%	1.21%	2.36%	1.05%	1.35%	2.99%	1.57%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5064	447	418	527	800	723	84	59	258	102	305	88	70	74	281	212	108	83	306	119									
		65.62%	64.13%	73.08%	61.21%	68.14%	70.74%	56.38%	44.70%	61.72%	71.33%	68.69%	71.54%	55.12%	50.34%	68.04%	71.38%	56.84%	56.08%	65.25%	62.30%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	19	1	3	4	5	4	0	0	0	0	0	0	0	0	0	0	1	0	0	1									
		0.25%	0.14%	0.52%	0.46%	0.43%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.52%									
24	"6. Политическая партия ""Гражданская Платформа"""	8	0	0	4	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1									
		0.10%	0.00%	0.00%	0.46%	0.09%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.52%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	931	112	43	36	140	101	20	27	86	15	50	10	11	33	54	24	44	16	82	27									
		12.06%	16.07%	7.52%	4.18%	11.93%	9.88%	13.42%	20.45%	20.57%	10.49%	11.26%	8.13%	8.66%	22.45%	13.08%	8.08%	23.16%	10.81%	17.48%	14.14%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	15	0	1	3	6	2	0	0	0	0	1	0	0	1	0	0	0	0	1	0									
		0.19%	0.00%	0.17%	0.35%	0.51%	0.20%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	20	2	4	3	1	0	0	0	0	0	3	1	0	0	2	0	1	0	3	0									
		0.26%	0.29%	0.70%	0.35%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.68%	0.81%	0.00%	0.00%	0.48%	0.00%	0.53%	0.00%	0.64%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	6	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0									
		0.08%	0.00%	0.17%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.21%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	39	2	4	4	10	3	0	1	2	0	1	0	0	1	2	1	4	0	3	1									
		0.51%	0.29%	0.70%	0.46%	0.85%	0.29%	0.00%	0.76%	0.48%	0.00%	0.23%	0.00%	0.00%	0.68%	0.48%	0.34%	2.11%	0.00%	0.64%	0.52%									
