Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																				
Дата голосования: 04.12.2011																																				
																																				
Наименование Избирательной комиссии:    Шумерлинская																																				
																																				
Сводная таблица результатов выборов																																				
																																				
		Сумма	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037					
1	"Число избирателей, внесенных в список избирателей"	9091	487	110	229	391	218	108	240	114	394	677	423	114	165	173	402	536	289	75	110	272	357	225	727	158	503	186	294	863	251					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9433	493	107	245	389	214	97	260	113	406	724	412	109	162	172	409	537	290	69	83	286	386	227	746	244	558	190	338	927	240					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4822	189	45	137	192	102	64	120	46	193	512	242	69	82	59	216	307	136	51	70	189	134	135	320	122	308	133	164	376	109					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1000	39	15	6	47	22	9	24	7	53	65	14	12	40	23	16	68	83	7	11	18	90	17	58	36	74	10	20	79	37					
6	Число погашенных избирательных бюллетеней	3611	265	47	102	150	90	24	116	60	160	147	156	28	40	90	177	162	71	11	2	79	162	75	368	86	176	47	154	472	94					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1000	39	15	6	47	22	9	24	7	53	65	14	12	40	23	16	68	83	7	11	18	90	17	58	36	74	10	20	79	37					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4821	189	45	137	191	102	64	120	46	193	512	242	69	82	59	216	307	136	51	70	189	134	135	320	122	308	133	164	376	109					
9	Число недействительных избирательных бюллетеней	199	14	0	5	6	6	1	4	0	7	25	9	4	0	5	13	12	9	0	3	4	5	5	8	9	6	4	11	19	5					
10	Число действительных избирательных бюллетеней	5622	214	60	138	232	118	72	140	53	239	552	247	77	122	77	219	363	210	58	78	203	219	147	370	149	376	139	173	436	141					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	880	45	10	30	35	20	10	20	20	35	65	35	10	15	15	35	45	25	10	10	25	35	20	65	25	60	15	45	80	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	541	5	1	22	15	1	0	20	20	35	65	8	2	6	2	15	39	15	0	0	20	20	20	32	25	53	9	44	36	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	216	6	4	7	11	5	13	7	3	5	19	5	6	4	6	7	11	9	4	14	5	3	2	10	6	4	10	4	2	24					
14	Число погашенных неиспользованных открепительных удостоверений	339	40	9	8	20	19	10	0	0	0	0	27	8	9	13	20	6	10	10	10	5	15	0	33	0	7	6	1	44	9					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	29	1	1	0	0	0	0	3	2	0	0	0	1	2	0	1	5	3	0	0	0	3	0	1	2	0	1	0	3	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	761	30	6	12	38	18	11	31	2	35	78	69	31	25	7	37	45	30	5	6	30	13	12	56	2	41	20	18	40	13					
		13.07%	13.16%	10.00%	8.39%	15.97%	14.52%	15.07%	21.53%	3.77%	14.23%	13.52%	26.95%	38.27%	20.49%	8.54%	15.95%	12.00%	13.70%	8.62%	7.41%	14.49%	5.80%	7.89%	14.81%	1.27%	10.73%	13.99%	9.78%	8.79%	8.90%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	415	15	2	10	19	18	4	10	8	23	47	14	5	6	6	22	35	11	9	8	12	17	0	21	3	18	8	12	41	11					
		7.13%	6.58%	3.33%	6.99%	7.98%	14.52%	5.48%	6.94%	15.09%	9.35%	8.15%	5.47%	6.17%	4.92%	7.32%	9.48%	9.33%	5.02%	15.52%	9.88%	5.80%	7.59%	0.00%	5.56%	1.90%	4.71%	5.59%	6.52%	9.01%	7.53%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	71	2	0	1	6	3	1	1	1	3	5	3	1	0	6	4	2	1	1	1	2	1	9	3	1	1	0	5	5	2					
		1.22%	0.88%	0.00%	0.70%	2.52%	2.42%	1.37%	0.69%	1.89%	1.22%	0.87%	1.17%	1.23%	0.00%	7.32%	1.72%	0.53%	0.46%	1.72%	1.23%	0.97%	0.45%	5.92%	0.79%	0.63%	0.26%	0.00%	2.72%	1.10%	1.37%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1093	39	14	29	54	18	8	20	8	49	79	62	15	29	13	33	70	31	12	19	26	33	15	113	10	37	19	43	153	42					
