Выборы Президента Российской Федерации																																						
																																						
Наименование Избирательной комиссии:    Карымская																																						
																																						
Итоги голосования 																																						
																																						
		Сумма	УИК  556	УИК  557	УИК  558	УИК  559	УИК  560	УИК  561	УИК  562	УИК  563	УИК  564	УИК  565	УИК  566	УИК  567	УИК  568	УИК  569	УИК  570	УИК  571	УИК  572	УИК  573	УИК  574	УИК  575	УИК  576	УИК  577	УИК  578	УИК  579	УИК  580	УИК  581	УИК  582	УИК  583	УИК  584	УИК  585	УИК  586					
1	"Число избирателей, внесенных в список"	25805	149	446	129	2144	256	590	88	95	819	286	266	2579	1681	1472	1576	1712	589	816	317	85	812	1176	1317	2592	323	653	303	438	1033	968	95					
2	Число полученных избирательных бюллетеней	23262	197	407	131	1885	231	521	104	156	738	251	241	2319	1478	1337	1415	1546	532	670	290	87	765	1106	1142	2316	282	578	273	364	923	874	103					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12015	119	273	77	920	124	316	58	55	314	115	129	1197	601	556	682	702	325	474	219	49	362	548	504	1503	172	333	216	280	370	368	54					
5	"Число избирательных бюллетеней, выданных вне помещения"	853	30	31	11	40	15	60	8	40	76	67	0	12	11	15	51	24	24	22	11	0	7	28	57	29	29	65	2	6	31	51	0					
6	Число погашенных избирательных бюллетеней	10394	48	103	43	925	92	145	38	61	348	69	112	1110	866	766	682	820	183	174	60	38	396	530	581	784	81	180	55	78	522	455	49					
7	Число избирательных бюллетеней в переносных ящиках	853	30	31	11	40	15	60	8	40	76	67	0	12	11	15	51	24	24	22	11	0	7	28	57	29	29	65	2	6	31	51	0					
8	Число бюллетеней в стационарных ящиках для голосования	12010	119	273	77	920	124	316	58	55	314	115	129	1195	599	556	682	702	325	474	219	49	362	547	504	1503	172	333	216	280	370	368	54					
9	Число недействительных избирательных бюллетеней	150	2	1	1	17	4	4	0	5	4	0	2	9	13	7	8	10	5	5	9	1	7	4	4	7	0	2	0	5	7	5	2					
10	Число действительных избирательных бюллетеней	12713	147	303	87	943	135	372	66	90	386	182	127	1198	597	564	725	716	344	491	221	48	362	571	557	1525	201	396	218	281	394	414	52					
11	Число полученных открепительных  удостоверений	300	5	7	5	13	5	10	5	5	10	5	5	15	15	15	15	15	10	10	5	5	9	15	15	21	5	10	10	10	10	10	5					
12	Число выданных открепительных удостоверений	86	1	0	0	8	1	2	0	0	3	0	2	12	3	2	2	1	0	0	1	0	4	4	5	18	0	5	0	0	4	8	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	125	0	0	0	5	1	4	1	0	4	0	2	11	8	2	1	5	1	5	0	0	0	1	1	6	3	14	1	36	10	0	3					
14	Число неиспользованных открепительных удостоверений	214	4	7	5	5	4	8	5	5	7	5	3	3	12	13	13	14	10	10	4	5	5	11	10	3	5	5	10	10	6	2	5					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																						
18	. Глазьев Сергей Юрьевич	306	12	2	3	32	1	6	0	0	3	1	3	32	12	10	7	23	8	2	8	0	14	8	12	60	3	5	8	10	9	10	2					
		2.38%	8.05%	0.66%	3.41%	3.33%	0.72%	1.60%	0.00%	0.00%	0.77%	0.55%	2.33%	2.65%	1.97%	1.75%	0.95%	3.17%	2.29%	0.40%	3.48%	0.00%	3.79%	1.39%	2.14%	3.92%	1.49%	1.26%	3.67%	3.50%	2.24%	2.39%	3.70%					
19	. Малышкин Олег Александрович	333	3	1	0	37	6	4	0	0	6	5	1	24	29	19	20	28	6	11	7	3	8	15	15	39	4	15	2	7	11	7	0					
		2.59%	2.01%	0.33%	0.00%	3.85%	4.32%	1.06%	0.00%	0.00%	1.54%	2.75%	0.78%	1.99%	4.75%	3.33%	2.73%	3.86%	1.72%	2.22%	3.04%	6.12%	2.17%	2.61%	2.67%	2.55%	1.99%	3.77%	0.92%	2.45%	2.74%	1.67%	0.00%					
20	. Миронов Сергей Михайлович	119	1	2	1	5	4	2	0	1	3	0	0	10	6	6	6	8	1	4	1	1	2	10	13	13	0	5	1	1	7	5	0					
		0.93%	0.67%	0.66%	1.14%	0.52%	2.88%	0.53%	0.00%	1.05%	0.77%	0.00%	0.00%	0.83%	0.98%	1.05%	0.82%	1.10%	0.29%	0.81%	0.43%	2.04%	0.54%	1.74%	2.32%	0.85%	0.00%	1.26%	0.46%	0.35%	1.75%	1.19%	0.00%					
21	. Путин Владимир Владимирович	9425	78	212	61	645	92	306	65	85	314	148	105	942	443	424	559	546	287	417	159	39	265	373	354	988	174	310	190	218	286	290	50					
		73.27%	52.35%	69.74%	69.32%	67.19%	66.19%	81.38%	98.48%	89.47%	80.51%	81.32%	81.40%	78.04%	72.62%	74.26%	76.26%	75.21%	82.23%	84.07%	69.13%	79.59%	71.82%	64.87%	63.10%	64.49%	86.57%	77.89%	87.16%	76.22%	71.32%	69.21%	92.59%					
22	. Хакамада Ирина Муцуовна	238	4	9	4	12	1	8	0	0	8	2	1	33	17	11	15	17	2	7	1	0	6	10	8	42	3	1	1	4	7	4	0					
		1.85%	2.68%	2.96%	4.55%	1.25%	0.72%	2.13%	0.00%	0.00%	2.05%	1.10%	0.78%	2.73%	2.79%	1.93%	2.05%	2.34%	0.57%	1.41%	0.43%	0.00%	1.63%	1.74%	1.43%	2.74%	1.49%	0.25%	0.46%	1.40%	1.75%	0.95%	0.00%					
23	. Харитонов Николай Михайлович	2061	45	74	8	199	27	42	1	1	51	23	16	133	79	80	97	83	31	38	43	5	60	143	144	361	16	56	8	34	70	93	0					
		16.02%	30.20%	24.34%	9.09%	20.73%	19.42%	11.17%	1.52%	1.05%	13.08%	12.64%	12.40%	11.02%	12.95%	14.01%	13.23%	11.43%	8.88%	7.66%	18.70%	10.20%	16.26%	24.87%	25.67%	23.56%	7.96%	14.07%	3.67%	11.89%	17.46%	22.20%	0.00%					
																																						
24	Против всех	231	4	3	10	13	4	4	0	3	1	3	1	24	11	14	21	11	9	12	2	0	7	12	11	22	1	4	8	7	4	5	0					
		1.80%	2.68%	0.99%	11.36%	1.35%	2.88%	1.06%	0.00%	3.16%	0.26%	1.65%	0.78%	1.99%	1.80%	2.45%	2.86%	1.52%	2.58%	2.42%	0.87%	0.00%	1.90%	2.09%	1.96%	1.44%	0.50%	1.01%	3.67%	2.45%	1.00%	1.19%	0.00%					
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
