Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																															
Дата голосования: 04.12.2011																																																															
																																																															
Наименование Избирательной комиссии:    Черепановская 																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274					
1	"Число избирателей, внесенных в список избирателей"	39547	1539	1703	1651	1600	1659	894	852	1598	949	1633	814	964	1689	1960	432	1222	1009	993	1296	50	88	766	115	97	96	242	477	91	846	116	125	477	1770	220	155	285	552	1141	884	146	155	610	485	173	837	175	250	938	356	124	739	115	476	533	248	137					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	39460	1500	1700	1650	1600	1600	850	850	1600	850	1650	800	950	1700	1950	440	1200	1000	1000	1300	55	95	800	125	125	110	270	480	95	850	120	140	450	1700	230	165	290	550	1100	900	175	165	600	500	195	850	180	240	900	380	130	750	115	480	550	260	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	22019	585	950	702	604	684	403	343	781	413	872	347	382	1137	1154	217	621	528	574	623	43	62	464	67	70	80	181	263	48	620	104	78	378	1119	166	131	204	362	677	516	97	121	370	354	137	577	139	172	589	260	102	464	65	368	356	194	101					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2756	96	72	100	76	61	39	117	88	144	64	78	42	75	113	124	122	102	59	138	2	5	100	26	16	7	27	28	14	41	4	30	19	56	9	9	16	30	43	47	12	9	52	18	13	86	13	24	84	10	11	77	10	23	55	10	10					
6	Число погашенных избирательных бюллетеней	14685	819	678	848	920	855	408	390	731	293	714	375	526	488	683	99	457	370	367	539	10	28	236	32	39	23	62	189	33	189	12	32	53	525	55	25	70	158	380	337	66	35	178	128	45	187	28	44	227	110	17	209	40	89	139	56	39					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2756	96	72	100	76	61	39	117	88	144	64	78	42	75	113	124	122	102	59	138	2	5	100	26	16	7	27	28	14	41	4	30	19	56	9	9	16	30	43	47	12	9	52	18	13	86	13	24	84	10	11	77	10	23	55	10	10					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	22017	585	950	702	604	684	403	343	781	413	872	347	382	1137	1154	217	621	528	574	623	43	62	464	67	70	80	181	263	48	620	104	78	378	1119	166	131	204	362	676	516	97	121	370	354	137	577	139	172	589	260	101	464	65	368	356	194	101					
9	Число недействительных избирательных бюллетеней	436	28	16	10	11	18	10	8	9	6	12	5	6	24	34	0	12	21	5	12	0	0	24	1	1	0	2	7	0	9	3	1	7	21	0	6	4	7	17	15	1	0	9	8	2	20	2	2	1	1	1	2	4	3	5	2	1					
10	Число действительных избирательных бюллетеней	24337	653	1006	792	669	727	432	452	860	551	924	420	418	1188	1233	341	731	609	628	749	45	67	540	92	85	87	206	284	62	652	105	107	390	1154	175	134	216	385	702	548	108	130	413	364	148	643	150	194	672	269	111	539	71	388	406	202	110					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	854	10	39	13	14	25	9	15	20	10	15	6	7	5	20	10	19	20	32	12	6	7	45	16	27	15	35	11	5	12	2	9	5	15	9	10	5	20	20	23	25	8	10	20	20	20	10	3	22	13	5	25	1	20	27	16	11					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	842	10	39	13	14	25	8	15	19	9	15	6	7	5	20	10	16	20	32	11	6	7	45	16	27	15	35	11	5	12	1	9	4	15	9	10	5	20	20	23	25	8	10	20	20	20	10	2	21	12	5	25	1	20	27	16	11					
