Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    район Соколиная гора																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №3684	УИК №3685	УИК №3686									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	52821	2073	1372	2897	2579	2193	2427	2402	2244	2209	1433	1979	1589	2589	2320	2148	2428	2021	2164	2489	2726	2499	2415	2577	338	196	300	192	22									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	46350	2000	1100	2500	2000	2000	2000	2000	2000	2000	1200	1700	1300	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	250	150	1000	1000	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17657	601	449	962	832	765	848	899	773	870	513	676	531	790	810	644	814	633	652	698	899	851	775	1008	128	63	151	0	22									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	857	26	16	28	25	18	21	34	34	32	9	20	27	34	10	20	24	7	41	31	16	25	17	23	0	1	143	175	0									
6	Число погашенных избирательных бюллетеней	27836	1373	635	1510	1143	1217	1131	1067	1193	1098	678	1004	742	1176	1180	1336	1162	1360	1307	1271	1085	1124	1208	969	122	86	706	825	128									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	857	26	16	28	25	18	21	34	34	32	9	20	27	34	10	20	24	7	41	31	16	25	17	23	0	1	143	175	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	17583	600	449	962	832	760	848	899	770	870	513	674	531	789	807	642	811	631	652	698	898	849	749	985	128	63	151	0	22									
9	Число недействительных избирательных бюллетеней	297	13	13	12	18	16	15	18	15	16	5	8	11	17	13	17	14	12	12	4	19	13	10	0	0	0	5	1	0									
10	Число действительных избирательных бюллетеней	18143	613	452	978	839	762	854	915	789	886	517	686	547	806	804	645	821	626	681	725	895	861	756	1008	128	64	289	174	22									
