Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																							
Дата голосования: 07.12.2003 0:00:00																							
																							
Наименование Избирательной комиссии:    Ломоносовская № 9																							
																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																							
																							
		Сумма	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021					
1	"Число избирателей, внесенных в списки"	35499	2693	2265	1988	2075	2071	2282	1894	2247	2284	2889	2679	2794	2896	1542	2132	768					
2	"Число бюллетеней, полученных участковыми комиссиями"	35000	2700	2200	2000	2000	2100	2300	2000	2300	2400	3000	2600	2600	3000	1500	1600	700					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	14544	1083	922	754	886	841	881	779	962	1017	1181	1063	1169	1059	599	1073	275					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	337	40	16	23	13	20	26	24	13	17	12	22	17	13	22	33	26					
6	Число погашенных бюллетеней	20015	1577	1262	1223	1101	1239	1393	1197	1325	1366	1807	1515	1414	1928	879	390	399					
7	Число бюллетеней в переносных ящиках для голосования	337	40	16	23	13	20	26	24	13	17	12	22	17	13	22	33	26					
8	Число бюллетеней в стационарных ящиках для голосования	14623	1080	919	754	871	841	879	778	961	1017	1181	1063	1169	1059	599	1177	275					
9	Число недействительных бюллетеней	149	17	14	7	8	3	15	6	10	10	9	9	14	9	4	10	4					
10	Число действительных бюллетеней	14811	1103	921	770	876	858	890	796	964	1024	1184	1076	1172	1063	617	1200	297					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	999	69	60	60	50	60	70	60	60	70	70	70	70	70	60	70	30					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	299	14	37	30	17	10	10	9	6	8	18	15	14	13	28	68	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	124	14	9	13	5	5	3	10	6	8	8	8	12	5	6	5	7					
14	Число погашенных открепительных удостоверений	700	55	23	30	33	50	60	51	54	62	52	55	56	57	32	2	28					
15	Число открепительных удостоверений выданных ТИК	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
18	"1. ""ЕДИНЕНИЕ"""	126	11	7	4	7	9	8	4	11	13	9	8	8	13	3	9	2					
		0.84%	0.98%	0.74%	0.51%	0.79%	1.04%	0.88%	0.49%	1.12%	1.25%	0.75%	0.73%	0.67%	1.21%	0.48%	0.74%	0.66%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	753	47	47	56	65	66	48	31	33	54	58	67	47	44	25	46	19					
		5.03%	4.19%	5.02%	7.20%	7.35%	7.66%	5.30%	3.86%	3.38%	5.22%	4.86%	6.17%	3.96%	4.10%	4.02%	3.80%	6.31%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	459	34	25	27	32	15	35	24	38	36	25	41	40	36	13	28	10					
		3.06%	3.03%	2.67%	3.47%	3.61%	1.74%	3.86%	2.99%	3.90%	3.48%	2.09%	3.77%	3.37%	3.35%	2.09%	2.31%	3.32%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1387	101	86	61	71	90	72	95	98	111	130	95	101	123	69	67	17					
		9.27%	9.01%	9.19%	7.85%	8.03%	10.45%	7.95%	11.84%	10.06%	10.73%	10.89%	8.75%	8.51%	11.47%	11.11%	5.53%	5.64%					
22	"5. ""За Русь Святую"""	56	4	6	3	3	2	1	3	3	4	3	2	4	5	5	4	4					
		0.37%	0.35%	0.64%	0.38%	0.33%	0.23%	0.11%	0.37%	0.30%	0.38%	0.25%	0.18%	0.33%	0.46%	0.80%	0.33%	1.32%					
23	"6. ""Объединенная Российская партия ""Русь"""	64	9	3	0	3	2	9	1	5	3	5	2	11	4	1	2	4					
		0.42%	0.80%	0.32%	0.0%	0.33%	0.23%	0.99%	0.12%	0.51%	0.29%	0.41%	0.18%	0.92%	0.37%	0.16%	0.16%	1.32%					
24	"7. ""Новый курс - Автомобильная Россия"""	141	8	8	14	3	9	15	5	12	4	5	7	14	12	6	17	2					
		0.94%	0.71%	0.85%	1.80%	0.33%	1.04%	1.65%	0.62%	1.23%	0.38%	0.41%	0.64%	1.18%	1.11%	0.96%	1.40%	0.66%					
25	"8. ""Народно-республиканская партия России"""	19	2	0	1	2	0	0	1	0	1	2	4	0	1	1	4	0					
		0.12%	0.17%	0.0%	0.12%	0.22%	0.0%	0.0%	0.12%	0.0%	0.09%	0.16%	0.36%	0.0%	0.09%	0.16%	0.33%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	75	3	6	3	5	5	3	3	4	6	11	7	7	2	4	4	2					
		0.50%	0.26%	0.64%	0.38%	0.56%	0.58%	0.33%	0.37%	0.41%	0.58%	0.92%	0.64%	0.59%	0.18%	0.64%	0.33%	0.66%					
27	"10. ""Аграрная партия России"""	286	21	18	17	13	21	16	17	25	20	28	38	23	9	4	11	5					
		1.91%	1.87%	1.92%	2.18%	1.47%	2.43%	1.76%	2.11%	2.56%	1.93%	2.34%	3.50%	1.93%	0.83%	0.64%	0.90%	1.66%					
28	"11. ""Истинные патриоты России"""	23	0	0	0	0	0	0	0	0	0	0	0	3	4	0	15	1					
		0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.37%	0.0%	1.23%	0.33%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	240	9	18	20	11	8	13	15	13	20	20	16	27	23	13	10	4					
		1.60%	0.80%	1.92%	2.57%	1.24%	0.92%	1.43%	1.87%	1.33%	1.93%	1.67%	1.47%	2.27%	2.14%	2.09%	0.82%	1.32%					
30	"13. ""Демократическая партия России"""	25	4	2	0	0	4	1	4	0	1	1	1	3	2	0	2	0					
		0.16%	0.35%	0.21%	0.0%	0.0%	0.46%	0.11%	0.49%	0.0%	0.09%	0.08%	0.09%	0.25%	0.18%	0.0%	0.16%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	28	3	3	1	4	4	3	1	0	1	2	2	0	0	2	0	2					
		0.18%	0.26%	0.32%	0.12%	0.45%	0.46%	0.33%	0.12%	0.0%	0.09%	0.16%	0.18%	0.0%	0.0%	0.32%	0.0%	0.66%					
32	"15. ""Партия СЛОН"""	35	2	2	0	6	1	0	2	1	2	1	0	4	1	3	10	0					
		0.23%	0.17%	0.21%	0.0%	0.67%	0.11%	0.0%	0.24%	0.10%	0.19%	0.08%	0.0%	0.33%	0.09%	0.48%	0.82%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1674	110	102	78	87	92	94	84	109	122	165	166	166	90	90	93	26					
		11.18%	9.82%	10.90%	10.03%	9.84%	10.68%	10.38%	10.47%	11.19%	11.79%	13.83%	15.29%	13.99%	8.39%	14.49%	7.68%	8.63%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	16	1	1	0	1	0	0	1	1	2	0	0	0	1	1	7	0					
		0.10%	0.08%	0.10%	0.0%	0.11%	0.0%	0.0%	0.12%	0.10%	0.19%	0.0%	0.0%	0.0%	0.09%	0.16%	0.57%	0.0%					
35	"18. ""ЛДПР"""	1444	116	104	71	97	58	71	84	98	90	113	98	111	132	60	120	21					
		9.65%	10.35%	11.12%	9.13%	10.97%	6.73%	7.84%	10.47%	10.06%	8.70%	9.47%	9.03%	9.35%	12.31%	9.66%	9.91%	6.97%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	492	39	44	24	26	29	35	30	44	28	35	43	40	27	23	12	13					
		3.28%	3.48%	4.70%	3.08%	2.94%	3.36%	3.86%	3.74%	4.51%	2.70%	2.93%	3.96%	3.37%	2.51%	3.70%	0.99%	4.31%					
37	"20. ""Политическая партия ""Единая Россия"""	5188	404	299	274	311	287	316	281	326	345	382	331	388	377	201	555	111					
		34.67%	36.07%	31.97%	35.26%	35.18%	33.33%	34.91%	35.03%	33.47%	33.36%	32.02%	30.50%	32.71%	35.16%	32.36%	45.86%	36.87%					
38	"21. ""Российская Конституционно-демократическая партия"""	23	1	1	1	0	1	3	1	0	0	0	0	2	4	2	2	5					
		0.15%	0.08%	0.10%	0.12%	0.0%	0.11%	0.33%	0.12%	0.0%	0.0%	0.0%	0.0%	0.16%	0.37%	0.32%	0.16%	1.66%					
39	"22. ""Развитие предпринимательства"""	149	16	7	5	11	14	7	5	11	9	7	8	22	12	4	8	3					
		0.99%	1.42%	0.74%	0.64%	1.24%	1.62%	0.77%	0.62%	1.12%	0.87%	0.58%	0.73%	1.85%	1.11%	0.64%	0.66%	0.99%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1538	130	100	68	80	108	104	85	105	113	136	106	96	97	60	112	38					
		10.28%	11.60%	10.69%	8.75%	9.04%	12.54%	11.49%	10.59%	10.78%	10.92%	11.39%	9.76%	8.09%	9.04%	9.66%	9.25%	12.62%					
																							
41	Против всех	570	28	32	42	38	33	36	19	27	39	46	34	55	44	27	62	8					
