Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																															
Дата голосования: 07.12.2003 0:00:00																															
																															
Наименование Избирательной комиссии:    Каякентская																															
																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																															
																															
		Сумма	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047					
1	"Число избирателей, внесенных в списки"	27925	1475	1528	450	106	100	183	1955	1703	1900	1076	1224	1572	1255	935	1458	1561	1451	1839	1693	1992	1198	458	522	291					
2	"Число бюллетеней, полученных участковыми комиссиями"	26100	1400	1400	400	100	100	200	1800	1600	1700	1000	1150	1450	1100	900	1400	1500	1400	1700	1600	1900	1100	400	500	300					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	25456	1393	1317	348	96	98	165	1741	1560	1604	996	1100	1438	1061	840	1398	1486	1387	1690	1587	1890	1098	396	486	281					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных бюллетеней	644	7	83	52	4	2	35	59	40	96	4	50	12	39	60	2	14	13	10	13	10	2	4	14	19					
7	Число бюллетеней в переносных ящиках для голосования	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	25456	1393	1317	348	96	98	165	1741	1560	1604	996	1100	1438	1061	840	1398	1486	1387	1690	1587	1890	1098	396	486	281					
9	Число недействительных бюллетеней	54	3	0	2	0	0	1	12	0	0	8	5	0	0	0	0	0	7	6	0	0	0	0	10	0					
10	Число действительных бюллетеней	25402	1390	1317	346	96	98	164	1729	1560	1604	988	1095	1438	1061	840	1398	1486	1380	1684	1587	1890	1098	396	476	281					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	65	0	9	1	0	0	0	10	0	0	0	0	0	0	0	0	0	15	15	0	15	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
14	Число погашенных открепительных удостоверений	91	0	14	0	0	0	0	10	15	15	0	0	0	0	0	0	0	15	15	0	7	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	10	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																															
18	"1. ""ЕДИНЕНИЕ"""	16	1	0	4	0	0	1	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0					
		0.06%	0.07%	0.0%	1.14%	0.0%	0.0%	0.60%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.41%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1159	64	65	18	3	6	8	90	60	61	22	50	72	44	42	70	74	69	74	79	91	51	19	27	0					
		4.55%	4.59%	4.93%	5.17%	3.12%	6.12%	4.84%	5.16%	3.84%	3.80%	2.20%	4.54%	5.00%	4.14%	5.0%	5.00%	4.97%	4.97%	4.37%	4.97%	4.81%	4.64%	4.79%	5.55%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	9	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	1	0					
		0.03%	0.21%	0.0%	0.0%	0.0%	1.02%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	21	9	0	2	0	0	0	5	0	0	0	1	0	1	0	0	0	0	3	0	0	0	0	0	0					
		0.08%	0.64%	0.0%	0.57%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.09%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	9	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
		0.03%	0.43%	0.0%	0.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.05%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
