Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    район Крылатское																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №2569	УИК №2570	УИК №2571	УИК №2572	УИК №2573	УИК №2574	УИК №2575	УИК №2576	УИК №2577	УИК №2578	УИК №2579	УИК №2580	УИК №2581	УИК №2582	УИК №2583	УИК №2584	УИК №2585	УИК №2586	УИК №2587	УИК №2588	УИК №2589	УИК №2590									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	53766	2799	2759	2649	2721	2947	2244	1856	2140	2440	2563	2199	2620	2613	2642	2875	2777	2740	2006	2486	2141	2142	1407									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	42600	2200	2200	2100	2200	2200	1800	1500	1700	1900	2000	1700	2100	2100	2100	2300	2200	2200	1600	2000	1700	1700	1100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	19642	978	930	834	1013	1094	802	703	706	1504	973	807	946	894	1061	926	967	890	721	905	754	762	472									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	381	19	11	29	26	15	19	14	16	6	12	17	14	24	15	13	30	17	18	14	15	23	14									
6	Число погашенных избирательных бюллетеней	22577	1203	1259	1237	1161	1091	979	783	978	390	1015	876	1140	1182	1024	1361	1203	1293	861	1081	931	915	614									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	381	19	11	29	26	15	19	14	16	6	12	17	14	24	15	13	30	17	18	14	15	23	14									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	19603	973	930	834	1013	1079	797	700	706	1504	973	807	945	894	1060	926	963	890	716	905	754	762	472									
9	Число недействительных избирательных бюллетеней	287	16	10	18	20	21	11	13	10	23	20	6	16	15	15	9	19	6	10	12	6	6	5									
10	Число действительных избирательных бюллетеней	19697	976	931	845	1019	1073	805	701	712	1487	965	818	943	903	1060	930	974	901	724	907	763	779	481									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	550	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	305	11	7	12	11	12	18	12	12	16	18	11	12	11	22	16	20	17	8	15	22	11	11									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	361	25	24	14	7	10	6	17	2	12	10	22	13	12	20	12	18	10	13	9	29	28	48									
14	Число погашенных неиспользованных открепительных удостоверений	245	14	18	13	14	13	7	13	13	9	7	14	13	14	3	9	5	8	17	10	3	14	14									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	68	5	3	7	4	0	3	1	2	4	0	1	1	5	6	1	4	4	0	6	5	3	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	905	65	53	41	34	48	41	31	35	36	57	40	50	42	52	50	46	29	25	51	42	26	11									
		4.53%	6.55%	5.63%	4.75%	3.27%	4.39%	5.02%	4.34%	4.85%	2.38%	5.79%	4.85%	5.21%	4.58%	4.84%	5.32%	4.63%	3.20%	3.41%	5.55%	5.46%	3.31%	2.26%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	292	18	24	14	13	15	10	10	7	23	17	7	17	9	9	13	23	9	15	15	12	10	2									
		1.46%	1.81%	2.55%	1.62%	1.25%	1.37%	1.23%	1.40%	0.97%	1.52%	1.73%	0.85%	1.77%	0.98%	0.84%	1.38%	2.32%	0.99%	2.04%	1.63%	1.56%	1.27%	0.41%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	561	38	28	30	33	33	2	17	12	23	32	20	35	44	34	33	40	26	23	26	22	3	7									
		2.81%	3.83%	2.98%	3.48%	3.18%	3.02%	0.25%	2.38%	1.66%	1.52%	3.25%	2.43%	3.65%	4.79%	3.16%	3.51%	4.03%	2.87%	3.13%	2.83%	2.86%	0.38%	1.44%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7328	332	275	233	346	407	351	239	249	754	317	386	291	285	504	301	315	362	231	310	209	345	286									
		36.67%	33.47%	29.22%	26.99%	33.30%	37.20%	43.01%	33.47%	34.49%	49.93%	32.18%	46.84%	30.34%	31.05%	46.88%	32.06%	31.72%	39.91%	31.47%	33.73%	27.18%	43.95%	58.85%									
