Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																	
Дата голосования: 02.12.2007																																																																	
																																																																	
"Наименование Избирательной комиссии:    Новокузнецк, Центральная"																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №1720					
1	"Число избирателей, внесенных в списки избирателей"	133264	2420	2297	2529	2514	2717	2845	2932	2715	2042	2932	2795	2415	2010	1857	2284	1730	2124	2594	1821	1129	2096	2247	2042	1458	1801	2363	2796	2476	2401	2556	2706	1804	2878	2174	2409	2867	1220	2955	2510	1684	2121	2470	1927	2028	2284	2512	2242	2159	2131	2677	2731	2486	2006	2149	2524	2150	2952	1570					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	129200	2000	2000	2500	2500	2500	2500	2500	2500	2000	3000	2500	2500	2000	2000	2000	2000	2000	2500	1500	1500	2000	2500	2000	1500	2000	2000	3000	2200	2500	2500	2500	2000	2500	2000	2000	3000	2000	3000	2500	1500	2000	2500	2000	2000	2000	2500	2000	2000	2000	2500	2500	2500	2000	2000	2500	2000	2500	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	89809	1275	1485	1939	1886	2317	1571	1795	1706	1327	1975	1794	1728	1354	1330	1559	1380	1557	1859	1212	1062	1239	1860	1329	962	1116	1917	1695	1167	1471	1513	1863	1085	1520	1369	1774	1838	1176	2170	1866	1242	1288	1667	1252	1185	1734	1500	1304	1389	1761	1734	1726	1929	1340	1348	1584	1399	1862	1524					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	6602	120	198	158	70	33	26	23	100	57	52	89	89	106	93	119	35	37	189	50	63	86	49	46	45	58	83	90	887	213	100	146	58	337	54	48	67	44	50	77	53	81	104	40	78	75	116	320	100	87	139	304	71	95	81	123	72	418	0					
6	Число погашенных избирательных бюллетеней	32789	605	317	403	544	150	903	682	694	616	973	617	683	540	577	322	585	406	452	238	375	675	591	625	493	826	0	1215	146	816	887	491	857	643	577	178	1095	780	780	557	205	631	729	708	737	191	884	376	511	152	627	470	500	565	571	793	529	220	476					
7	Число избирательных бюллетеней в переносных ящиках для голосования	6602	120	198	158	70	33	26	23	100	57	52	89	89	106	93	119	35	37	189	50	63	86	49	46	45	58	83	90	887	213	100	146	58	337	54	48	67	44	50	77	53	81	104	40	78	75	116	320	100	87	139	304	71	95	81	123	72	418	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	89168	1275	1485	1939	1816	2315	1571	1795	1691	1326	1923	1794	1728	1354	1330	1559	1374	1557	1859	1212	1062	1239	1860	1329	962	1115	1542	1695	1167	1471	1513	1863	1085	1515	1361	1774	1838	1176	2170	1866	1189	1287	1667	1252	1185	1733	1500	1286	1389	1761	1734	1726	1929	1340	1345	1584	1397	1834	1524					
9	Число недействительных избирательных бюллетеней	1155	16	21	11	0	21	26	23	20	13	35	19	17	28	5	24	12	13	14	12	8	22	0	27	12	20	27	25	29	25	15	24	24	14	10	8	19	25	29	0	15	20	25	9	13	22	22	18	26	15	27	36	0	18	11	22	19	30	114					
10	Число действительных избирательных бюллетеней	94615	1379	1662	2086	1886	2327	1571	1795	1771	1370	1940	1864	1800	1432	1418	1654	1397	1581	2034	1250	1117	1303	1909	1348	995	1153	1598	1760	2025	1659	1598	1985	1119	1838	1405	1814	1886	1195	2191	1943	1227	1348	1746	1283	1250	1786	1594	1588	1463	1833	1846	1994	2000	1417	1415	1685	1450	2222	1410					
