Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																		
Дата голосования: 04.12.2011																																																																		
																																																																		
"Наименование Избирательной комиссии:    Новокузнецк, Центральная"																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
		Сумма	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743					
1	"Число избирателей, внесенных в список избирателей"	132419	1946	1619	2003	2228	2038	2040	2530	2995	1693	2344	2329	1828	1920	2119	2765	2384	2697	2907	2597	2929	2804	2644	2583	2231	2761	2016	2780	2698	2334	2494	2450	1697	2049	2681	2662	2852	2764	2012	1793	2165	1884	1352	2121	2475	2583	1752	1935	2198	1606	2239	2495	1725	2271	2420	2051	2951	2077	971	932					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	113000	1500	1500	1500	2000	1500	1500	2000	2500	1500	2000	2000	1500	1500	2000	2500	2000	2000	2500	2000	2500	2500	2000	2000	2000	2500	1500	2500	2500	2000	2000	2000	1500	1500	2500	2500	2500	2500	1500	1500	2000	1500	1000	2000	2000	2000	1500	1500	2000	1500	2000	2000	1500	2000	2000	2000	2000	2000	2000	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	68616	1073	928	1067	1206	1101	1111	1494	1738	946	1169	1253	1066	945	1068	1491	1314	1540	1163	1412	1394	1542	1445	1362	1391	1573	1159	1501	1507	947	1053	911	815	987	1247	1349	1286	1297	1094	886	1170	1094	765	1203	1166	1241	899	1113	1202	924	1217	1118	925	1152	1197	966	1152	1017	332	932					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3330	57	38	42	55	29	28	45	44	41	41	49	45	49	96	49	92	46	230	39	16	40	63	59	45	51	59	17	52	56	52	26	23	53	36	60	12	25	24	17	28	44	36	52	50	101	35	37	41	20	23	83	47	37	61	36	189	56	453	0					
6	Число погашенных избирательных бюллетеней	41054	370	534	391	739	370	361	461	718	513	790	698	389	506	836	960	594	414	1107	549	1090	918	492	579	564	876	282	982	941	997	895	1063	662	460	1217	1091	1202	1178	382	597	802	362	199	745	784	658	566	350	757	556	760	799	528	811	742	998	659	927	1215	68					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3328	57	38	42	55	28	28	45	44	41	41	48	45	49	96	49	92	46	230	39	16	40	63	59	45	51	59	17	52	56	52	26	23	53	36	60	12	25	24	17	28	44	36	52	50	101	35	37	41	20	23	83	47	37	61	36	189	56	453	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	68456	1073	928	1067	1206	1100	1111	1494	1738	946	1169	1253	1066	944	1068	1491	1312	1539	1160	1408	1394	1542	1445	1362	1390	1573	1158	1501	1455	947	1053	910	803	987	1247	1348	1286	1288	1092	886	1166	1094	764	1195	1163	1241	897	1113	1161	921	1217	1118	924	1152	1196	966	1150	1014	332	932					
9	Число недействительных избирательных бюллетеней	1493	23	59	16	31	18	24	29	83	24	24	25	18	14	20	44	26	41	26	32	31	15	22	40	17	29	22	25	4	31	27	15	13	15	15	35	22	29	26	19	19	27	9	32	24	22	34	25	26	15	21	24	22	25	14	23	32	15	10	45					
10	Число действительных избирательных бюллетеней	70291	1107	907	1093	1230	1110	1115	1510	1699	963	1186	1276	1093	979	1144	1496	1378	1544	1364	1415	1379	1567	1486	1381	1418	1595	1195	1493	1503	972	1078	921	813	1025	1268	1373	1276	1284	1090	884	1175	1111	791	1215	1189	1320	898	1125	1176	926	1219	1177	949	1164	1243	979	1307	1055	775	887					
